pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.972103004291845	1	-0.51190917635582	NA	7	ENSG00000175334;ENSG00000079246;ENSG00000196419;ENSG00000174405;ENSG00000137309;ENSG00000164985;ENSG00000152422
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.0202978151107411	0.118507579667406	1.54818065703391	NA	9	ENSG00000085563;ENSG00000124253;ENSG00000118777
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.0498154981549815	0.227346750508321	1.43247011781401	NA	5	ENSG00000085563;ENSG00000118777
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.238993710691824	0.552257473907189	-1.08623826826552	NA	90	ENSG00000100804;ENSG00000165916;ENSG00000125977;ENSG00000136930;ENSG00000162735;ENSG00000142507;ENSG00000163636;ENSG00000068912;ENSG00000170315;ENSG00000107331;ENSG00000144452;ENSG00000130741;ENSG00000087191;ENSG00000127922;ENSG00000187486;ENSG00000114770;ENSG00000034693;ENSG00000147475;ENSG00000161057;ENSG00000099341;ENSG00000134001;ENSG00000071537;ENSG00000106588;ENSG00000069431;ENSG00000100519;ENSG00000115657;ENSG00000103222;ENSG00000175166;ENSG00000130706;ENSG00000150991;ENSG00000221983;ENSG00000115233;ENSG00000167972;ENSG00000100764;ENSG00000108344;ENSG00000141338;ENSG00000143947;ENSG00000013275;ENSG00000138942;ENSG00000103035;ENSG00000129084;ENSG00000117528;ENSG00000159377;ENSG00000165280;ENSG00000197170
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.432637571157495	0.74136840498157	1.01308150792315	NA	18	ENSG00000138075;ENSG00000143921;ENSG00000064687;ENSG00000173208;ENSG00000101986;ENSG00000160179
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.166311300639659	0.456424124910705	-1.17862705236696	NA	65	ENSG00000100804;ENSG00000165916;ENSG00000136930;ENSG00000142507;ENSG00000163636;ENSG00000068912;ENSG00000170315;ENSG00000006071;ENSG00000144452;ENSG00000087191;ENSG00000127922;ENSG00000187486;ENSG00000147475;ENSG00000161057;ENSG00000099341;ENSG00000071537;ENSG00000106588;ENSG00000069431;ENSG00000100519;ENSG00000115657;ENSG00000175166;ENSG00000130706;ENSG00000150991;ENSG00000221983;ENSG00000115233;ENSG00000167972;ENSG00000100764;ENSG00000108344;ENSG00000143947;ENSG00000013275;ENSG00000138942;ENSG00000103035;ENSG00000129084;ENSG00000159377;ENSG00000165280;ENSG00000197170
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.495726495726496	0.787078569916376	-0.974810506540527	NA	20	ENSG00000141552;ENSG00000166295;ENSG00000164162;ENSG00000110200;ENSG00000089053;ENSG00000170142
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.729007633587786	0.918156585493585	0.824974734208883	NA	17	ENSG00000118971;ENSG00000112242;ENSG00000111276;ENSG00000007968;ENSG00000139687
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.000230373841284561	0.00334729935053782	-1.88584736128414	NA	22	ENSG00000105258;ENSG00000147669;ENSG00000204356;ENSG00000177700;ENSG00000100142;ENSG00000005075;ENSG00000125651;ENSG00000102978;ENSG00000099817
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.573055028462998	0.834338843795273	0.92772571458078	NA	9	ENSG00000080644;ENSG00000169684;ENSG00000117971
