pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.705636743215031	0.832155425646395	-0.881294882274914	NA	57	ENSG00000138696;ENSG00000185122;ENSG00000174136;ENSG00000011007;ENSG00000102878
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.201117318435754	0.452391034134215	1.16664913467524	NA	55	ENSG00000148600;ENSG00000204033;ENSG00000188373;ENSG00000154165;ENSG00000108219;ENSG00000108055;ENSG00000120659;ENSG00000187726;ENSG00000137845;ENSG00000122376
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.119705340699816	0.328925713637137	1.25147093187449	NA	53	ENSG00000242574;ENSG00000204287;ENSG00000143119;ENSG00000138795;ENSG00000010610;ENSG00000183196;ENSG00000115232;ENSG00000204257;ENSG00000160255;ENSG00000177455;ENSG00000156738
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.106776180698152	0.319808670986401	-1.29468853147072	NA	32	ENSG00000172164;ENSG00000127863;ENSG00000101400;ENSG00000050748;ENSG00000173402;ENSG00000198947;ENSG00000027001
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.558052434456929	0.7429445766746	0.936788189394236	NA	9	ENSG00000102081;ENSG00000126216;ENSG00000128159;ENSG00000140157;ENSG00000137822
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.54140127388535	0.734791562308677	-0.954241776240793	NA	56	ENSG00000125967;ENSG00000083067;ENSG00000156831;ENSG00000187098;ENSG00000263155;ENSG00000169189;ENSG00000119139;ENSG00000187123;ENSG00000173039;ENSG00000104067;ENSG00000127022
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.165399239543726	0.404700266968692	1.23867024492076	NA	18	ENSG00000144554;ENSG00000010810;ENSG00000271503;ENSG00000285077;ENSG00000169926;ENSG00000005339
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.106029106029106	0.319129514002994	-1.26329567707006	NA	43	ENSG00000103942;ENSG00000136383;ENSG00000197696;ENSG00000198626;ENSG00000129128;ENSG00000140612;ENSG00000114902;ENSG00000156218;ENSG00000118363;ENSG00000169612;ENSG00000140600;ENSG00000176371;ENSG00000197959;ENSG00000132155;ENSG00000103723;ENSG00000065000
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.698076923076923	0.830413082722736	0.85426861276432	NA	30	ENSG00000160293;ENSG00000177885;ENSG00000177455;ENSG00000176953;ENSG00000117322;ENSG00000185885;ENSG00000177548;ENSG00000213658;ENSG00000127191
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.472795497185741	0.700772715161204	0.988310326058695	NA	72	ENSG00000102879;ENSG00000064012;ENSG00000174943;ENSG00000108984;ENSG00000149927;ENSG00000197471;ENSG00000185905;ENSG00000079616;ENSG00000103485;ENSG00000102699;ENSG00000174992;ENSG00000100796;ENSG00000171634;ENSG00000013364;ENSG00000162924;ENSG00000090238
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.000160438886937416	0.00328008391072051	-1.81285320310049	NA	51	ENSG00000189043;ENSG00000110717;ENSG00000167658;ENSG00000156467;ENSG00000162409;ENSG00000058600;ENSG00000100030;ENSG00000127540;ENSG00000108443;ENSG00000164405;ENSG00000167792;ENSG00000173660;ENSG00000126602;ENSG00000198727;ENSG00000103319;ENSG00000181929;ENSG00000185386;ENSG00000184076;ENSG00000169021;ENSG00000179091;ENSG00000167965;ENSG00000141564;ENSG00000127184
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.551020408163265	0.739831438005444	-0.946852243634283	NA	28	ENSG00000132912;ENSG00000104671;ENSG00000115073;ENSG00000091428;ENSG00000133393;ENSG00000204843;ENSG00000103222;ENSG00000198920;ENSG00000131966
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.043089004817772	0.186990020907312	-1.46458286694613	NA	21	ENSG00000137100;ENSG00000132912;ENSG00000104671;ENSG00000175203;ENSG00000134308;ENSG00000204843;ENSG00000108953
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.028159639173029	0.137841082519262	1.39024303509914	NA	81	ENSG00000135605;ENSG00000108684;ENSG00000275385;ENSG00000131771;ENSG00000275718;ENSG00000181374;ENSG00000161405;ENSG00000185379;ENSG00000278505;ENSG00000278535;ENSG00000275066;ENSG00000108700;ENSG00000276234;ENSG00000236320;ENSG00000278311;ENSG00000167258;ENSG00000172716;ENSG00000108306;ENSG00000271503;ENSG00000270379;ENSG00000276070;ENSG00000278619;ENSG00000161381;ENSG00000278023;ENSG00000275152;ENSG00000276085;ENSG00000198783;ENSG00000172123;ENSG00000275302;ENSG00000276409
