pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00651140939568385	0.0171091578256092	1.52867636283109	NA	59	ENSG00000113658;ENSG00000124795;ENSG00000171791;ENSG00000115524;ENSG00000120693;ENSG00000166266;ENSG00000165633;ENSG00000107779;ENSG00000197879;ENSG00000119689;ENSG00000130522;ENSG00000067141;ENSG00000009954;ENSG00000139613;ENSG00000102878;ENSG00000126767;ENSG00000134899;ENSG00000133794;ENSG00000125845;ENSG00000138696;ENSG00000080345;ENSG00000039068;ENSG00000132382;ENSG00000107643;ENSG00000115966;ENSG00000077463;ENSG00000133895
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.776070252469813	0.876871306699815	-0.824546383671668	NA	58	ENSG00000120659;ENSG00000148602;ENSG00000156970;ENSG00000170788;ENSG00000148604;ENSG00000145491;ENSG00000164675;ENSG00000185737;ENSG00000104941;ENSG00000178217;ENSG00000160188;ENSG00000178568;ENSG00000133665;ENSG00000172426;ENSG00000140600;ENSG00000100218;ENSG00000187726
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00298933246374332	0.00869909025959234	1.70561028664193	NA	56	ENSG00000106571;ENSG00000174684;ENSG00000019485;ENSG00000005884;ENSG00000121578;ENSG00000137575;ENSG00000100372;ENSG00000187479;ENSG00000151348;ENSG00000135404;ENSG00000156966;ENSG00000108679;ENSG00000141510;ENSG00000135365;ENSG00000150093;ENSG00000102265;ENSG00000085117;ENSG00000177697;ENSG00000133794;ENSG00000182197;ENSG00000070614
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00729388321179969	0.0188337733653387	1.63502371540183	NA	34	ENSG00000067560;ENSG00000136238;ENSG00000182957;ENSG00000105695;ENSG00000070831;ENSG00000115310;ENSG00000056558;ENSG00000170624;ENSG00000123096;ENSG00000198947;ENSG00000124788;ENSG00000128591;ENSG00000163069;ENSG00000107643
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.097972972972973	0.171118486907961	1.45700186117985	NA	9	ENSG00000102081;ENSG00000273749;ENSG00000128159;ENSG00000130640;ENSG00000126216
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.863885839736553	0.942803547386056	-0.75625139418599	NA	58	ENSG00000255150;ENSG00000140525;ENSG00000163029;ENSG00000134160;ENSG00000144554;ENSG00000133302;ENSG00000169918;ENSG00000105289;ENSG00000118900;ENSG00000154639;ENSG00000104059;ENSG00000034053;ENSG00000249931;ENSG00000101222;ENSG00000179938;ENSG00000261794;ENSG00000187123;ENSG00000261247
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.82367447595561	0.916785503672332	-0.752194362947746	NA	20	ENSG00000134160;ENSG00000144554;ENSG00000169918;ENSG00000113262;ENSG00000285077;ENSG00000261794
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.928571428571429	0.976525821596244	0.748648834828826	NA	44	ENSG00000140612;ENSG00000132155;ENSG00000150995;ENSG00000129128;ENSG00000118363;ENSG00000101654;ENSG00000156232;ENSG00000198900;ENSG00000169609;ENSG00000166716;ENSG00000177082;ENSG00000177879
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.145249610102191	0.240561276620265	1.2371470109842	NA	31	ENSG00000171105;ENSG00000185885;ENSG00000054282;ENSG00000177885;ENSG00000056558;ENSG00000096968;ENSG00000110651;ENSG00000085117;ENSG00000144566;ENSG00000125730;ENSG00000126457;ENSG00000178188;ENSG00000128052;ENSG00000213658;ENSG00000168118
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00027394023401773	0.00109248170928898	1.69818718091475	NA	74	ENSG00000103502;ENSG00000089289;ENSG00000103485;ENSG00000167371;ENSG00000102882;ENSG00000109320;ENSG00000149925;ENSG00000275052;ENSG00000171720;ENSG00000104695;ENSG00000147065;ENSG00000105568;ENSG00000280789;ENSG00000091831;ENSG00000146674;ENSG00000090238;ENSG00000013364;ENSG00000064012;ENSG00000102699;ENSG00000132170;ENSG00000141510;ENSG00000171862;ENSG00000113580;ENSG00000171634
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00503791119908567	0.013637366871241	1.63601333029105	NA	53	ENSG00000167658;ENSG00000140740;ENSG00000108443;ENSG00000156467;ENSG00000103319;ENSG00000102882;ENSG00000092439;ENSG00000173660;ENSG00000185716;ENSG00000123374;ENSG00000189043;ENSG00000112062;ENSG00000127184;ENSG00000131791;ENSG00000169032;ENSG00000058600;ENSG00000167792;ENSG00000188130;ENSG00000179091;ENSG00000185386;ENSG00000126602;ENSG00000127540
