pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.145110410094637	0.278131689486203	1.34810351913125	NA	6	ENSG00000100714;ENSG00000144908;ENSG00000149313;ENSG00000120254
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.722419928825623	0.864159741223729	0.817717931174361	NA	9	ENSG00000100209;ENSG00000136003;ENSG00000165060;ENSG00000267673;ENSG00000214113;ENSG00000004779;ENSG00000182512;ENSG00000244005;ENSG00000108010
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.11864406779661	0.23870479795835	1.34422969730433	NA	18	ENSG00000142156;ENSG00000119689;ENSG00000180902;ENSG00000137944;ENSG00000182054;ENSG00000107537;ENSG00000134056;ENSG00000147576
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.000226675554183999	0.001636967681859	2.17298496671658	NA	22	ENSG00000102053;ENSG00000100441;ENSG00000138668;ENSG00000185650;ENSG00000134644;ENSG00000205978;ENSG00000055917;ENSG00000152518;ENSG00000120948
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.14367816091954	0.275619232637203	1.2551322563167	NA	27	ENSG00000150455;ENSG00000182872;ENSG00000127804;ENSG00000092199;ENSG00000120948;ENSG00000177733;ENSG00000174606;ENSG00000112062
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.769470404984424	0.895283351775829	0.740604541691782	NA	5	ENSG00000136003;ENSG00000165060;ENSG00000267673;ENSG00000214113
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.870662460567823	0.953997633356122	0.663055870302406	NA	6	ENSG00000148308;ENSG00000115207;ENSG00000119041;ENSG00000077235;ENSG00000125484;ENSG00000155115
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.447870778267254	0.637009189640769	-1.03868064537791	NA	5	ENSG00000229937
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.00483264648081211	0.0198974138659797	1.87946935205076	NA	10	ENSG00000182004;ENSG00000100028;ENSG00000125743;ENSG00000137574;ENSG00000139343
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.742372881355932	0.877244373075464	0.791493270347017	NA	8	ENSG00000101654;ENSG00000074356
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.973063973063973	1	0.575794558922529	NA	7	ENSG00000197208;ENSG00000075073;ENSG00000204385;ENSG00000128271;ENSG00000175003;ENSG00000112499;ENSG00000080644
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.0638297872340425	0.147199746381249	-1.44236991617669	NA	7	ENSG00000070748
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.291005291005291	0.467282723825992	1.10340726575177	NA	24	ENSG00000131828;ENSG00000004799;ENSG00000005882;ENSG00000127125;ENSG00000102144;ENSG00000103507
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.0703045341375337	0.159113950640281	1.25058214398433	NA	43	ENSG00000008311;ENSG00000131828;ENSG00000119689;ENSG00000004799;ENSG00000105607;ENSG00000005882;ENSG00000127125;ENSG00000102144;ENSG00000103507;ENSG00000076555;ENSG00000160305
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.402597402597403	0.593053928550359	1.03089010539571	NA	76	ENSG00000204681;ENSG00000115839;ENSG00000145335;ENSG00000121361;ENSG00000131389;ENSG00000134294;ENSG00000115840;ENSG00000168385;ENSG00000136854;ENSG00000162383;ENSG00000143952;ENSG00000144746;ENSG00000079215;ENSG00000135750;ENSG00000150093;ENSG00000107282;ENSG00000089041;ENSG00000004864
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.547866205305652	0.723757295466826	-0.95596508317435	NA	40	ENSG00000147571;ENSG00000151577;ENSG00000004809;ENSG00000169344;ENSG00000109255;ENSG00000073734;ENSG00000186198;ENSG00000182389;ENSG00000184984;ENSG00000101188;ENSG00000147606;ENSG00000180251;ENSG00000149295;ENSG00000070031;ENSG00000110148;ENSG00000163959;ENSG00000109062
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	0.755894590846047	0.885279158226095	-0.798454632382568	NA	9	ENSG00000079841;ENSG00000120160;ENSG00000186792;ENSG00000198722
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	gtex_tissue_pair__GTEx_testis_vs_ovary_limma	4.98023061911922e-05	0.000457080465177923	-1.88278989273187	NA	41	ENSG00000186075;ENSG00000137812;ENSG00000163440;ENSG00000118434;ENSG00000039600;ENSG00000128040;ENSG00000161973;ENSG00000042813;ENSG00000186452;ENSG00000128596;ENSG00000183035;ENSG00000111644;ENSG00000165972;ENSG00000181378;ENSG00000135248;ENSG00000205442;ENSG00000187003;ENSG00000100078;ENSG00000181786;ENSG00000087903;ENSG00000170613;ENSG00000185294;ENSG00000176732;ENSG00000028839;ENSG00000136449
