pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.36986301369863	0.572569345418924	-1.11389033318598	NA	7	ENSG00000079246;ENSG00000137309;ENSG00000196419
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.814117647058824	0.900324441240087	-0.720266220879775	NA	8	ENSG00000076685;ENSG00000175003;ENSG00000187758
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.936936936936937	0.971235660890833	0.742053528970743	NA	87	ENSG00000141338;ENSG00000069431;ENSG00000154262;ENSG00000154258;ENSG00000005471;ENSG00000034693;ENSG00000154263;ENSG00000127922
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.444099378881988	0.63452976419502	1.02147690740941	NA	17	ENSG00000154262;ENSG00000154258;ENSG00000034693;ENSG00000154263
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.071186948084864	0.18647200560283	-1.25285824553259	NA	63	ENSG00000150991;ENSG00000135506;ENSG00000221983;ENSG00000170315;ENSG00000277791;ENSG00000107566;ENSG00000099341;ENSG00000185627;ENSG00000103035;ENSG00000101182;ENSG00000204308;ENSG00000138942;ENSG00000136930;ENSG00000130706;ENSG00000013275;ENSG00000159377;ENSG00000168216;ENSG00000163636;ENSG00000101986;ENSG00000175166;ENSG00000091262;ENSG00000100764;ENSG00000129084
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.93026941362916	0.967872570946332	0.667262120178483	NA	20	ENSG00000094880;ENSG00000053900;ENSG00000145604;ENSG00000164162;ENSG00000130177;ENSG00000153107
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.729813664596273	0.849277070836656	0.823147033304763	NA	17	ENSG00000110092
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.11484593837535	0.268024161044181	-1.31820168889708	NA	22	ENSG00000213246;ENSG00000060069;ENSG00000099817;ENSG00000005075;ENSG00000204356;ENSG00000168002;ENSG00000181222;ENSG00000102978;ENSG00000125651
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.677642980935875	0.815401758078495	0.863468569995469	NA	8	ENSG00000101204;ENSG00000117971
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.26742301458671	0.474291411479846	1.16527202613861	NA	13	ENSG00000168993;ENSG00000198722;ENSG00000136854
