pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.118942731277533	0.221233480176211	1.3013196805508	NA	40	ENSG00000141338;ENSG00000069431;ENSG00000154258;ENSG00000154262;ENSG00000005471;ENSG00000154263;ENSG00000119688;ENSG00000198691;ENSG00000154265;ENSG00000114770
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	9.89266460866579e-06	0.000108237389247755	-1.99828634957635	NA	57	ENSG00000141506;ENSG00000066336;ENSG00000078061;ENSG00000173757;ENSG00000132155;ENSG00000131759;ENSG00000269335;ENSG00000126934;ENSG00000168610;ENSG00000126561;ENSG00000102882;ENSG00000051382;ENSG00000105221;ENSG00000175634;ENSG00000171608;ENSG00000133703;ENSG00000173039;ENSG00000137193;ENSG00000245848;ENSG00000157764;ENSG00000100030;ENSG00000159216;ENSG00000177885;ENSG00000169032;ENSG00000105851;ENSG00000081059;ENSG00000109320;ENSG00000133101;ENSG00000138795;ENSG00000142208;ENSG00000100485;ENSG00000187840
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.151556156968877	0.261013381446399	1.22617320880166	NA	71	ENSG00000019549;ENSG00000104067;ENSG00000127329;ENSG00000146648;ENSG00000105976;ENSG00000171105;ENSG00000198561;ENSG00000132970;ENSG00000151422;ENSG00000130396;ENSG00000106299;ENSG00000152284;ENSG00000148498;ENSG00000006607;ENSG00000095637;ENSG00000173482
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.00843440713532074	0.0253032214059622	-1.59637631539404	NA	62	ENSG00000028137;ENSG00000159346;ENSG00000186350;ENSG00000006831;ENSG00000151726;ENSG00000269335;ENSG00000168610;ENSG00000104825;ENSG00000105221;ENSG00000173039;ENSG00000067182;ENSG00000181929;ENSG00000184557;ENSG00000065675;ENSG00000110931;ENSG00000118046;ENSG00000117394;ENSG00000068366;ENSG00000004660;ENSG00000109320;ENSG00000164398;ENSG00000102871;ENSG00000142208;ENSG00000174697;ENSG00000181856
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.326409495548961	0.463451650168754	1.08509852901189	NA	29	ENSG00000108381;ENSG00000128059;ENSG00000203797;ENSG00000021826;ENSG00000120053;ENSG00000084774;ENSG00000114021;ENSG00000070669;ENSG00000115419;ENSG00000166123;ENSG00000130707
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.503628447024673	0.659682332018234	0.966311915509335	NA	39	ENSG00000171105;ENSG00000168447;ENSG00000117461;ENSG00000176387;ENSG00000065054;ENSG00000143153
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.00588681945385529	0.0195185498179477	-1.71584809832008	NA	32	ENSG00000204592;ENSG00000234745;ENSG00000206503;ENSG00000204525;ENSG00000100453;ENSG00000180644;ENSG00000204632;ENSG00000102245;ENSG00000026103;ENSG00000114013;ENSG00000111537;ENSG00000178562;ENSG00000204642;ENSG00000113520
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.825082508250825	0.908745453558439	0.735758075668036	NA	12	ENSG00000117215;ENSG00000127472;ENSG00000123739
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.000481234763567592	0.00235551752693611	-1.52279442331591	NA	156	ENSG00000187446;ENSG00000111640;ENSG00000160014;ENSG00000221823;ENSG00000102882;ENSG00000015475;ENSG00000080815;ENSG00000196549;ENSG00000145335;ENSG00000162736;ENSG00000014216;ENSG00000205155;ENSG00000198668;ENSG00000118217;ENSG00000178607;ENSG00000100030;ENSG00000010256;ENSG00000137841;ENSG00000067182;ENSG00000176340;ENSG00000156052;ENSG00000126267;ENSG00000132906;ENSG00000120868;ENSG00000074370;ENSG00000138814;ENSG00000110955;ENSG00000117362;ENSG00000064012;ENSG00000168040;ENSG00000117118;ENSG00000131143;ENSG00000125538;ENSG00000082701;ENSG00000026103;ENSG00000156885;ENSG00000140740;ENSG00000140990;ENSG00000162909;ENSG00000135940;ENSG00000196296;ENSG00000147684;ENSG00000143252;ENSG00000160471;ENSG00000137845;ENSG00000170906;ENSG00000002330;ENSG00000151694;ENSG00000124172;ENSG00000115286;ENSG00000115944;ENSG00000072506
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	1	1	0.562995501191399	NA	41	ENSG00000109618;ENSG00000247626;ENSG00000113643;ENSG00000185418;ENSG00000146282;ENSG00000196305;ENSG00000117593;ENSG00000137513;ENSG00000103356;ENSG00000133706;ENSG00000143374;ENSG00000115866;ENSG00000011376;ENSG00000124608;ENSG00000090861;ENSG00000116120;ENSG00000162396
