pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.274939172749392	0.426828645806748	-1.17961196040028	NA	7	ENSG00000079246;ENSG00000137309;ENSG00000196419;ENSG00000175334;ENSG00000152422
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.832478632478633	0.902614194921887	0.716724921303907	NA	8	ENSG00000146477;ENSG00000168803
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.443946188340807	0.597762267242815	-1.00291301932724	NA	87	ENSG00000150991;ENSG00000135506;ENSG00000064687;ENSG00000221983;ENSG00000107331;ENSG00000170315;ENSG00000277791;ENSG00000130741;ENSG00000107566;ENSG00000099341;ENSG00000185627;ENSG00000204308;ENSG00000103035;ENSG00000101182;ENSG00000162735;ENSG00000130706;ENSG00000138942;ENSG00000136930;ENSG00000013275;ENSG00000159377;ENSG00000101986;ENSG00000163636;ENSG00000175166;ENSG00000091262
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.56140350877193	0.703636296103703	0.920964963695338	NA	17	ENSG00000154258;ENSG00000154262;ENSG00000154263;ENSG00000034693
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.0156171191621612	0.0490035399858626	-1.42192967469026	NA	63	ENSG00000150991;ENSG00000135506;ENSG00000221983;ENSG00000170315;ENSG00000277791;ENSG00000107566;ENSG00000099341;ENSG00000185627;ENSG00000204308;ENSG00000103035;ENSG00000101182;ENSG00000130706;ENSG00000138942;ENSG00000136930;ENSG00000013275;ENSG00000159377;ENSG00000168216;ENSG00000101986;ENSG00000163636;ENSG00000175166;ENSG00000091262;ENSG00000100764;ENSG00000129084
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.852534562211982	0.913209518991845	0.716947226438815	NA	20	ENSG00000094880;ENSG00000053900;ENSG00000145604;ENSG00000130177;ENSG00000164162;ENSG00000153107
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.362666666666667	0.516516439454691	-1.04826383062214	NA	17	ENSG00000112576;ENSG00000111276;ENSG00000198176;ENSG00000007968;ENSG00000124762;ENSG00000114126;ENSG00000112242
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.0359675586900829	0.096932297774791	-1.55999921368904	NA	22	ENSG00000213246;ENSG00000060069;ENSG00000099817;ENSG00000005075;ENSG00000204356;ENSG00000168002;ENSG00000181222;ENSG00000125651;ENSG00000102978
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.753846153846154	0.841634206535637	0.785911358816858	NA	8	ENSG00000101204;ENSG00000117971;ENSG00000175344
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_edgeR	0.510534846029173	0.662799624669453	0.970490922246514	NA	13	ENSG00000198722;ENSG00000168993;ENSG00000136854
