pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.0882708585247884	0.210278746747533	1.29601204817108	NA	53	ENSG00000125845;ENSG00000165633;ENSG00000174136;ENSG00000138696;ENSG00000107779;ENSG00000113658;ENSG00000197879;ENSG00000170365;ENSG00000120693;ENSG00000134852;ENSG00000039068;ENSG00000186280;ENSG00000166266
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.768203883495146	0.881545440076397	0.825186767499846	NA	48	ENSG00000173269;ENSG00000173267;ENSG00000125845;ENSG00000107779;ENSG00000122378;ENSG00000015171;ENSG00000111834;ENSG00000099994;ENSG00000122376
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.179611650485437	0.355318699873364	1.1939429347131	NA	51	ENSG00000174684;ENSG00000005884;ENSG00000175264;ENSG00000019485;ENSG00000187479;ENSG00000106571;ENSG00000182264;ENSG00000034693;ENSG00000134852;ENSG00000177455;ENSG00000156738;ENSG00000100372;ENSG00000108679;ENSG00000091409;ENSG00000157570;ENSG00000121653;ENSG00000173218
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.0956072351421189	0.221945367294204	1.32754281097014	NA	31	ENSG00000134769;ENSG00000169783;ENSG00000163069;ENSG00000173402;ENSG00000127863;ENSG00000151835;ENSG00000123096;ENSG00000232977;ENSG00000027001;ENSG00000198947;ENSG00000170624;ENSG00000040608;ENSG00000082512;ENSG00000205863
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.910077519379845	0.95742259264238	0.643707433154361	NA	9	ENSG00000275835;ENSG00000170113
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.0983213429256595	0.227665196087405	1.29217318836512	NA	55	ENSG00000104067;ENSG00000183153;ENSG00000198752;ENSG00000136854;ENSG00000263155;ENSG00000187123;ENSG00000083067;ENSG00000163029;ENSG00000119906;ENSG00000154639;ENSG00000104059;ENSG00000099365;ENSG00000166405
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.950704225352113	0.977560276915732	-0.645347566870572	NA	18	ENSG00000271503;ENSG00000114166;ENSG00000005339
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.858536585365854	0.932301065254089	-0.808225147568305	NA	40	ENSG00000135439;ENSG00000166716;ENSG00000132155;ENSG00000117394;ENSG00000136404
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.481912144702842	0.68096281316706	0.990075755057136	NA	31	ENSG00000171105;ENSG00000128052;ENSG00000117322;ENSG00000177455;ENSG00000160293;ENSG00000110651;ENSG00000198523
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_limma	0.000399293826379839	0.00297833919676765	-1.77358763171323	NA	70	ENSG00000147065;ENSG00000149925;ENSG00000034152;ENSG00000090238;ENSG00000149923;ENSG00000102882;ENSG00000102879;ENSG00000162924;ENSG00000113575;ENSG00000112640;ENSG00000013364;ENSG00000171862;ENSG00000185905;ENSG00000103495;ENSG00000089289;ENSG00000171720;ENSG00000105568;ENSG00000113580;ENSG00000197471;ENSG00000103502;ENSG00000109320;ENSG00000154845;ENSG00000064012
