pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.113233287858117	0.256611016084865	-1.28191530969876	NA	53	VSTM4;JUND;SMAD9;BCL2;SIRT1;BMPR1A;MYO1C;TMEM273;CLOCK;SMARCA5;EIF4ENIF1;DLD;RGMB;CUL5;DLST;SMAD5;NEO1;BMP2
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.522849462365591	0.703036169572585	-0.9570385758022	NA	50	CCSER2;ACTN2;LDB3;BMPR1A;ZMYND11;NFKB1;NME5;SH3GL3;GHITM;GPR15;RSPH4A;RSPH14;BMP2;RSPH3
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.00726083566429916	0.0367331764404858	-1.57536555520954	NA	53	CRY2;C11orf96;NRXN1;TSPAN18;PRDM11;HBEGF;MAPK8IP1;PHF21A;CLOCK;B4GAT1;SDCBP
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.000335598267593588	0.00373660022332861	-1.81909056538468	NA	31	C1QTNF9;DMD;FLNC;DTNA;SSPN;SGCB;SGCD;SGCA;SGCG;ATXN1;SNTA1;TRAF5
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.695945945945946	0.840424818099851	0.836532380689708	NA	9	NIPA1;NIPA2;TUBGCP4;TUBGCP5;FMR1;TUBGCP6;TUBGCP3
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.049597855227882	0.147725192139831	-1.41295369643313	NA	49	TRPM3;MTMR10;MYZAP;RIC3;MITF;GJC2;EID3;TJP1;CALM1;OTUD7A;SIN3A;STXBP1;CREBBP;CDC42BPB;KLF13;DNMBP;NSMCE3;KAT2B
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.616613418530351	0.783791574699269	-0.886811313537201	NA	14	MTMR10;FYN;OTUD7A;CREBBP;KLF13;KAT2B;CHRNA7;GPR75;FAN1
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.125175808720113	0.274065979284083	-1.27209368018586	NA	40	ADAMTSL3;ITPR1;RYR2;CPEB1;ALPK3;TENT4B;SH3GL3;SHANK3;BTBD1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.292857142857143	0.481148951806297	-1.14005758191261	NA	31	CD81;MPL;PLN;NFATC2;JAK2;RAB4A;C3;CD19;SDCCAG8
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0430593824475959	0.13352484918127	1.32610575609984	NA	73	PCNA;KIF22;CCT5;TRAF2;TLCD3B;CCT3;MAZ;CCT8;PPP4R4;PPP4C;ALDOA;PAGR1;DOC2A;PPP4R3C;KCTD13;CCT6A;PAXIP1;ZG16;IGFBP3;CASP8
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.276190476190476	0.459311301934253	-1.12841696982537	NA	51	PRKAG2;PRKAA2;RPTOR;EEF2;UQCRC2;CALM1;EEF2K;PRKAB2;UQCRB;CDR2;CALM3;MOSMO
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0231813331235883	0.0849982214531573	-1.50918534025504	NA	28	RAP1A;BMERB1;MYH11;MARF1;PCM1;PAFAH1B1;DCP1A;DCTN1;PLAGL1;ACTR1A;RAPGEF4;DCTN6
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.505392912172573	0.688692132557551	-0.978193317389443	NA	21	PAFAH1B1;DBH;NDEL1;DCTN1;DCTN6;PPP2CA;DCTN4;DYNC1H1
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0226196444158991	0.0836102645818457	1.3709552629643	NA	76	RDM1;MYO19;PIGW;MRM1;LASP1;LHX1;MIEN1;PCGF2;CACNB1;ZNHIT3;ERBB2;SLFN13;GRB7;DHRS11;PNMT;DDX52;STARD3;SRCIN1;RAD51D;EPOP;NLE1;STAC2;CCL18
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0760232066034185	0.198880193779144	1.20696376488293	NA	99	MCM2;AGRN;ISG15;TRAF2;KLHL17;C1orf159;TMEM52;ATAD3A;IFIH1;MRPL20-AS1;NOC2L;GABRD;C1QTNF12;FNDC10;B3GALT6;PUSL1;CCNL2;ATAD3B;PRKCZ;CPTP;RER1;INTS13;ELAVL1;TRIM25;CFAP74;PHKG2;IFIT1;ANKRD65;NADK;UBE2J2;HES4;PEX10;SDF4;AURKAIP1;PARD6B;CALML6;INTS11;INTS14;RBX1;TAS1R3;DVL1
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.208774583963691	0.37819681579137	-1.20139749340557	NA	24	PRKAG2;PRKAA2;TJP1;PYGO1;PRKAB2
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.256287425149701	0.434119516069901	-1.12400030691379	NA	109	SRF;RELN;PRKN;SLC2A4;CLDN5;BCL2;ACTA2;FGF10;PPP1CB;HAND2;ACTC1;C22orf39;PITX2;FGFR1;SERPIND1;SHOC2;NCOR1;CUL3;CHRD;VWF
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.161371585211249	0.315486632329486	1.14898199969891	NA	130	PDIA4;CALR;DNAJB11;EFTUD2;CHEK1;SNRPB;YDJC;PPIL1;SNRPF;SNRPA1;SNRPD1;HSP90B1;SNRPG;PRAME;SDF2L1;SNRPB2;PPIB;SNRPE;RPS10;PDIA2;HSPA5;HYOU1;DNAJB13;SF3A2
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.539568345323741	0.717754070470891	-0.947763424911507	NA	32	ASTL;ARID5A;DUSP2;IL6;ADRA2B;STAT3;KANSL3
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.522821576763486	0.703036169572585	0.961775420030726	NA	59	POLR2H;POLR1G;CKAP2L;IL37;CSF2;MIR4435-2HG;NT5DC4;IL36G;STAT1;POLR1B;IL1RAP;POLR2K;ZC3H8;POLR1C;BCL2L11
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.644012944983819	0.802160735020773	-0.868996042479765	NA	13	FAM168B;STAT3;APC;RHOA;CCDC74A;ARHGEF4
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.000959571108525769	0.00850571283576725	-1.55321598473534	NA	119	PER2;HDAC4;JUN;LRRFIP1;EEF1A1;MEF2C;TWIST2;SNED1;CXCL12;MEF2A;GABARAPL1;KLHL30;ASB1;RRAGD;RAMP1;RAB27A;UGT1A7;ILK;MAP4;CALM1;MTERF4;ITPK1;RRAGA;MAP1LC3B;RRAGB;NFKBIA;ESPNL;AGAP1;CXCR4;ACKR3;ITGB3;COL6A3;TRAF3IP1;MAB21L4;MAP1LC3A;SEPTIN2;SEPTIN6;RPS6;COPS8;DGKD
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.896189224704336	0.951060388327854	-0.745347377011071	NA	66	STAT5B;JUN;GRIA1;SIRT1;DYNC2H1;SLC51B;MYC;STAT5A
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.939485627836611	0.979167098418751	-0.637616159752664	NA	24	TSC2;PIK3R1;MAP2K3;EIF4E;PIK3R3;PIK3CA;MAP3K5;MAPK1;AKT1
WP_4P163_COPY_NUMBER_VARIATION	WP_4P163_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.8625	0.937024410986746	0.767781353811985	NA	29	TACC3;SLBP;NELFCD;NSD2
WP_5Q35_COPY_NUMBER_VARIATION	WP_5Q35_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.867235079171742	0.937024410986746	-0.787856256209537	NA	102	ABL1;JUN;COX7A1;KDM6B;TPM2;ABRAXAS1;BABAM2;PDLIM7;GAB1;MYC;PIK3R1;PTPRN2;UIMC1;KIAA1191;CXCR4
