pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	9.99674704796387e-05	0.000333224901598796	-1.6013762914451	NA	195	ITIH5;CAVIN2;MYLK;SPARCL1;SORBS1;CD302;SSPN;UBC;MGLL;OMD;ITGA7;HSPB8;LIFR;PEX14;RNF11;PTGER3;ALDH2;PPP1R15B;EPHX2;LAMA4;CAVIN1;ACADM;ITSN1;LEP;COQ9;PDCD4;ENPP2;GADD45A;VEGFB;STAT5A;SOWAHC;LTC4S;ME1;NDUFA5;LPL;PHLDB1;CMPK1;ANGPT1;C3;STOM;ACO2;ADIPOQ;BCL6;NKIRAS1;IDH3A;GBE1;SUCLG1;DLD;PIM3;FZD4;MTARC2;GPX3;GHITM;DNAJB9;G3BP2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.803114571746385	0.854377203985516	-0.850580208128586	NA	191	ELANE;FLNA;APBB1;CCL2;IL13;PRKCB;IL6;DYRK3;CCND2;BCL10;RPL9;EIF3A;JAK2;SOCS5;CFP;INHBB;RPS3A;IL16
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0148514036491329	0.0275025993502461	-1.44565232893003	NA	100	SRF;ADAMTS1;TSC22D1;AKAP12;ARID5B;LIFR;PTPN21;PIAS1;PDLIM5;ABCC4;SGK1;CDC14B;FKBP5;ACTN1;ELL2;RAB4A;NCOA4;CAMKK2;MAF;UBE2J1;APPBP2;STK39;ALDH1A3;PLPP1;DNAJB9
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.287591240875912	0.35072102545843	-1.13256335033546	NA	33	MSX1;STC1;CCND2;FGFR1;KCNJ8;FSTL1;LPL
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	5.63455130179998e-07	2.83657047584231e-06	-1.78142460390959	NA	192	JAM3;NEGR1;MAP3K20;PKD1;CD34;NFASC;TMEM8B;FLNC;CDH4;PARVA;CLDN5;SLIT2;MYL9;NEXN;VCL;CADM2;NLGN3;NRXN2;ITGA9;ADAMTS5;KCNH2;ACTC1;ACTN2;ACTG2;ACTA1;SGCE;SPEG;ITGA10;CNTN1;EPB41L2;AKT3;SDC3;ALOX15B;TJP1;PECAM1;ZYX;ACTN1;ICAM2;RRAS;VWF;GAMT;FBN1;TSPAN4;ADAM23;NRTN;MMP2;AMIGO1;PTEN;RSU1;COL16A1;SORBS3;ACTB;BAIAP2;CDH11;CTNNA1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.112375533428165	0.16053647632595	-1.27348814279578	NA	43	TMEM8B;SLC2A4;SCUBE1;NTNG1;SRPX;AKAP7;GAS1;RHCG;CD160;MAL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.000765739483238654	0.00212705412010737	-1.57888697221017	NA	160	EGR3;PLPPR4;ATF3;GSN;EMP1;RHOB;GADD45B;JUN;ADD1;WEE1;BTG2;DCN;BCL2L2;TGFBR3;IER3;MCL1;IL6;ROCK1;SMAD7;SQSTM1;ETF1;CLU;CCND2;BCL10;CDKN1A;PDCD4;LMNA;SATB1;GADD45A;NEDD9;CASP9;CREBBP;TIMP2;VDAC2;TXNIP;MMP2;ANXA1;SOD2
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0712530712530713	0.10795919886829	-1.29192199592596	NA	105	RXRG;CH25H;NR3C2;ABCA8;HSD17B6;ABCD2;CYP46A1;EPHX2;ATXN1;ALDH9A1;ABCA9;PFKM;CYP27A1;MLYCD
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.382093316519546	0.431475246290061	-1.05011079078473	NA	74	ATF3;NIBAN1;ANTXR2;NFIL3;CPEB2;PNRC1;CLU;LDLR
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__BLCA_edgeR	tcga_cancer__BLCA_edgeR	0.0230067959694401	0.039666889602483	-1.39210964593379	NA	125	CFD;GSN;F10;CSRP1;A2M;MAFF;F8;THBS1;CPQ;RGN;ACOX2;ISCU;CLU;FYN;MSRB2;PECAM1;WDR1;PROS1;LRP1;VWF;CASP9;FBN1;GNG12;PRSS23;P2RY1;USP11;MMP2;ANXA1;C3;ITGB3;C1S;MMP3;LGMN;CFH;CTSO;ANG;CTSK;SERPINB2;C1R
