pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.129716981132075	0.269775862809988	-1.25260773923067	NA	53	VSTM4;BCL2;SMAD9;JUND;SIRT1;TMEM273;MYO1C;BMPR1A;BMP2;SMARCA5;NLRP3;RGMB;DLD;CLOCK;NEO1;DLST;SMAD5;CUL5;EIF4ENIF1;WDFY4
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.389749702026222	0.566744035409695	-1.05178648696398	NA	50	LDB3;NME5;CCSER2;ZMYND11;ACTN2;BMPR1A;NFKB1;SH3GL3;BMP2;GPR15;GHITM;RSPH14;MMRN2;RSPH4A;RSPH9;GRID1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.00452063246693794	0.0248634785681587	-1.53922465824765	NA	53	NRXN1;CRY2;C11orf96;TSPAN18;MAPK8IP1;PRDM11;HBEGF;PHF21A;SDCBP
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.00232439627721135	0.0153763003259621	-1.66519557949932	NA	31	C1QTNF9;SGCG;SGCA;FLNC;DMD;DTNA;SSPN;ADIPOQ;SGCD;ATXN1;SGCB;SNTA1;TRAF5
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.698005698005698	0.829790627967711	0.807799274557497	NA	9	NIPA2;TUBGCP4;TUBGCP5;NIPA1;FMR1;TUBGCP3
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.083232810615199	0.207061460740264	-1.32008319810518	NA	49	RIC3;MTMR10;TRPM3;GJC2;MITF;MYZAP;EID3;STXBP1;OTUD7A;KLF13;TJP1;KAT2B;SIN3A;CREBBP;GJA1;CALM1;NSMCE3;CHRNA7;DNMBP;CDC42BPB
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.415565345080764	0.592829937591777	-1.06162769161263	NA	14	MTMR10;FYN;OTUD7A;KLF13;KAT2B;CREBBP;CHRNA7
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.198007471980075	0.360649756356443	-1.20484958009595	NA	40	ADAMTSL3;CPEB1;ITPR1;RYR2;SH3GL3;DNM3;SHANK3;BTBD1;TENT4B;SHANK1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.449673202614379	0.62615040175569	-1.02108253617756	NA	31	CD81;PLN;MPL;NFATC2;JAK2;C3;RAB4A
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.0748040243223359	0.190771157000817	1.16141306259053	NA	73	PCNA;KIF22;CCT5;TRAF2;PPP4C;TLCD3B;CCT8;CCT3;MAZ;PAGR1;ASPHD1;ALDOA;CASP8;CCT6A;SEZ6L2;PAXIP1;KCTD13;IGFBP3
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.812796208530806	0.910691758777493	-0.791087722043974	NA	51	PRKAA2;PRKAG2;EEF2;UQCRC2;UQCRB;RPTOR;CALM1;CDR2;EEF2K;COX7C;CALM3;MOSMO;UQCRFS1;MT-CYB;CALM2;NDUFA4;MAPK1;MAPK3;PRKAB1
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.0534550195567145	0.151097315341425	-1.44059905021944	NA	28	BMERB1;MYH11;RAP1A;MPV17L;PCM1;PAFAH1B1;MARF1;DCP1A;PLAGL1;DCTN6;DCTN1;RAPGEF4;ACTR1A;ACTR10;DCTN4
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.466757123473541	0.641791044776119	-1.02108785751168	NA	21	PAFAH1B1;NDEL1;DBH;DCTN6;DCTN1;DCTN4;PPP2CA;DYNC1H1;DCTN5;DCTN3;DISC1;DCTN2
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.496	0.665952941176471	0.990180680725487	NA	76	RDM1;MYO19;LASP1;PIGW;MRM1;GRB7;MIEN1;ZNHIT3;STARD3;PCGF2;LHX1;EPOP;CACNB1;RAD51D;ERBB2;DDX52
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.0649248693653591	0.173831101849187	1.20029765569715	NA	99	AGRN;MCM2;TRAF2;ISG15;C1orf159;GABRD;ATAD3A;ATAD3B;NOC2L;PUSL1;PRKCZ;MRPL20-AS1;KLHL17;CCNL2;B3GALT6;CFAP74;CPTP;TMEM52;RER1;PHKG2;ELAVL1;C1QTNF12;FNDC10;INTS13;IFIH1;AURKAIP1;TRIM25;PLEKHN1;UBE2J2;TNFRSF18;NADK;INTS14;SDF4;PARD6B;CALML6;RBX1;PEX10;HES4;TNFRSF4
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.410832232496697	0.588838034959945	-1.05452012602915	NA	24	PRKAA2;PRKAG2;PYGO1;TJP1;GJA1
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BLCA_limma	tcga_cancer__BLCA_limma	0.163377192982456	0.315355977152183	-1.18196915584323	NA	109	FGF10;BCL2;SLC2A4;CLDN5;RELN;SRF;PRKN;HAND2;FGFR1;ACTA2;CHRD;ACTC1;PPP1CB;SERPIND1;PITX2;C22orf39;NCOR1;SHOC2;CUL3;VWF;OAT
