pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.817005545286506	0.90447085913713	0.832110621684558	NA	52	PCNA;BMPR1B;MEN1;ELK1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.609544468546638	0.782349035793287	-0.918039593839874	NA	52	PPARG;MMRN2;LDB3;CEBPA;BMPR1A;GRID1;BMP2;SNCG;PRXL2A;CCSER2
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.861367837338262	0.928480865461802	0.802937244950979	NA	52	SYT13;LEF1;VANGL1;TP53I11;IGSF8;B4GALT4;TIMP1;CHST6;SLC25A17
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0824524312896406	0.289440203562341	-1.35752060013192	NA	32	C1QTNF9;ADIPOQ;DMD;SSPN;SGCG;FLNC;SGCA;SACS;SGCB
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.268683274021352	0.53618811263033	1.17246308981592	NA	9	NIPA1;NIPA2;FMR1
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.602564102564103	0.778715624878447	-0.928768658543398	NA	48	TRPM3;MYZAP;OTUD7A;KAT2B;STXBP1;MTMR10;RIC3;MITF
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.356828193832599	0.601321585903084	-1.10922355889516	NA	13	OTUD7A;KAT2B;MTMR10;GPR75;FYN;KLF13;CHRNA7
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.39323467230444	0.623404654654655	-1.0283281178752	NA	40	CPEB1;NMB;SHANK3;BNC1;ALPK3;WHAMM;SLC28A1;EGF;DNM3;ITPR1;TM6SF1;PDE8A;RYR1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.243445692883895	0.510450646369458	1.1696611131455	NA	30	VAV2;TRAF2;GRB2;ATXN2L;IFITM1;RABEP2;CD19;ATP2A1;TUFM;NFATC2IP
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.00361060840488943	0.0338350716874515	1.60651239212114	NA	71	PCNA;CCT3;PPP4C;KIF22;MAZ;EZR;KCTD13;PAGR1;CCT6A;TRAF2;CCT2;CCT5;TLCD3B;UNC13A;PRRT2;CCT8;ESR1;PPP2R1A;QPRT;DOC2A;ALDOA;PAXIP1;MVP;SEZ6L2;CCT7;CORO1A;TAOK2;PPP2CA;CCDC6;PPP4R1;INO80E;HIRIP3;TMEM219;CASP8
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0534069981583794	0.232537647483853	1.38971149747995	NA	51	CDK1;CDK2;CDR2;MLST8;MAPK13;CALM2;COX5A;RAB5IF;NDUFA9;UQCRQ;POLR3E;PRKAG1;RPS6KA1;CYC1;CALM3;UQCRC1;VWA3A;NDUFS8
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.44106463878327	0.655789686085728	1.00553931462908	NA	28	PLK1;NDE1;GATA3
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.175925925925926	0.437411455171018	1.24891573251499	NA	21	CDK5;YWHAZ;DCTN5;YWHAH;YWHAB;TH
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.23960396039604	0.505868581733051	1.11778727765708	NA	78	CCL11;RDM1;MIEN1;LIG3;MYO19;CCL7;PCGF2;CISD3;AATF;PGAP3;ERBB2;LHX1;PIGW;SRCIN1;LASP1;STARD3;AP2B1
