pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.00374688884492524	0.0158391210262749	-1.61727082629207	NA	42	ABCA10;ABCA9;ABCB5;ABCA8;ABCB1;ABCA6;ABCA5;ABCG2;ABCD2;ABCD4;CFTR;ABCC9
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.309061488673139	0.491328520454734	-1.07300050852623	NA	56	ZBTB16;STAT5B;RUNX1T1;KIT;PIK3R1;STAT5A;TCF7L2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.389324960753532	0.561352268993465	-1.03313527616248	NA	72	EGFR;TGFBR2;MET;WASF3;SORBS1;NECTIN3;TCF7L2;WASF2;PTPRB;PTPRM;CTNNA3;FGFR1;FER;TCF7L1;FYN;PARD3;TCF7;CSNK2A2;VCL;SMAD4;SNAI2;WASF1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.000621030093212463	0.00350035143447025	-1.69054271441431	NA	62	LEPR;CD36;IRS2;SLC2A4;ACACB;PPARA;ACSL1;ACSL5;ADIPOQ;PPARGC1A;RXRG;LEP;ACSL4;PCK1;AKT3;MAPK10;PRKAA1;TNFRSF1B;IRS4;PRKAG2;IRS1;SOCS3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.845982142857143	0.925603991596639	0.769074990533454	NA	29	ADSS2;IL4I1;PPAT;NIT2;GOT2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.00160030111488944	0.0080447569559307	-1.73909100233541	NA	34	NR3C2;ATP1B2;IRS2;ATP1A2;PIK3R1;IGF1;PRKCA;SGK1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.546948356807512	0.715193897012079	0.961784509680858	NA	32	CD80;IL12B;HLA-C;CD86;HLA-A;HLA-B;HLA-DQA1;HLA-G;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-F;HLA-DPB1;HLA-DRB5;FASLG;IFNG;HLA-DPA1;HLA-DMB
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.176146788990826	0.317854538826103	-1.2362878481576	NA	15	PLA2G4A;PLA2G5;PLA2G2A;PLA2G6;JMJD7-PLA2G4B
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0179713492210999	0.0547978845102392	1.34756048116221	NA	158	APH1A;CASP3;CDK5;COX6C;SDHC;GRIN2D;NCSTN;CDK5R1;COX6A1;NDUFS2;HSD17B10;PSENEN;NDUFAB1;COX7A2;NDUFB4;NDUFB9;ATP2A3;PLCB3;GSK3B;CYC1;CALM2;NDUFA8;PSEN1;CYCS;FADD;PSEN2;EIF2AK3;UQCRQ;ITPR3;NDUFS6;NDUFB10;NDUFS3;COX8A;GAPDH;ATP5MC1;ATF6;CAPN1;ATP5PD;ATP5F1E;NDUFB3;NDUFA2;NDUFB2;NDUFB6;COX5A;ATP5F1C;COX6B1;NDUFS8;IDE;CALM3;CASP7;CASP8
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	8.04009322231585e-08	2.49242889891791e-06	2.23801989305691	NA	40	TARS2;FARSA;GARS1;MARS1;DARS2;EPRS1;EARS2;RARS1;TARS1;YARS1;IARS2;NARS1;VARS1;PARS2;YARS2;IARS1;HARS2;LARS2;FARSB;CARS1;MARS2
