pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0134111926517953	0.0449236925878664	1.57906115692748	NA	7	HMGA1;BANF1;XRCC4;XRCC5
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.00323242771329365	0.0133516594591057	-1.66709150975407	NA	7	ABCB1;SLC22A3;ADH1A;ABCG2;PCK1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0632824686963104	0.163226396695578	1.28364274203753	NA	88	PSMA5;PSMC4;PSMD14;PSMB4;ABCC5;ABCB8;PSMB3;PSMA4;PSMD12;PSMD11;PSMC2;PSMD3;ADRM1;PSMA3;PSMD2;PSMA7;DERL1;EIF2S2;ABCB10;PSMB2;RNF5;SEM1;PSMD1;PSMC6;PSMB5;ABCF1;PSMB7;VCP;ABCA3;PSMD13;ABCB9;PSMA6;ERLEC1;ABCG1;PSMD8;ABCD3
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.00920077609615184	0.0338955826244928	-1.70657194999271	NA	16	ABCA10;ABCA9;ABCA6;ABCA5;ABCD2
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.000340432031719882	0.00181154822885175	1.7514232242958	NA	64	PSMA5;PSMC4;PSMD14;PSMB4;PSMB3;PSMA4;PSMD12;PSMD11;PSMC2;PSMD3;ADRM1;PSMA3;PSMD2;PSMA7;DERL1;PSMB2;RNF5;SEM1;PSMD1;PSMC6;PSMB5;PSMB7;VCP;ABCA3;PSMD13;PSMA6;ERLEC1;PSMD8
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0261812975936984	0.0786326429424298	1.49565440153503	NA	20	UBE2C;UBE2S;ANAPC7;ANAPC11
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.14498933901919	0.304048649398822	1.31169611377713	NA	17	CCNE2;E2F1;E2F2;CDK2;CCNE1;E2F3;TFDP1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.000266001456621484	0.0014547980899175	1.87944293254702	NA	22	POLR2H;NCBP2;POLR2K;NCBP1;POLR2D;POLR2G;POLR2J;NELFCD;NELFB;CTDP1;GTF2F1;NELFE;SUPT5H;NELFA;POLR2I
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.79375	0.871999429768288	0.742828160708405	NA	11	CHRNA6
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.655511811023622	0.786305005111696	-0.865868695145708	NA	5	KCNMB1
