pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.895883777239709	0.946869032854977	0.769620571681339	NA	52	PCNA;ELK1;MEN1;SIRT6;PARG;BAZ1B;HSF1;SMARCB1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.543293718166384	0.701272742597744	-0.943254153357236	NA	52	MMRN2;PPARG;BMP2;RGR;SNCG;GRID1;BMPR1A;LDB3;CCSER2;NRG3;SH3GL3;CEBPA;PRXL2A;GPR15
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.636672325976231	0.775598148110268	-0.899008225199934	NA	52	NRXN1;PRDM11;ALX4;CRY2;ACCS;HBEGF;ITGA6
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.142857142857143	0.328282828282828	-1.266880458553	NA	32	DMD;C1QTNF9;SSPN;ADIPOQ;FLNC;SACS;SGCG;SGCB;SGCA
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.277904328018223	0.484488938326536	1.18469368231975	NA	9	FMR1;NIPA1;NIPA2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.673123486682809	0.799663672168872	0.899447880305734	NA	48	FANCI;FANCD2;SMC6;STX1A;NECAB3;NSMCE2;TJP3;SLF1;SERPINH1;SPEF1;UBN1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.260204081632653	0.472626176218991	-1.17891136216859	NA	13	OTUD7A;KAT2B;MTMR10;CHRNA7;GPR75;KLF13;FYN
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.51505016722408	0.675353965668463	-0.956644441701586	NA	40	CPEB1;BNC1;SHANK3;SLC28A1;NMB;WHAMM;ITPR1;RYR1;DNM3;SH3GL3;ALPK3;PDE8A;C15orf40;ADAMTSL3;TM6SF1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.166666666666667	0.361111111111111	1.22602609591662	NA	30	VAV2;TRAF2;GRB2;ATXN2L;RABEP2;TUFM;NFATC2IP;PRMT1;IFITM1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0001886794053014	0.00323958978913725	1.80675014313682	NA	71	CCT3;PPP4C;PCNA;KIF22;EZR;MAZ;CCT6A;KCTD13;TRAF2;PAGR1;CCT2;CCT5;CCT8;PPP2R1A;UNC13A;TLCD3B;ALDOA;CCT7;TAOK2;PPP2CA;PPP4R1;CCDC6;PAXIP1;CASP8;PRRT2;MVP;TMEM219;PPP4R2;QPRT;CORO1A;HIRIP3
