pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.287878787878788	0.48996032709902	-1.18435439871919	NA	6	ALDH1L1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0665236051502146	0.202084149358001	1.46311988349822	NA	9	BOLA2B;NDUFAB1;NFS1;GLRX5;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.934579439252336	0.964021511974256	-0.659885767522319	NA	17	ADHFE1;TAT;DLST
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.181146025878004	0.371572073573528	-1.22559955501832	NA	22	ZFP36;ZFP36L2;ZC3H12B;ZC3H12C;NYNRIN;ZFP36L1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0642417679187243	0.19860854459476	1.43924276657736	NA	24	ELAVL1;MAPKAPK2;MYD88;HNRNPC;TARDBP;ANGEL2;LARP4B;RBM47;HNRNPA0;RBM10
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.035207903679315	0.143098480905429	1.52073337792468	NA	6	GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C6
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.00163225967864435	0.0161195917137378	1.75034248803988	NA	10	SNRPE;SNRPB;SNRPG;SNRPD1;SNRPF
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.0548523206751055	0.185007208073042	1.49170104779262	NA	8	NCBP1;RAMAC;CMTR1
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.329113924050633	0.53218062605753	1.15482882632641	NA	6	SLC44A4
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.74904214559387	0.855646504376174	-0.785615177861744	NA	5	BCHE;SLC5A7
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.607913669064748	0.768588472172136	-0.91340173116329	NA	23	PDK4;ACSS2;MLYCD;PDK2;PDPR;ACAT1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__BRCA_limma	tcga_cancer__BRCA_limma	0.333333333333333	0.535703363914373	-1.07555168563492	NA	41	AASS;PDK4;ACACB;ACSS2;NUDT7
