pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.1671388101983	0.409802911635939	-1.16892858651956	NA	53	CHAT;BCL2;NEO1;MYO1C;SMAD1;BMP2;TMEM273;VSTM4;SLC18A3;DLD;WDFY4;BMPR1A;DLST;EIF4ENIF1;ELOA;SIRT6;GDF5;ATF2;SIRT1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.7734375	0.885554894504945	0.817099869467416	NA	47	LINC00858;VEGFA;MAD2L2;MAT1A;SHLD1;BUB1B;RSPH14;RGR;TNFSF11
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.720062208398134	0.855307053239752	0.851242710844007	NA	51	LARGE2;TIMP1;SHH;LEF1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.338461538461538	0.594697454539248	-1.0741184806567	NA	30	SGCG;FLNC;SGCA;C1QTNF9;SSPN;DMD;CDC42;DTNA;SGCB
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.9449378330373	0.975797289296401	0.578781233297951	NA	9	TUBGCP3
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.226890756302521	0.491864831038799	-1.13497177477315	NA	48	KAT2B;RIC3;OTUD7A;MTMR10;KLF13;CGN;CALM1;EID3;MITF;MYZAP;TJP3;TJP1;SIN3A;CCL5
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.360975609756098	0.612653942943679	-1.10395264590944	NA	14	KAT2B;OTUD7A;MTMR10;KLF13
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.173441734417344	0.419646623906872	-1.18930003724238	NA	37	PDE8A;CPEB1;SYNJ1;ADAMTSL3;ITPR1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.882352941176471	0.946174240304438	0.720907197263797	NA	30	IFITM1;PRMT1;ATP2A1-AS1;SPNS1;TRAF2;ATP2A1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.284649776453055	0.551169032065678	1.11790674492686	NA	71	ASPHD1;CCT6A;CCT3;CCT4;CCT2;CCT7;CCT5;PCNA;KCTD13;CCT8;PAXIP1;SEZ6L2
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.25585023400936	0.526108552476461	1.12792563981989	NA	49	CDK2;TRAP1;RAB5IF;CDK1;POLR3E
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.303921568627451	0.563022380669439	-1.09425961417282	NA	28	MYH11;RAP1A;PAFAH1B1;BMERB1;MARF1;DCTN1
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__COAD_DESeq2	tcga_cancer__COAD_DESeq2	0.756896551724138	0.876356234761407	0.790255606812064	NA	21	TH;CDK5
