pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.278169014084507	0.454035960780829	1.17307718286363	NA	7	HMGA1;XRCC5;BANF1
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.594965675057208	0.762864816354105	-0.884177688713009	NA	6	ABCG2;PCK1;ABCB1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.421348314606742	0.608996095826383	1.02626854781272	NA	89	EIF2S2;ABCB6;EIF2S3;ADRM1;PSMA7;PSMD14;PSMA1;ABCC10;ABCC1;PSMC2;PSMD7;PSMB7;PSMB2;ABCA12;UBA52;KCNJ11;PSMA2;SEM1;PSMB5;PSMA6;PSMD12;PSMD13;PSMB3;PSMB1;RPS27A;PSMB4;PSMD6
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.0112230378752154	0.039615982300561	-1.69052347661778	NA	17	ABCD3;ABCD2;ABCA9;ABCA6;APOA1;ABCA5;ABCA10;PEX19;ABCG5;ABCG8;ABCG1
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.195588235294118	0.352576147447789	1.16543925738259	NA	65	ABCB6;ADRM1;PSMA7;PSMD14;PSMA1;PSMC2;PSMD7;PSMB7;PSMB2;ABCA12;UBA52;KCNJ11;PSMA2;SEM1;PSMB5;PSMA6;PSMD12;PSMD13;PSMB3;PSMB1;RPS27A;PSMB4;PSMD6
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.0106423106712978	0.0378678203002806	1.66434646628391	NA	20	ANAPC7;UBE2C;UBE2S;CDC16;SKP2;ANAPC5;ANAPC11;ANAPC10;FZR1;ANAPC1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.00108254535877655	0.0055602039876871	1.85083785517476	NA	17	CCND1;CDK2;E2F1;CDK4;CCNE1;TFDP1;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.0064128267091	0.0248818365320596	1.68376381459403	NA	23	SUPT4H1;NELFCD;POLR2D;GTF2F2;POLR2I;NELFA;NCBP2;POLR2H;POLR2G;POLR2C;NELFE;POLR2F;POLR2L;POLR2K;POLR2J;POLR2E;NELFB
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.375576036866359	0.56176987113696	-1.07247471548993	NA	7	CHRNA3;CHRNA1;CHRNB4;CHRNA7
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__COAD_edgeR	tcga_cancer__COAD_edgeR	0.13659793814433	0.271662790563134	-1.27495124693545	NA	17	CHAT;SLC5A7;VAMP2;SLC18A3
