pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.294623655913978	0.4746119257087	1.14938436887022	NA	7	HMGA1;XRCC5;BANF1
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.419103313840156	0.59891215493932	-1.06246420899292	NA	6	ABCG2;PCK1;ABCB1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.38013698630137	0.562272737667803	1.03143774905861	NA	89	EIF2S2;EIF2S3;PSMA7;ADRM1;PSMD14;ABCB6;ABCC10;PSMC2;ABCC1;PSMA1;PSMB7;PSMD7;PSMB2;UBA52;PSMD13;PSMD12;PSMD6;PSMB1;PSMB4;PSMB3;PSMB5;RPS27A;KCNJ11;PSMA5;SEM1;ABCC2
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.00642574678908991	0.0250251061764117	-1.69140901941881	NA	17	ABCA6;ABCA9;ABCD2;ABCD3;ABCA5;ABCA10
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.12962962962963	0.275510580546552	1.20306707962722	NA	65	PSMA7;ADRM1;PSMD14;ABCB6;PSMC2;PSMA1;PSMB7;PSMD7;PSMB2;UBA52;PSMD13;PSMD12;PSMD6;PSMB1;PSMB4;PSMB3;PSMB5;RPS27A;KCNJ11;PSMA5;SEM1;ABCC2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.000237213405765824	0.00150122198220372	1.99317078150843	NA	20	ANAPC7;UBE2C;UBE2S;CDC16;ANAPC5;SKP2;ANAPC11;ANAPC10;FZR1;ANAPC1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.00028573549079894	0.00176419264702342	2.01709730522759	NA	17	CCND1;CDK2;E2F1;CDK4;CCNE1;TFDP1;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.00225655879939582	0.0104130786263786	1.84898973999452	NA	23	NELFCD;POLR2D;GTF2F2;SUPT4H1;NELFA;NCBP2;POLR2H;POLR2G;POLR2C;NELFE;POLR2I
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.154562383612663	0.312297085247023	-1.32333870816505	NA	7	CHRNA3;CHRNA7;CHRNA1;CHRNB2;CHRNB4
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.0683760683760684	0.174083898221829	-1.43479373669932	NA	17	CHAT;SLC5A7;VAMP2;SNAP25;SLC18A3
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.0725952813067151	0.180494722903461	-1.42820423594062	NA	10	GNAQ;GNA11;MARCKS
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.0990566037735849	0.226488131466829	-1.31063266053567	NA	31	CNTN1;DNER;NEURL1B;ARRB1;NEURL1;NUMB;PSEN1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.853801169590643	0.927511678652652	-0.674667352848996	NA	6	TIAM1;NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	tcga_cancer__COAD_limma	tcga_cancer__COAD_limma	0.225045372050817	0.400896256172638	-1.22256135612922	NA	10	KRAS;SOS1;GRB2;FRS2;NTRK2
