pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	8.245205971382e-06	2.74840199046067e-05	-1.74859190921314	NA	196	PTGER3;SORBS1;LIFR;DBT;ACADL;PDCD4;ACO2;ITIH5;ACADS;CD302;DHRS7;MYLK;CAVIN2;SCP2;ITGA7;CPT2;FZD4;MTARC2;ACADM;SPARCL1;RNF11;HADH;NDUFA5;PHYH;ACOX1;HSPB8;NKIRAS1;GPX3;MAP4K3;ADIPOQ;ELMOD3;ADCY6;COQ9;SSPN;VEGFB;ALDH2;UQCRQ;UQCRC1;CD36;ITSN1;CRAT;CAT;RETSAT;SULT1A1;CYP4B1;REEP5;EPHX2;CHCHD10;SAMM50;FABP4;GPAM;PGM1;MIGA2;ATP5PO;GHITM;GADD45A;SNCG;PPP1R15B;OMD;SLC27A1;HIBCH;ENPP2;ADIPOR2;DNAJB9;PHLDB1;CAVIN1;AGPAT3;CCNG2;MGLL;QDPR;SUCLG1;AIFM1;PFKL;DLD;ANGPTL4
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	2.74517174817904e-10	1.37258587408952e-09	2.04091912770108	NA	192	IL11;MMP9;BRCA1;NME1;CD80;CCL7;CD86;STAT1;RIPK2;NOS2;CXCL9;TAP1;TRAF2;TAP2;UBE2D1;GZMB;MRPL3;F2R;WARS1;LIF;ITGB2;EIF5A;IGSF6;IRF7;CCL4;TNF;SOCS1;IL27RA;LCK;SPI1;ICAM1;GZMA;TIMP1;PTPN6;INHBA;TGFB2;FYB1;TLR2;C2;HIF1A;KRT1;CDKN2A;IL2RB;IL2RA;NPM1;LCP2;HLA-A;LYN;THY1;IFNGR2;UBE2N;CAPG;CD4;RPS19;NCK1;TAPBP;IL1B;IFNG;CXCL13;CCL5;ABCE1;LY86;BCAT1;TLR6;PRF1;B2M;WAS;ELF4;ST8SIA4;IL12RB1;CCR5;PSMB10;CD7;RPL39;CD247;CD3D;ACHE;IFNGR1;CD2;HCLS1;CD40;CD3E;CD28;LY75;GLMN;FAS;GPR65;ABI1;HLA-E;PF4;IFNAR2;PTPRC;CD96;TGFB1;CCL2;HLA-DMB;PRKCG;MTIF2;HLA-DOB;HLA-DRA;CCND3;DARS1;CXCR3;IL15;FASLG;CCL22;IL2RG;LTB;CCL13;HLA-DOA;CCR1;IRF8;EGFR;CD74;SIT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.0815850815850816	0.11025011025011	-1.25657164402613	NA	100	LIFR;RAB4A;PTPN21;HPGD;GPD1L;HOMER2;FKBP5;ELL2;ACSL3;AKAP12;ADAMTS1;ARID5B;UAP1;NGLY1;SPCS3;IQGAP2;INSIG1;PLPP1;SELENOP;PDLIM5;BMPR1B;UBE2J1;TMPRSS2;TSC22D1;CDC14B;PIAS1;STK39;AZGP1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.0117289182511627	0.0217202189836345	1.56568966745829	NA	34	SPP1;OLR1;CXCL6;COL5A2;COL3A1;TIMP1;JAG1;JAG2;VAV2;S100A4
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.427797833935018	0.475330926594464	1.00346658991169	NA	195	MMP9;CD86;LAMC2;CDH3;CLDN6;TNFRSF11B;RAC2;MDK;DMP1;CD276;ICAM5;FSCN1;AMIGO2;PFN1;TGFBI;GRB7;TUBG1;AMH;BMP1;ITGA2;ICAM1;CD274;SLC30A3;FYB1;COL17A1;LAMB3;ITGA3;ITGB4;VCAM1;DSC1;THY1;VAV2;ADAM23;CDH11;CLDN9;CLDN8;LAMA3;IKBKG;CNN2
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.18018018018018	0.225225225225225	-1.20591322731818	NA	43	GHRL;SCUBE1;SLC2A4;TMEM8B;ATP8B1;SRPX;CD160;MAL
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.00309314896083575	0.00672423687138207	1.44968308476731	NA	160	CDC25B;TOP2A;BRCA1;BID;BAX;CDK2;HMGB2;TNFSF10;CCNA1;BCAP31;TAP1;BGN;BCL2L11;PPT1;CASP2;F2R;AIFM3;PMAIP1;TNF;LEF1;IFITM3;IL1A;TIMP1;TGFB2;SLC20A1;CD14;CD38;CCND1;PPP3R1;DAP3;CASP1;EBP;IL1B;BTG3;BIK;ERBB2;PRF1;TNFRSF12A;PLCB2;GSTM1;GPX1;GCH1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	9.9182697926367e-05	0.000261007099806229	-1.81200533338037	NA	105	GNMT;MLYCD;GC;PXMP2;APOA1;RXRG;AR;ABCA8;SCP2;IDH2;ABCA9;SULT1B1;PEX7;PHYH;ALDH1A1;NR3C2;ABCA6;ABCA2;ABCD3;HSD17B4;ABCA5;AMACR;TTR;NUDT12;PEX11A;ISOC1;CAT;RETSAT;SOAT2;EPHX2;NR0B2;ALDH9A1;CYP46A1;TFCP2L1;ABCA3;ABCG4;PEX19;PEX12;PRDX5;ACSL1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.714795008912656	0.744578134284017	0.874996520416626	NA	74	PLAUR;TRIB3;PLSCR1;FBXO6;SCD;JAG1;GLDC;CXCL16;EBP;TNFRSF12A;FADS2;DHCR7;HSD17B7;GPX8;ATF5;CTNNB1;GUSB;FDPS;S100A11;NSDHL;ANXA13
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.0680628272251309	0.0972326103216156	1.24660027105753	NA	123	MMP11;MMP3;PLAU;OLR1;MMP9;APOC1;MMP10;MMP1;MMP14;BMP1;ITGA2;TIMP1;MMP7;C2;SH2B2;SPARC;CTSV;HRG;PLEK;SERPINE1;TFPI2;S100A13;MMP8;F12;F2RL2;DUSP6;C1QA;FURIN;MEP1A;GNB2;C9
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	0.00100301680933389	0.00227958365757701	1.51163200079518	NA	196	MMP12;OLR1;PLA2G7;CXCL1;APOC1;PCSK9;MMP13;PLAUR;CTSC;CASP5;PSMB9;MMP14;CDA;FCER1G;KYNU;CDH13;APOBEC3F;GZMB;LIPA;PFN1;PPP4C;PLSCR1;IRF7;RCE1;LCK;F5;SIRT6;GZMA;APOBEC3G;TIMP1;TNFAIP3;C2;USP14;PDP1;GATA3;CTSV;LCP2;C1QC;PLEK;LYN;SERPINE1;TFPI2;GRB2;S100A13;CASP1;MMP8;SH2B3;CCL5;DUSP6;KIF2A;HSPA5;C1QA
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	2.09413792135597e-10	1.16340995630887e-09	2.14147952441683	NA	148	PCNA;RFC3;RFC4;FEN1;RAD51;PRIM1;TYMS;POLD1;LIG1;ADRM1;NME1;RPA3;RAE1;RFC5;ZWINT;ALYREF;POLA2;NELFCD;GTF2H3;SAC3D1;RFC2;DGUOK;POLR2G;CSTF3;CDA;POLR2H;BCAP31;ARL6IP1;DUT;POLD3;SSRP1;SNAPC4;NCBP2;HPRT1;GTF3C5;CMPK2;TAF6;POLR2J;POLA1;ZNF707;POLR2K;POLR1C;ITPA;TARBP2;TP53;NUDT21;POLB;AAAS;NT5C3A;UMPS
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	1e-50	5e-49	3.03291377705405	NA	199	BIRC5;AURKA;UBE2T;TRIP13;CKS2;PCNA;TK1;CDC25B;CDKN3;UBE2S;ORC6;CKS1B;KIF4A;AURKB;DDX39A;TIMELESS;KIF2C;GINS1;MCM7;RFC3;CCNB2;CDK1;KIF22;MAD2L1;DLGAP5;TOP2A;CDC20;KIF18B;CENPE;CHEK1;RAD51AP1;HMGB3;CHEK2;KPNA2;LMNB1;DSCC1;RACGAP1;SPAG5;SPC24;MCM4;MYBL2;PRIM2;SNRPB;CENPM;DNMT1;MELK;PLK1;NUP107;DEPDC1;BUB1B;CDCA3;NOP56;STMN1;RANBP1;ASF1B;BRCA1;GINS4;PLK4;EZH2;POLD1;ATAD2;LIG1;HMMR;MCM2;NME1;PTTG1;CDCA8;MMS22L;MCM6;BRCA2;TFRC;MCM5;RPA3;H2AX;RRM2;SUV39H1;CSE1L;HELLS;TUBB;MCM3;MSH2;SPC25;TACC3;CCNE1;HMGB2;MKI67;TCF19;XPO1;NCAPD2;CDK4;DONSON;DCLRE1B;POLA2;SLBP;ANP32E;SMC4;PAICS;NASP;LYAR;PHF5A;CDC25A;RFC2;H2AZ1;ESPL1;TMPO;POP7;TIPIN;RAN;SRSF2;GINS3;CNOT9;DCTPP1;JPT1;PRKDC;DUT;MTHFD2;POLD3;RAD21;SSRP1;BARD1;NUP205;SMC6;POLE;CTPS1;PA2G4;TUBG1;ILF3;NOLC1;TBRG4;SMC3;DEK;EXOSC8;SRSF1;UNG;USP1;POLD2;TRA2B;PPP1R8;RAD1;PMS2;TP53;CDKN2A;HNRNPD
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	fgsea	tcga_cancer__ESCA_DESeq2	tcga_cancer__ESCA_DESeq2	3.16403842285711e-05	9.88762007142846e-05	1.65584022240522	NA	200	SPP1;MMP3;ADAM12;COL11A1;MCM7;CXCL8;CTHRC1;CXCL1;CXCL6;MEST;MMP1;SERPINH1;COL1A1;PLAUR;LAMC2;COLGALT1;PMEPA1;MMP14;TNFRSF11B;BGN;P3H1;PLOD3;LOXL2;COL7A1;COL5A2;TGFBI;COL5A3;IGFBP3;LAMA1;BMP1;ITGA2;PLOD1;COL3A1;TNC;FAP;LRRC15;TIMP1;SNAI2;INHBA;FOXC2;IL32;PTHLH;PFN2;TNFAIP3;SPARC;MATN3;SFRP4;NTM;BASP1;PPIB;COL5A1;VCAM1;SERPINE1;TFPI2;THY1;CAPG;THBS2;COL1A2;CDH11;GPC1;COL12A1;LOX;DKK1;WNT5A;GPX7;LAMA3;PRRX1;LGALS1;TNFRSF12A;COL4A1;SERPINE2;FBN2;TPM4;OXTR
