pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.20097244732577	0.349353973856011	-1.18686575401805	NA	44	ABCC9;ABCA8;ABCC8;ABCA9;ABCA6;ABCA2;ABCA5;ABCD3;ABCC6;ABCA10;ABCB5;ABCB1;ABCA3;ABCG4
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.92822966507177	0.943446544827045	-0.710942403507106	NA	56	KIT;ZBTB16;RAF1;RUNX1T1;PIK3R1;SOS2;BRAF
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.358858858858859	0.50615359369872	-1.05994151049882	NA	72	CTNNA2;ACTN2;SORBS1;PTPRM;WASF3;SMAD4;NECTIN3;TGFBR2;PTPRB;FGFR1;CTNNA3;MAPK1;PTPRJ;VCL
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.00315739956076502	0.0124952408149424	-1.68217527453125	NA	63	NPY;LEPR;ACACB;SLC2A4;ADIPOQ;PRKAB1;PRKAG2;PRKAB2;RXRG;ACSL3;PPARA;PRKAA2;ACSL6;CD36
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.352445193929174	0.504267739006356	-1.08059521169622	NA	29	GLUL;GPT2;ASPA;GPT
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0258794882904322	0.0729331033639454	-1.5330031099207	NA	35	SCNN1G;NEDD4L;ATP1B2;SCNN1B;FXYD4;ATP1A2;NR3C2;PIK3R1;PDPK1;IGF1;MAPK1;ATP1B1;PRKCB;IRS4;MAPK3
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.000419975868124087	0.00289316709152149	1.85593657121536	NA	31	CD80;CD86;HLA-B;GZMB;HLA-C;HLA-A;TNF;IFNG;HLA-F;PRF1;FAS;CD40;CD28;HLA-E;HLA-DQA2;HLA-DMB;HLA-DPB1;HLA-DOB;HLA-DRA;HLA-DRB5;FASLG;HLA-DPA1;HLA-DOA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.00422975387057624	0.0154261611750428	-1.72582830879614	NA	18	PLA2G1B;PLA2G12A;PLA2G5;ACOX1;ACOX3;PLA2G2C
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0903054448871182	0.195311776151209	-1.26603142834141	NA	159	ITPR1;MAPT;NDUFS1;RYR3;EIF2AK3;CHP1;MT-CO1;GRIN2A;ERN1;CACNA1C;MT-CYB;ATP5F1A;NDUFA10;NDUFA5;GNAQ;COX7A1;MT-ATP6;ATP5PF;MT-CO3;APBB1;PPP3CB;UQCRC2;UQCRFS1;ATP5PB;ATP2A3;CALM1;CAPN2;MT-ATP8;UQCRQ;NDUFV3;UQCRC1;COX7C;PLCB4;MT-CO2
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0440867322142041	0.111608030079539	1.39371211681978	NA	41	YARS2;WARS1;DARS2;FARSA;KARS1;TARS1;GARS1;VARS1;MTFMT;FARSB;IARS2;AARS2;NARS2;SARS2;DARS1;TARS2;EPRS1;PARS2;AARS1;MARS1;EARS2;MARS2
