pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0214367706680572	0.066708831799199	1.51838799561376	NA	7	BANF1;XRCC4;XRCC6;HMGA1;XRCC5
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0576873943572858	0.151018099547511	-1.55531986225652	NA	7	ADH1A
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.000185795316369526	0.000961382741679522	1.74318389500079	NA	90	PSMA7;ADRM1;PSMB3;PSMB2;PSMA4;PSMD11;PSMD14;PSMC4;PSMB4;PSMA3;SEM1;PSMA6;PSMC2;DERL1;EIF2S2;PSMD3;PSMD13;PSMB1;PSMB5;PSMD2;PSMA5;PSMC3;PSMB7;PSMA1;PSMD12;ABCF1;PSMC1;ABCD1;PSMD1;ABCC10;PSMC6;PSMD8;PSMB6;PSMD7;EIF2S1;ABCC4
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.0899280575539568	0.208971204237654	-1.4486066187508	NA	18	ABCA9;ABCA6;ABCA2;ABCA5;ABCD3;ABCA10;ABCA3;ABCG4;PEX19
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	6.15171581047302e-06	3.96741092124709e-05	1.99890736481136	NA	65	PSMA7;ADRM1;PSMB3;PSMB2;PSMA4;PSMD11;PSMD14;PSMC4;PSMB4;PSMA3;SEM1;PSMA6;PSMC2;DERL1;PSMD3;PSMD13;PSMB1;PSMB5;PSMD2;PSMA5;PSMC3;PSMB7;PSMA1;PSMD12;PSMC1;ABCD1;PSMD1;PSMC6;PSMD8;PSMB6;PSMD7
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.00491809707205324	0.018785864352478	1.76212436896931	NA	20	UBE2S;UBE2C;SKP2;UBE2D1;ANAPC11;ANAPC7;CDC27;CDC23;ANAPC1;FZR1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.00415621145273938	0.0163673813846816	1.77133110152945	NA	17	E2F1;CDK2;CDK4;E2F3;CCNE1;TFDP1;CCNE2;CCND1;E2F2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.000855279049825438	0.00401687785933847	1.87739294145068	NA	22	NELFCD;POLR2G;POLR2H;GTF2F2;NCBP2;POLR2J;POLR2K;NCBP1;POLR2F;POLR2D;NELFE;POLR2C;POLR2I;NELFA;NELFB;POLR2E;POLR2L
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.405138339920949	0.581015798407103	-1.0799129539252	NA	9	CHRNA3;CHRNA7
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__ESCA_edgeR	tcga_cancer__ESCA_edgeR	0.27364185110664	0.448510584686758	-1.22198938429082	NA	5	KCNMB1;KCNMA1
