pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0585197934595525	0.134378784981195	-1.41024307954349	NA	44	ABCC8;ABCA8;ABCA9;ABCC12;ABCA6;ABCA5;ABCA3;ABCA2;ABCD3;ABCC6;ABCA10;ABCB1;ABCC9
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.68135593220339	0.800921955403088	-0.889698057409346	NA	56	ZBTB16;KIT;RAF1;SOS2;PIK3R1;BRAF;RUNX1T1;MAPK1;SOS1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.868770764119601	0.902745039811429	-0.793322549843656	NA	72	CTNNA2;SORBS1;CTNNA3;SMAD4;WASF3;TGFBR2;PTPRM;NECTIN3;MAPK1;PTPRB;ACTN2;SMAD2;FGFR1;AFDN;WASL;INSR
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.000518180200429685	0.00310908120257811	-1.80615751287494	NA	63	ACACB;ADIPOQ;SLC2A4;RXRG;LEPR;NPY;PRKAB1;PRKAG2;PRKAB2;CD36;PPARA;ACSL3;PPARGC1A;PRKAA2;ACSL6
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.33572710951526	0.487853456014363	-1.09275070709217	NA	29	ASPA;GLUL;ABAT;GPT;GPT2;ADSS1;GOT1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0260243089377414	0.0744695609603061	-1.49467407382889	NA	35	NR3C2;ATP1A2;SCNN1B;NEDD4L;SCNN1G;PDPK1;PIK3R1;ATP1B2;FXYD4;MAPK1;IRS4;PRKCB;ATP1B1;IGF1;INSR
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.000225577447227313	0.0016263855335314	1.90930425969145	NA	31	CD86;CD80;HLA-B;HLA-C;HLA-A;GZMB;HLA-F;HLA-DRA;HLA-DOB;IFNG;TNF;HLA-DQA1;HLA-DQA2;FAS;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-E;HLA-DQB1;CD28;IL10
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0700179533213645	0.150436751860239	-1.41289816310551	NA	18	PLA2G12A;PLA2G1B;ACOX1;ACOX3
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0839469808541973	0.171583938888799	-1.24238588671726	NA	159	GRIN2A;NDUFS1;ITPR1;RYR3;ATP5F1A;CHP1;MT-CO1;EIF2AK3;GNAQ;NDUFA10;MT-CYB;MAPT;PLCB4;ERN1;MT-ATP6;CACNA1C;NDUFA5;MT-CO3;UQCRC2;ATP5PF;ATP5PB;COX7C;ATP2A3;UQCRFS1;CAPN2;APBB1;PPP3CB;MAPK1;UQCRC1;NDUFV3;MT-ATP8;CALM1;CASP9;NDUFB8;NOS1;MT-CO2;ATP5PO
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0203850223874028	0.0611550671622084	1.48024255621097	NA	41	FARSA;DARS2;YARS2;TARS1;KARS1;VARS1;WARS1;GARS1;FARSB;MTFMT;IARS2;SARS2;NARS2;DARS1;TARS2;AARS2;PARS2;MARS1;EPRS1;AARS1;MARS2;EARS2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.760070052539405	0.835036775241188	-0.822390763939159	NA	43	CHIA;PMM1;UAP1;CYB5R1;UGP2;PGM1;GMPPB
