pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.292372881355932	0.546081255678264	1.20059711130054	NA	6	MTHFD1L;MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.696902654867257	0.847753644475453	0.816703603362651	NA	9	GLRX3;LYRM4;GLRX5;BOLA2B
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0264900684426118	0.116238006597231	-1.60861705927386	NA	16	ADHFE1;PHYH;GPT2;IDH2;KYAT3;GOT1;OGDH;D2HGDH;DLD;DLST
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.798214285714286	0.897018960914505	-0.7711643398788	NA	22	CPEB3;ZC3H12B;KHNYN;RBM24;RC3H1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.353333333333333	0.601076724693746	1.07143676055399	NA	25	HNRNPC;ELAVL1;TARDBP;RBM10;BOLL;MYD88;TENT4A
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0783898305084746	0.248894786758857	1.45919324605746	NA	6	GTF3C5;GTF3C2;GTF3C3;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.00011224150983358	0.00151289514020894	1.88937491247064	NA	10	SNRPB;SNRPG;SNRPD1;SNRPD2;SNRPF;SNRPE
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.326839826839827	0.578446465719255	1.15182871801571	NA	8	NCBP1;RNGTT;CMTR1;RAMAC
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.526415094339623	0.734455007688595	-0.986324936801608	NA	6	TACR2;CHRNA3;SLC44A4;SLC18A3
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.111320754716981	0.308003472351034	-1.36777851713221	NA	6	SLC5A7;CHAT;BCHE;SLC44A4;COLQ
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0458715596330275	0.177467392006199	-1.45921317897151	NA	23	MLYCD;ACAT1;PDK4;PDHB;PDK2;ACSS1;MPC2;ACSS2;DIP2A;SIRT4;PDHA1;BCKDK;PPCS;DLD
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0717948717948718	0.237270417073141	-1.35362557116482	NA	41	ACACB;MLYCD;ACAT1;PDK4;PDHB;HMGCS2;AASS;PDK2;ACSS1;MPC2;ACSS2
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0387440020709406	0.156040525799163	-1.40954416784736	NA	70	SLC1A2;SYT4;ABCC8;CLN8;SLC7A14;ATP1A2;SLC25A18;KCNK2;EPM2A;ABAT;PER2
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0143441966668416	0.0739924983488986	-1.60078894402295	NA	35	CCKBR;GHRL;SLC26A7;PTGER3;SLC9A4;ABAT;HRH2;CACNB4;TFF2;PNOC;KCNQ1
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.494339622641509	0.712478187741101	-1.00465837420616	NA	6	UNC13B;RIMS1
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.92511013215859	0.961032760943133	0.699324373713671	NA	28	KNL1;CEP78
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.0788530465949821	0.24961058675995	-1.37861330199388	NA	31	SPINK13;UNC13B;RIMS1;CACNA1H;TRIM36;AKAP3;PLCD4;SPINK1;IFTAP;ABHD2;RAB3A;GLRB;SPESP1;PLA2G10
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	tcga_cancer__ESCA_limma	tcga_cancer__ESCA_limma	0.468271334792123	0.69177142915666	0.977667860851055	NA	14	GAS2L3;DIAPH3;AIF1;LCP1
