pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.453831041257367	0.668266208251473	1.04798927447185	NA	7	XRCC4;BANF1;PSIP1;HMGA1;XRCC6
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.50709939148073	0.711688993958497	-0.978601871901793	NA	7	PCK1;NT5C2;ABCB1;SLC22A3;ABCG2
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.819047619047619	0.923584647643359	0.709587776995659	NA	5	SLC22A1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.723255813953488	0.871981020343913	-0.88258627097519	NA	89	ABCD3;CFTR;ABCA8;PEX19;ABCA9;ABCB1;PSMD6;ABCB7;KCNJ11;ABCA5;ABCC6;PEX3;ABCB4;UBC;ABCA6;ABCC9
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.118451025056948	0.297052797478329	-1.34573490894933	NA	17	ABCD3;PEX19;ABCA9;ABCA5;PEX3;ABCA6;ABCD2
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.772313296903461	0.893698490915793	0.83928907301337	NA	64	PSMD2;DERL1;ABCD1;PSMA2;PSMD11;PSMB2;PSMA6;ABCA1;SEM1;PSMB4;PSMA4;PSMD3;PSMB7;PSMD14;PSMB1;PSMC2;ABCG5;PSMA1;ADRM1;ABCB6;PSMB3;PSMC3
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.18978102189781	0.406122219906034	1.240815924853	NA	20	UBE2C;UBE2S;SKP2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.000554995845220426	0.00480724342404163	1.84724735944354	NA	17	E2F1;CDK2;CDK4;CCNE1;E2F3;CDK6;CCNE2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.016333373779336	0.0747911350933954	1.58107227215798	NA	22	NCBP2;POLR2H;POLR2K;NCBP1;POLR2D;POLR2G;NELFB;NELFCD
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.118518518518519	0.297052797478329	1.34572939930161	NA	12	CHRNA6;CHRNA5;CHRNB4
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.167714884696017	0.374085290083854	-1.31438793489435	NA	5	CHRNA10;KCNN2;KCNMB1
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.383658969804618	0.608429171544659	1.0645729492841	NA	17	STX1A;PPFIA1;SYT1;CHAT;SNAP25;STXBP1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.149789029535865	0.346436145536483	-1.32894415005218	NA	10	GNA14
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.523404255319149	0.720289049471929	-0.948589107822559	NA	30	DLK1;DNER;ARRB1;NEURL1;DTX1;UBC
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.925049309664694	0.967769171212264	0.578033673694496	NA	6	NTRK2;CDK5;BDNF;CDK5R1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.296846011131725	0.533861357360849	1.14959705580058	NA	11	GRB2;NTRK2;NRAS;NTF4;BDNF;FRS2;HRAS;FRS3
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.678500986193294	0.845582309087246	0.872533919894832	NA	6	FYN;NTRK2;SRC;BDNF
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.756592292089249	0.887608474762454	-0.772062848303123	NA	7	PIK3R1;GAB1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.182163187855787	0.395499224701679	1.26431815541837	NA	9	SHC1;GRB2;NTRK2;NRAS;NTF4;BDNF
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.278787878787879	0.515830556877677	-1.21249679454699	NA	6	NTRK3;PIK3R1
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.37791932059448	0.603782495018486	-1.09949636012225	NA	8	NTRK3
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	4.3348230304612e-05	0.000563976415753112	1.96181890359058	NA	34	H3C8;H3C10;H4C9;H2BC9;H2BC12;H3C2;H2BC11;H2AC8;H3C3;H2BC5;H4C8;H2BC15;KDM1A;H2BC6;H4C14;H4C5;H2AX;H2AZ2
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.732181425485961	0.875886332882273	-0.823559569367857	NA	23	MAPKAPK3;MAP2K6;MAP2K3;UBC;TAB3
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.360619469026549	0.584600552082488	-1.06431978353415	NA	25	MAPT;PRKAA2;PRKAG2;PRKAG3;PRKAG1
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	5.37760740608496e-06	9.69615539444095e-05	1.89352564681283	NA	88	H3C8;H3C10;H4C9;HOXC4;H2BC9;H2BC12;H3C2;POLR2H;PAX6;H2BC11;H2AC8;H3C3;H2BC5;WDR5;POLR2K;AJUBA;H4C8;H2BC15;HOXD4;H2BC6;H4C14;H4C5;H2AX;H2AZ2;YY1;POLR2D;PCGF2;EZH2;SUZ12;H2AC20;POLR2G;PKNOX1;ZNF335
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.000177914452913345	0.00191691974571879	1.80735656419407	NA	64	UBE2C;UBE2S;PSMD2;PLK1;NEK2;CDC20;MAD2L1;CDK1;BUB1B;CCNA1;CCNB1;BUB3;PSMA2;PSMD11;PSMB2;CCNA2;PTTG1;PSMA6;SEM1;PSMB4;PSMA4;PSMD3;PSMB7;PSMD14;PSMB1;PSMC2;CDC27
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	5.42849519857617e-10	2.33954902826441e-08	2.27525948479195	NA	37	RFC4;CDC6;CLSPN;MCM5;ORC6;MCM7;CDK2;CDC45;MCM2;CDC25C;MCM8;RFC5;CHEK1;MCM6;MCM4;ORC1;MCM3;MCM10;RFC3;DBF4;RFC2;CDC7;RPA3;CDC25A;RAD1
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.182815356489945	0.395875900634477	1.24509897291196	NA	15	YWHAH;BID;AKT3
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	c2_reactome	fgsea	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0469924812030075	0.165080942913945	1.4038568943995	NA	30	E2F1;YWHAH;BID;TP63;AKT3;BCL2L11;BMF;BBC3;TP73
