pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.319634703196347	0.479452054794521	-1.07189983656465	NA	43	ABCD3;ABCA8;CFTR;ABCB11;ABCB1;ABCA9;ABCB7;ABCA5;ABCC6;ABCB4;ABCA6;ABCD2;ABCC9
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.838235294117647	0.93656753530933	-0.813767208364429	NA	56	ZBTB16;MAPK3;KIT;PIK3R1;PIM1;RAF1;AKT2;SOS2;STAT5B;IKBKB;CEBPA;RPS6KB1;ARAF
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.569306930693069	0.745711895133175	-0.952700530922224	NA	72	ACTN3;SORBS1;AFDN;LMO7;MAPK3;CTNNA3;CTNNA1;TJP1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0043083682234637	0.0174207932513967	-1.58849956052098	NA	62	ADIPOQ;SLC2A4;ACACB;LEPR;ACSL1;RXRG;PRKAA2;PPARGC1A;ACSL3;SOCS3;PRKAG2;PRKCQ;PRKAG3;CD36;AKT2;PRKAG1;ACSL6;PPARA;PCK1;ADIPOR1;IKBKB
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.264705882352941	0.417248255234297	-1.12880374383532	NA	28	ASPA;GPT2;GPT;GOT1;DDO;ADSS1;ALDH4A1;ASL;GLUL;GLUD2;ADSL
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0209183513205637	0.0627550539616912	-1.47362265621286	NA	34	SCNN1B;MAPK3;HSD11B2;NR3C2;PIK3R1;SCNN1A;ATP1A2;FXYD4;ATP1B4;IGF1;SCNN1G
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0755395683453237	0.175629496402878	1.36675666465586	NA	32	CD80;HLA-G;HLA-F;HLA-B;HLA-A;PRF1;HLA-DOB;IFNG;CD86;HLA-C;GZMB;CD40
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.00226821271374909	0.0100449420180317	-1.77347491752502	NA	15	PLA2G12A;ACOX3;ACOX1;PLA2G2A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	1.24059001430059e-07	1.92291452216591e-06	-1.95787380848548	NA	157	ATP5F1A;UQCRC2;CHP1;MAPT;COX7A1;MAPK3;ATP5PB;NDUFS1;COX7C;CALML6;ATP5F1B;NDUFS2;ITPR2;NDUFA5;APBB1;NDUFA4;NDUFC1;UQCRFS1;ATP2A1;SDHD;ATP2A3;NDUFA10;MT-CO1;COX5A;COX6A2;PPP3CB;CAPN2;IDE;ITPR1;ATP2A2;ATP5F1C;NDUFS7;ATP5PF;MT-CYB;CACNA1S;NDUFB3;CAPN1;NDUFS4;CACNA1D;UQCRC1;NDUFA1;MT-CO3;LPL;MT-ATP8;ATP5MC2;NDUFV3;NDUFC2;MT-ATP6;COX7B;PLCB4;SDHB;PPP3CC;NOS1;CASP9;ERN1;BACE2;NDUFA2;MT-CO2;UQCRB;GNAQ;COX8A;ATP5MC3;NDUFS3;ATP5PD
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.96229802513465	0.988880843508535	0.676799530563967	NA	40	DARS2;AARS1;WARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.271689497716895	0.421118721461187	-1.10247643287313	NA	43	GMDS;GMPPB;UGP2;PGM1;NAGK;GNE;GALE;HK1;UAP1;PGM2;PMM1;CMAS
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.543640897755611	0.722265764161026	-0.946736396680368	NA	51	CHP1;RAB5A;GRIA1;MAP2K6;CAT;PPP3CB;GRIA2;PRPH2;MAP2K3;SLC1A2;PPP3CC;NOS1;CASP9
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.00526820474087979	0.0208156066129436	1.56713589643175	NA	59	HLA-G;TAP1;HLA-F;TAP2;HLA-B;NFYA;PDIA3;HLA-A;IFI30;HLA-DOB;CALR;TAPBP;KIR2DL4;HSP90AA1;KLRD1;HSPA5;PSME2;HLA-C;CTSL;HSP90AB1;B2M;KLRC1;HLA-DMB;NFYB;RFX5;CD8A;LTA;RFXANK;CD4;LGMN;PSME1;CTSB;HLA-DQA2;HLA-E;HLA-DRB1;HSPA2;HLA-DQA1;CD8B;HLA-DRA
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.884228187919463	0.93656753530933	0.805582930213921	NA	83	BID;EXOG;PIK3CD;FADD;NTRK1;TNFRSF10B;PIK3CA;IRAK1;TRAF2;BAX;AKT3;IL1B;TNFSF10;IKBKG;CASP8
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	2.98268455363269e-05	0.000241208403032905	-1.9243510377812	NA	49	GPX3;PLA2G12A;CYP2J2;EPHX2;GGT6;PLA2G2A;ALOX12;CYP2E1;ALOX15;PTGIS;CYP2B6;CYP2C9;PTGDS;CYP2C19;CYP2C18;HPGDS;CYP2U1;LTA4H;ALOX15B;CBR3;PLA2G10;CYP4F2
