pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.890219560878243	0.980331239592378	0.631327928160766	NA	6	MTHFD1L;ALDH1L2;MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.992351816443595	1	0.457244551714304	NA	9	NFS1;LYRM4;BOLA2B;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0225729802258322	0.158236365878786	-1.61390264845144	NA	16	GPT2;GOT1;PHYH;IDH2;ADHFE1;DLD;KYAT3
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.246606334841629	0.587385149892638	-1.15390132045868	NA	21	CPEB3;ZFP36;PLEKHN1;RBM24;ZFP36L2;NYNRIN;RC3H1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.175	0.501736928347982	-1.24362154625461	NA	23	ZFP36;RBM47;RBM24;YBX3;BOLL
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.602794411177645	0.865155642218894	0.921300874594759	NA	6	GTF3C5;GTF3C3;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0684931506849315	0.308285079125186	1.46050115033948	NA	10	TGS1;LSM11;SNRPB;SNRPG;SNRPD1;SNRPE;SNRPF
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.666666666666667	0.901696222050887	0.853025969376416	NA	8	CMTR1;NCBP1;RNMT
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.829827915869981	0.963722061548689	0.70591408822707	NA	7	SLC22A1
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.914171656686627	0.986731658970937	0.598933520457872	NA	6	CHAT
