pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.875728155339806	0.950405657495586	-0.660290052206577	NA	6	ALDH1L1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.91170431211499	0.966359542828294	0.630888199324436	NA	9	LYRM4;NFS1;GLRX3;BOLA2B
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0376620326541164	0.216618428798307	-1.50829055125423	NA	16	GPT2;GOT1;IDH2;KYAT3;DLD;ADHFE1;PHYH;D2HGDH;OGDH;GOT2;IDH1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.273809523809524	0.581689805804247	-1.15854249390161	NA	21	CPEB3;ZFP36;NYNRIN;ZFP36L2;RC3H1;PLEKHN1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.337254901960784	0.642080693016413	-1.07871891675879	NA	23	ZFP36;RBM47;YBX3;ADARB2;TIRAP;RBM24;LARP4B;MYD88
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.691991786447639	0.871532665397036	0.832209113291082	NA	6	GTF3C5;GTF3C3;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.0360951984076116	0.210862257939165	1.61021945993256	NA	10	TGS1;SNRPB;SNRPG;LSM11;SNRPF;SNRPD1;SNRPE
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.404040404040404	0.693530214078159	1.05813526521312	NA	8	CMTR1;NCBP1;RNMT
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.83640081799591	0.934303076323757	0.698229120265442	NA	7	SLC22A1
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__HNSC_limma	tcga_cancer__HNSC_limma	0.633009708737864	0.844045926216496	-0.875523751574071	NA	6	ACHE;SLC44A4;SLC5A7;COLQ
