pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.468926553672316	0.827457802369774	1.0207577558642	NA	6	ALDH1L2;MTHFD1L;AASDHPPT
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.18452380952381	0.622857258213363	1.26984949546601	NA	9	ISCU;NFS1;GLRX5;NDUFAB1;BOLA2B;FXN
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.106299212598425	0.50890039223469	1.4105121571023	NA	16	OGDH;GOT2;COL6A1;DLD;OGDHL;IDH2;DLST;GOT1;PHYH;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.421550094517958	0.800910692257054	-1.03227540815411	NA	22	ZFP36L2;RBM24;ZFP36;NYNRIN;ZC3H12B
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.918714555765595	0.981995658390265	-0.686637349890424	NA	22	HNRNPC;RBM24;ZFP36;MAPK14;MYD88
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.930320150659134	0.985186006629419	0.585750891536906	NA	6	GTF3C1;GTF3C5
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.557915057915058	0.86599876082367	0.925950181740352	NA	10	SNRPB;SNRPF;SNRPD1;SNRPD2
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.35812133072407	0.765816854252486	1.12245110265525	NA	8	RNMT;RAMAC;CMTR2;NCBP1
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.119834710743802	0.526152949863823	-1.38139107366746	NA	7	SLC44A4;SLC17A8;SLC22A4;SLC22A1;SLC22A2
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.267818574514039	0.699460537588349	-1.21360420534841	NA	5	SLC44A4
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.275268817204301	0.707674483196445	1.13511207685403	NA	23	PDP1;PDHX;DLD;ACSS1;PDHA1;DLAT;PDPR;ACAT1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.935897435897436	0.986866509377587	-0.698561458126683	NA	42	PIPOX
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.472566371681416	0.82785263050149	-0.989775566107215	NA	71	NTRK2;SLC7A13;SLC6A13;SLC17A8;SEPTIN2;ABAT;NPY5R;ADORA1;KCNJ10;KMO;KCNJ8;ITGB1;SLC17A7;SLC1A1
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0974264705882353	0.493651069518717	-1.32350752350142	NA	33	CLDN2;FABP1;UMOD;AGXT;ABAT;SGK1
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__KICH_DESeq2	tcga_cancer__KICH_DESeq2	0.0229609872860305	0.240791901952122	1.50593543575403	NA	7	RIMS1;RAB3A
