pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	6.0261424278115e-05	0.000502178535650959	1.63647497153081	NA	194	VEGFB;DHCR7;ADIPOR2;DHRS7;SLC27A1;CHCHD10;CS;GPAT4;ESRRA;APLP2;ALDOA;CCNG2;LPCAT3;MRPL15;RMDN3;IDH3A;MDH2;COX6A1;SPARCL1;ACO2;COQ3;TKT;COQ9;GPAM;ANGPT1;UQCR10;BCL2L13;COX8A;LAMA4;ACADS;UQCRC1;DLD;COX7B;GPX4;ABCA1;NDUFAB1;PPARG;GPHN;UQCRQ;ARAF;CYC1;DECR1;ARL4A;SCARB1;DGAT1;CRAT;PIM3;BAZ2A;ATL2;NDUFB7;MIGA2;DLAT;SAMM50;NDUFA5;GRPEL1;GPD2;ABCB8;PDCD4;AIFM1;RREB1;UCK1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	1	1	0.722534892784507	NA	185	GCNT1;AKT1;IL18RAP;IL12B;TRAF2;CDKN2A;KLRD1;B2M;IL18;MRPL3;ELF4;BCAT1;AARS1;IL2RB;IL15;IGSF6;TLR2;CSK;INHBB;RPS19;SPI1;EIF3D;RARS1;ST8SIA4;UBE2D1;MMP9;CD40;SOCS1;IL12RB1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.00236910612167903	0.00911194662184241	1.52218967550096	NA	99	KLK3;STK39;ABHD2;SCD;AKT1;KLK2;UBE2I;MERTK;B2M;GPD1L;CENPN;SPCS3;PTPN21;PTK2B;LMAN1;BMPR1B;INPP4B;SEC24D;INSIG1;SLC38A2;CAMKK2;IQGAP2;ACSL3;VAPA;PA2G4;GSR;ZMIZ1;TMPRSS2;HOMER2;RPS6KA3;ADRM1;NGLY1;KRT8;PIAS1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.177083333333333	0.319284802043423	-1.20548421975664	NA	33	VTN;APOH;STC1;KCNJ8;PDGFA;LUM;JAG1;LPL;S100A4
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.402489626556017	0.591896509641201	-1.02129690808231	NA	191	CLDN19;NLGN3;CNTN1;CLDN18;NFASC;THY1;WNK4;CDH6;NRXN2;CLDN15;VCAM1;CLDN14;NRAP;NEGR1;ICAM2;MPZL1;GAMT;CAP1;DSC3;CLDN5;TRO;GNAI1;GRB7;SIRPA;MAPK14;VCL;ARPC2;MYH10;ITGB4;RSU1;LAYN;TSPAN4;ADRA1B;LAMC2;EPB41L2;MYL9;ADAM23;BAIAP2;TIAL1;ICAM1;MSN;HADH;ACTA1;PBX2;AMIGO1;TRAF1;CD34;NECTIN4;SORBS3;CADM2;B4GALT1;CADM3;PECAM1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.35024154589372	0.547252415458937	1.05423679466552	NA	43	ADIPOR2;NCOA6;SLC2A4;TMEM8B;ATP6V0A4;EFNA5;RHCG;HSPB1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.898550724637681	1	0.854681286852173	NA	157	LGALS3;SC5D;RHOT2;BCL2L2;DDIT3;AVPR1A;PSEN2;IL18;BCAP31;SATB1;HSPB1;DNM1L;BCL2L1;GPX4;CREBBP;GPX1;SQSTM1;AIFM3;XIAP;CAV1;TSPO;CYLD;RELA;GSR;CD44;TOP2A;PMAIP1;CASP3;PSEN1;PDCD4;PAK1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.0109106298728264	0.0320900878612541	-1.48833252237147	NA	104	DIO1;ALDH8A1;ABCA4;SLC23A1;SLCO1A2;GC;BBOX1;PIPOX;CYP8B1;SERPINA6;AGXT;SOAT2;EFHC1;ABCD3;NR1H4;ALDH9A1;SULT2B1;HSD17B6;ABCA6;PXMP2;HAO1;BMP6;PECR;LCK
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.0149474332974331	0.0373685832435827	1.388949084706	NA	74	LGALS3;DHCR7;SC5D;CHKA;LGMN;SCD;ATXN2;CPEB2;AVPR1A;ATF5;ABCA2;TRIB3;SREBF2;TM7SF2;TP53INP1;ALCAM;PPARG
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__KICH_edgeR	tcga_cancer__KICH_edgeR	0.0039393477157405	0.0140690989847875	-1.50159858939527	NA	122	PLG;PROC;FGA;HNF4A;ANG;CFB;CTSE;SERPINA1;CFI;PROS1;APOC3;CASP9;FGG;F3;MST1;CRIP2;CTSV;F2RL2;THBS1;SERPING1;KLKB1;PDGFB;F11;SERPINC1;CSRP1;PEF1;F8;CFH;CTSH;C1R;S100A1;A2M;C1S
