pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.514465408805031	0.736081277213353	-0.972143487219266	NA	39	ABCB1;ABCA4;ABCA6;ABCC6;ABCC3;ABCC2;ABCD3;ABCG5;ABCC9;ABCA8;ABCA9;ABCG8
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.0149298607366841	0.069423852425581	1.46609799592456	NA	56	KIT;AKT1;MAP2K2;BRAF;IKBKG;KRAS;SOS2;MAP2K1;PIM1;ARAF;RELA;RPS6KB2;TCF7;RUNX1;SPI1;HRAS;AKT2;PML;MAPK1;CCND1;SOS1;PPARD;PIK3R5
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.725190839694656	0.894176438422747	0.885736050924009	NA	72	CSNK2A2;CSNK2A1;PTPRJ;INSR;MET;CREBBP;CTNNA2;SMAD2;EP300;SMAD3;TCF7
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.258278145695364	0.48524984948826	1.10609967315894	NA	63	ADIPOR2;IRS2;AKT1;STK11;TRAF2;PRKAG1;IKBKG;PTPN11;PRKAG2;CPT1B;CAMKK2;SLC2A4;RELA;ACSL3;PPARGC1A
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.119422572178478	0.308508311461067	-1.29994116431463	NA	30	ASPA;ASS1;ACY3;AGXT2;ALDH4A1;AGXT;ABAT;NIT2;GLS;ADSL;GLUD2;ADSS2;GPT;ASL;CPS1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.331612903225806	0.565970395113135	-1.10094627696774	NA	36	SCNN1G;SCNN1B;KCNJ1;ATP1B2;SGK1;FXYD4;HSD11B1;PRKCB;SFN;PIK3R1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.995833333333333	1	0.474915741348583	NA	30	IL12B;HLA-B;HLA-C;CD40;PRF1;HLA-A;HLA-F;CD86;HLA-G;GZMB;CD80;HLA-DQA2;HLA-DPB1;HLA-DQB1;HLA-DPA1;CD28;HLA-DQA1;IL10;HLA-E;HLA-DMA;HLA-DRA;HLA-DRB1;HLA-DMB;HLA-DOB;CD40LG;HLA-DRB5;TNF;FAS;HLA-DOA;IL12A
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.791925465838509	0.943482145430441	0.791068646018211	NA	14	PLA2G12A;PLA2G5;PLA2G6;ACOX3;PLA2G3
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	6.05950469314979e-11	2.81766968231465e-09	2.1501133821357	NA	154	COX6C;ATP5F1E;BACE2;CYCS;COX5A;PPP3CA;SDHA;NDUFA6;GAPDH;GSK3B;COX6A1;NDUFS7;NDUFA9;ATP5F1D;COX4I1;NDUFA8;COX7C;UQCRB;CALM3;MT-ATP8;UQCR10;NDUFS8;MT-CO2;PSEN2;COX8A;MT-ATP6;NDUFAB1;COX7B;NDUFA3;UQCRC1;UQCRQ;NDUFV1;NDUFB10;GNAQ;MT-CO3;ATP2A2;NDUFA1;ITPR2;CDK5R1;MT-CO1;CYC1;MT-CYB;NDUFB2;NDUFA4;ATP5F1B;ATP2A1;CAPN1;COX6B1;NDUFB9;UQCRC2;NDUFB7;UQCRFS1;NDUFB1;NDUFB4;ATP5F1A;ITPR1;ATP5MC2;NDUFA5;COX7A2;CASP3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	3.47716743777102e-05	0.000646753143425409	2.06804733277944	NA	40	YARS2;EARS2;GARS1;CARS1;LARS2;MARS1;TARS1;MTFMT;YARS1;FARSA;HARS2;TARS3;AARS1;NARS1;AARS2;MARS2;KARS1;TARS2;RARS1;HARS1;LARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.287878787878788	0.513714285714286	1.09497159257301	NA	44	GPI;GMPPB;NANS;CMAS;PMM2;HEXB;HEXA;GNPNAT1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.913565426170468	1	-0.72024931835074	NA	52	NEFM;CHP2;GRIN2B;CASP9;NEFL;NOS1;MAPK14;MAPK12;MAP2K3;GRIA2
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.02349413669761	0.0949980309946839	1.4108856775036	NA	56	LGMN;PDIA3;KLRD1;B2M;HSPA4;CALR;PSME2;HSP90AA1;IFI30;HLA-B;HSP90AB1;HLA-C;CANX;HSPA6
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.714285714285714	0.894176438422747	0.904522399852144	NA	82	CYCS;PPP3CA;AKT1;PRKACA;IRAK1;TNFRSF10B;TRAF2;IKBKG;IRAK4;BCL2L1;CAPN1;BCL2;XIAP;RELA
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.0615942028985507	0.191562397833229	-1.35774064569433	NA	47	CYP2J2;AKR1C3;GGT1;CYP2B6;PTGIS;CYP4A22;CYP2C9;CYP4A11;GGT5;CYP4F3;CYP4F2;PTGDS;ALOX12;CYP2C8;PLA2G12B
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.0088912108172499	0.0514094154073413	-1.53461745854813	NA	52	AOC1;PRODH;ODC1;ASS1;MAOB;DAO;AGMAT;ALDH4A1;ALDH3A2;AZIN2;GATM;PRODH2;GAMT;SAT2;ALDH9A1;CKM;NOS1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.130733944954128	0.326874549387167	-1.2309173161606	NA	68	CDH2;CACNG4;CACNA2D3;CACNG5;DES;ITGA8;CACNA2D1;ITGA11;CACNA1F;ITGA10;TCF7L1;SGCG;ITGB6;ITGB8;ITGA3;ITGB4;LMNA;ITGB1;CACNB1;SGCA;ACTN1;SGCB;ITGB5;ACTN2;CACNA1C;CACNA1S;ITGB3;ITGA2B;CACNA2D2;ACTG1;CTNNA3
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.00767993151793836	0.0476155754112179	-1.65844784824112	NA	15	UGT2A3;UGT2B7;MIOX;ALDH3A2;UGT1A9;ALDH9A1;UGT1A6;UGT1A1;UGT2A1
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.245614035087719	0.480886426592798	-1.18236755272269	NA	21	CCL11;EPX;FCER1A;HLA-DOA;TNF;HLA-DRB5;CD40LG;HLA-DOB;HLA-DMB;HLA-DRB1;HLA-DRA;HLA-DMA
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.699115044247788	0.890653412534853	0.871515764361785	NA	31	HLA-B;TG;HLA-C;CD40;PRF1;HLA-A;HLA-F;CD86;HLA-G;GZMB;TPO;CD80;HLA-DQA2;HLA-DPB1;HLA-DQB1;HLA-DPA1;CD28;HLA-DQA1;CTLA4;IL10;HLA-E;HLA-DMA;HLA-DRA;HLA-DRB1;HLA-DMB;CGA;HLA-DOB;CD40LG;HLA-DRB5;FAS;HLA-DOA
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.210245464247599	0.462937822427369	-1.13571370402246	NA	126	EPHA7;EPHA4;CXCL12;PAK3;SEMA3D;CHP2;SEMA3G;NTN4;LRRC4C;SEMA4A;DPYSL2;GNAI3;EPHB6;EPHB4;EFNB1;EFNB3;NGEF;DCC;SEMA3E;EPHA2;ROBO3;SEMA5B;GNAI1;SEMA4G;SLIT3;L1CAM;SRGAP3;PLXNB1;ABLIM2;CDC42;EPHB3;SEMA6D;SRGAP2;SEMA6C;FES;EPHA5;EPHB2;ITGB1;SEMA4C;PPP3CB;EPHA3;RHOD;NFATC4;NRAS;ROCK2;ABLIM1;SEMA4D;EFNA1;PLXNB3;FYN;NFATC1
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.00450726843119616	0.0299411402929459	-1.62039409295505	NA	53	WNT10A;SHH;WNT9B;WNT7B;BMP4;HHIP;FZD1;AXIN2;WNT2B;STK36;WNT7A;GLI1;FZD8;WNT8B;TCF7L1;WNT5B;GLI3;PTCH2;WNT6;GLI2;SMO;WNT3;WNT5A
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.675257731958763	0.877544529262087	-0.865303082971044	NA	31	STON1;GTF2B;TAF11;TBP;TAF9B;TAF13;TAF12
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	tcga_cancer__KICH_limma	tcga_cancer__KICH_limma	0.03163530315871	0.11485532815808	1.43714227545679	NA	33	SMUG1;POLD4;PARP3;APEX2;FEN1;POLE2;POLD1;TDG;NEIL3;MPG;POLE
