pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.567567567567568	0.87573745808888	-0.900427279275397	NA	6	MTHFD2L;ALDH1L1;MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.0153195549158113	0.137758000237815	-1.7155068024339	NA	9	GLRX5;ISCU;FXN;NFS1
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.00023831417531651	0.00591982552514948	-2.01512464855863	NA	16	GOT2;DLST;OGDHL;GOT1;DLD;IDH2;L2HGDH;PHYH;GPT2;OGDH;ADHFE1;AADAT;KYAT3;IDH1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.975867269984917	1	0.562817635194864	NA	22	PLEKHN1;ZC3H12D;KHNYN;MOV10;KHSRP;HNRNPD
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.340874811463047	0.712256184015048	1.0940164973498	NA	22	YBX3;TENT4A;ARID5A
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.707616707616708	0.945735312931277	-0.793144484439227	NA	6	GTF3C1;GTF3C4;GTF3C3;GTF3C2;GTF3C5;GTF3C6
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.94336569579288	1	0.627472362761286	NA	10	SNRPF;SNRPB;SNRPE;SNRPD1;SNRPD2;LSM11
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.765903307888041	0.963154674901732	-0.773138345826389	NA	8	NCBP1;CMTR2;RNGTT;CMTR1;RAMACL;RNMT;RAMAC;NCBP3
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.704433497536946	0.944663255039659	0.837577969539154	NA	8	SLC18A3;ADORA2A;SLC22A4
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.577395577395577	0.880804882329273	-0.891323910826898	NA	6	SLC5A7;SLC44A4;BCHE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.0447938536394903	0.268648069130676	-1.46129587359421	NA	23	PDHB;PDHA1;DLD;ACAT1;PDHX;DLAT;ACSS1;PDP1;PDK2;SIRT4;ACSS2
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRC_edgeR	tcga_cancer__KIRC_edgeR	0.000165504544053807	0.00435849372592825	-1.92268807790352	NA	42	ACOT12;PDHB;PDHA1;DLST;HMGCR;DLD;ACAT1;GCDH;PDHX;DLAT;NUDT7;ACSS1;HMGCS2;ACACB;PDP1;PDK2;PIPOX;SIRT4;HMGCS1;ACSS2;ACACA;AASS;AADAT
