pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.147727272727273	0.30530303030303	1.244174259266	NA	42	ABCA12;ABCB6;ABCC3;ABCA3;TAP1;ABCB4;ABCC10;ABCD1;ABCA7;ABCC1;ABCC4;TAP2;ABCA1
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.838445807770961	0.902827727240674	-0.764884474914329	NA	56	RUNX1T1;TCF7L1;KIT;LEF1;ARAF;MTOR;RAF1;STAT3;MAPK1;CHUK;MAP2K1;JUP;TCF7L2;SOS2;PIK3R3;FLT3
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.418181818181818	0.567750497677505	-1.00689975905386	NA	73	PTPRB;TCF7L1;TGFBR2;SNAI2;SNAI1;VCL;CTNNA3;ACTN4;LEF1;NECTIN4;CDH1;WASF3;CTNNB1;SORBS1;SMAD4;MAPK1;INSR;LMO7;EP300;TJP1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0838445807770961	0.219649183444224	-1.3527073982032	NA	61	PRKAG2;PCK2;CPT1A;ACSL6;ACACB;RXRA;ADIPOQ;ACSL3;PRKAA2;MAPK10;PRKAA1;MTOR;IRS1;PPARA;CPT1C;ACSL4;STAT3;PCK1;MAPK8;CHUK;AGRP;LEPR;PRKAB2;JAK2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.401273885350318	0.567750497677505	-1.03610011585192	NA	31	AGXT;ASS1;ASL;ALDH4A1;AGXT2;ADSS1;ADSS2;ABAT;ASPA;GPT;ACY3;ALDH5A1;GLUD2;GAD1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.000586888638640686	0.00909677389893063	-1.91233458173463	NA	37	FXYD4;SCNN1B;HSD11B2;SCNN1G;ATP1A2;NR3C2;ATP1B2;KCNJ1;NEDD4L;ATP1A1;HSD11B1;ATP1B3;ATP1B1;IRS1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.02184155559183	0.0970398753908279	1.52876514665387	NA	29	HLA-A;HLA-G;HLA-B;FAS;HLA-F;CD86;CD40;HLA-C;CD80;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DOB;CD28;FASLG;HLA-DRA;IL10
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.926666666666667	0.95656518161514	-0.626533494550394	NA	12	PLA2G4A;PLA2G12B;ACOX1
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.998269896193772	0.998269896193772	-0.69125940968524	NA	158	NOS1;ITPR1;CALML3;CACNA1C;MME;CHP2;NDUFC2;ITPR2;CACNA1S;BACE1;CALM1;LPL;PPP3CB;CASP7
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0070792125642516	0.049051295606669	1.61632922163008	NA	41	YARS2;DARS1;CARS1;VARS1;KARS1;HARS2;VARS2;GARS1;CARS2;QARS1;AARS2;TARS2;PARS2;HARS1;FARSB;EARS2;TARS3;SARS2;RARS2
