pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.899782135076253	0.963977117812687	0.747621352836149	NA	53	ARHGAP22;HSF4;MEN1;GDF5;SIRT6;MYBBP1A
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.350746268656716	0.632447996239276	-1.05547848764006	NA	54	LDB3;MMRN2;SUSD2;SH3GL3;PDS5B;ERBB4;ZMYND11;PRXL2A
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.596685082872928	0.802276644803116	-0.916654266801123	NA	53	HBEGF;C11orf96;NDST1;CD82;MAPK8IP1;CHST6;CHST1;LEF1;SLC25A17;TP53I11;CRY2;NRXN1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.100616016427105	0.366216891554223	1.35242657138089	NA	31	SACS;TRAF2;DTNA;LINC00327;RAC1
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.335353535353535	0.616835016835017	-1.12245603405705	NA	9	TUBGCP2;FMR1;TUBGCP3;TUBGCP5;NIPA2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.83668903803132	0.93052617009076	0.788216092064072	NA	51	APBA2;SERPINH1;FANCI;SLF2;NSMCE1;FANCD2;STX1A
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.82897384305835	0.929056156322425	0.750970344582517	NA	15	SERPINH1;FANCD2
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0582706766917293	0.28891184947523	-1.4263607405821	NA	43	EGF;GRM1;ITPR1;SH3GL3;DNM3;SHANK3
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.612159329140461	0.815006843058951	0.899743540586021	NA	30	TRAF2;ATXN2L;ATP2A1;GRB2;SH2B1;NFATC2IP;SPNS1;C3;LAT
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	8.08778957917602e-05	0.00336746147932965	1.86586316024085	NA	71	DOC2A;KCTD13;ASPHD1;SEZ6L2;TRAF2;CASP8;MVP;TP53;TLCD3B;INO80E;ALDOA;PPP4C;MAZ;SIAH1;EZR;PPARG;IGFBP3;TMEM219;PCNA;PAGR1
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.977941176470588	0.999964498721954	-0.637946794749974	NA	52	PRKAG2;PRKAA2;CALM1;TRPM7;PRKAA1;MTOR
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.664596273291925	0.843172003234631	0.8708035137855	NA	28	PLK1;KIAA0753;DISC1;CEP170;NDE1;ACTR1A;ABCC1;OFD1;PLAGL1
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.243801652892562	0.524340029246517	1.17446637175578	NA	20	CDK5;DISC1;DCTN2;YWHAH;YWHAG;YWHAE
