pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.508078994614004	0.73340885684861	1.00613963939397	NA	6	MTHFD1L
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.645338208409506	0.811311127906415	0.878178125443018	NA	9	BOLA2B;LYRM4;GLRX3;HSCB
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.279591836734694	0.554589531507165	-1.1615355266624	NA	17	L2HGDH;IDH2;IDH1;PHYH;OGDH;DLST;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.747390396659708	0.867220411301589	-0.814546537873458	NA	22	UPF1;CPEB3;NYNRIN;ZC3H12B;ZFP36;ZC3H12C
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.84321223709369	0.918131691569075	0.728246075151684	NA	22	YBX3
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.394973070017953	0.655899051923006	1.08524056626118	NA	6	GTF3C3;GTF3C2;GTF3C5;GTF3C6
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.467652495378928	0.708781491997043	1.01880786515578	NA	10	SNRPB;SNRPF;SNRPD2;SNRPE;LSM11;SNRPD1;SNRPG
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.704710144927536	0.846981815695926	0.834484252493791	NA	8	RAMAC;NCBP3
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.862921348314607	0.926376380655622	-0.664005709229206	NA	6	SLC22A1;TACR2;SLC22A2;SLC22A4;SLC17A8;SLC44A4
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.594254937163375	0.784093590025338	0.93151317614605	NA	6	ACHE;BCHE;COLQ;FSHR
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.272200772200772	0.545828133881263	1.15971859956467	NA	23	TPK1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.49390243902439	0.72390415650015	0.979775640989981	NA	42	TPK1;NME1
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0520642447089097	0.248372317948367	-1.44425051874852	NA	70	KCNJ10;GRM1;AVPR1A;SLC7A13;ATP1A2;KMO;EPM2A
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	6.60228752737693e-06	0.000493062236734268	-2.12519291694781	NA	34	SLC9A4;UMOD;SLC26A7;PTGER3;CASR;KCNQ1;AGXT
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.890557939914163	0.940133982374209	-0.642065535380973	NA	7	SYT6;STXBP1;RAB3A
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.38125	0.644647381756757	-1.05701452510573	NA	25	PLN;CHN2;SOX30;KNL1;CEP78
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.968688845401174	0.984242794450059	0.662185713851409	NA	31	ZP3;PCSK4;SPINK13;GLRB
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.441584158415842	0.689078935848957	1.02917279904717	NA	14	MARCKS;GAS2L3
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.00181005911805925	0.0316286390030951	-1.6481340554761	NA	133	NOS1;TNNC1;NOS1AP;PLN;KCNQ1;ATP1A2;KCNA5;CASQ2;CACNA1C;GJA5;MYO5C;STC1;ACTA2;LIMCH1;NEDD4L;KCNJ3;KCNN2;ATP1A1;ANK2;CTNNA3;PARVA;KCNE1;SCN7A;GSN;CCDC88C;ACTN4;MYH10;MYH9;EMP2;SUN2;EPB41L5;AKAP9
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.294505494505495	0.57037037037037	-1.15121508969342	NA	9	MYO5C;ACTN4;SUN2
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.0152256273406796	0.115461007333487	-1.41231538198098	NA	170	FRMD7;SFRP1;TACR1;SYNPO2;ARHGEF15;S1PR1;FMN2;CCN2;ELN;PLS3;ARHGAP28;PTGER4;LIMCH1;FAM107A;LIMS2;SYNPO;AIF1L;DLC1;CGNL1;SHANK3;ROCK2;ARHGAP6;PARVA;FERMT2;MYL9;ARRB1;PHACTR1;NEDD9;MTOR;PRKN;RAPGEF3;LIMA1;ESPN;DPYSL3;RFLNB;ARHGEF18;CARMIL1;CUL3;ITGB5;SORBS1;PPM1F;MYOC;RFLNA;FHOD3;MYO1B;ASAP3;SYNPO2L;TJP1;FAM171A1;RGCC;TGFB3;PXN
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.301369863013699	0.5764943025217	-1.0931653576675	NA	56	SPTB;SPTBN2;LMOD1;ADD3;GSN;CFL2;DSTN
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.317907444668008	0.589191702260696	-1.12892599087142	NA	14	PLS3;LIMS2;PARVA;CARMIL1
GOBP_ACTIN_FILAMENT_ORGANIZATION	GOBP_ACTIN_FILAMENT_ORGANIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.00770234217856124	0.0767714248153323	-1.32835842846368	NA	450	AQP2;SPTB;FRMD7;NPHS1;SPTBN2;SFRP1;PROX1;LMOD1;DAAM2;ARHGAP18;TACR1;SYNPO2;KANK4;ARHGEF15;PRKCE;PALM2AKAP2;CNN1;S1PR1;CCL11;SH3BP4;CRYAA;FMN2;ADD3;ESAM;CYFIP2;CCN2;CDC42EP3;ELN;PLS3;MYO5C;ARHGAP28;PTGER4;LIMCH1;RHOJ;FAM107A;LIMS2;CSF3;SYNPO;AIF1L;DLC1;GDPD2;CGNL1;TMSB15A;SHANK3;HIP1;TLE6;IQGAP2;ROCK2;ARHGAP6;SHROOM4;PARVA;FERMT2;MYL9;ARRB1;CXCL12;GAS2;PHACTR1;GSN;TRPV4;ARHGAP35;NEBL;CFL2;DSTN;ARHGEF12;NEDD9;HDAC6;CCL21;EMP2;TPM4;KANK1;MTOR;PRKN;RAPGEF3;TPM2;ARFGEF1
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.122340425531915	0.366632699100546	-1.23144611353575	NA	149	SPTB;NPHS1;SPTBN2;LMOD1;DAAM2;ARHGAP18;KANK4;PRKCE;CCL11;ADD3;ESAM;CYFIP2;CDC42EP3;ELN;ARHGAP28;FAM107A;CSF3
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.745379876796715	0.867220411301589	-0.795590087076496	NA	16	GSN;CFL2;DSTN;MYH9
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.000527605807532346	0.013203335333497	-1.75108014495659	NA	110	NOS1;TNNC1;NOS1AP;PLN;KCNQ1;ATP1A2;KCNA5;CASQ2;CACNA1C;GJA5;STC1;ACTA2;LIMCH1;NEDD4L;KCNJ3;KCNN2;ATP1A1;ANK2;CTNNA3;PARVA;KCNE1;SCN7A;GSN;CCDC88C;MYH9;EMP2;EPB41L5;AKAP9;SCN3A;PKP2;SCN9A;SCN4A
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.577639751552795	0.775387306346827	-0.924112385768082	NA	13	TNNC1
GOBP_ACTIN_NUCLEATION	GOBP_ACTIN_NUCLEATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.829918032786885	0.912338042709167	0.803206519614522	NA	58	ARPC3;ARPC1A;ARPC5;WHAMM;ARPC1B
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.283582089552239	0.559069691595834	1.17567252628094	NA	7	ARPC3;ENAH;NCKAP1L
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.202846975088968	0.478581909960674	-1.13041065092722	NA	177	SPTB;NPHS1;SPTBN2;LMOD1;DAAM2;ARHGAP18;KANK4;PRKCE;CCL11;ADD3;ESAM;CYFIP2;CDC42EP3;ELN;ARHGAP28;FAM107A;CSF3;ARHGAP6;CXCL12;GSN;ARHGAP35;CFL2;DSTN;CCL21;KANK1;MTOR
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.00827807457937778	0.0794581761338357	-1.49970000144215	NA	156	NOS1;GNA14;NOS1AP;CLDN19;SLC8A1;TACR1;KCNQ1;ATP1A2;KCNA5;CASQ2;CACNA1C;GNA11;GJA5;GRIK2;CHRNA4;NEDD4L;KCNJ3;KCNN2;KCNC4;ATP1A1;ANK2;CTNNA3;GJD2;KCNE1;SCN7A;CALM1;KCNG2;DRD1;DMD;MTOR;USP53;AKAP9;ATP1B1;SCN3A;KCNMB2;NTRK3;CNR2;PKP2;KCNC3;SCN9A
GOBP_ACTION_POTENTIAL_PROPAGATION	GOBP_ACTION_POTENTIAL_PROPAGATION	c5_go_bp	fgsea	tcga_cancer__KIRP_DESeq2	tcga_cancer__KIRP_DESeq2	0.186695278969957	0.459409200619619	-1.30225517305569	NA	11	CLDN19;ATP1A2;NTRK3;SCN9A;NTRK2
