pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.579288025889968	0.859588683578662	0.967243401338001	NA	43	ABCC10;ABCC5;ABCB6;ABCB5;ABCA12;ABCC8;ABCD1;ABCA4;ABCA3;ABCC1;ABCB9;ABCA7;ABCC4;TAP1;TAP2
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.356466441496473	0.771645002768835	-1.07162653022089	NA	55	MAP2K1;STAT3;ARAF;MYC;NFKB1;AKT2;AKT1;PIK3R1;PIM1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.752843846949328	1	0.863602557860606	NA	72	CTNNA2;LEF1;ACTN2;MAPK3;NECTIN1;WASF2;SRC;SMAD2;CTNNA1;TCF7;SNAI2;CSNK2B;WASF1;SMAD3;RHOA
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.0144205529347584	0.0648872876709888	-1.46139878664121	NA	59	ACACB;ACSL1;TNFRSF1A;STAT3;SOCS3;PRKAG2;PCK2;PCK1;NFKBIA;ADIPOR2;PRKAA1;NFKB1;AKT2;AKT1;TNFRSF1B;MAPK8
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.0244371479009703	0.0956688343357136	-1.58556049340218	NA	31	ABAT;GOT2;NIT2;AGXT2;ALDH4A1;ASS1;ASPA;AGXT;GOT1;GLUD1;GLS2;ALDH5A1;DDO;ASL;GPT
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.959229898074745	1	0.63793873495385	NA	32	SFN;MAPK3;PRKCA;ATP1A2;PIK3R3;ATP1B3;ATP1B1;NEDD4L;ATP1A4;FXYD2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.459016393442623	0.83714660175997	-1.01266623923616	NA	31	IL10;FAS;CD40;PRF1;CD86;CD40LG;HLA-DOA;HLA-DPA1;HLA-DQA2;TNF;HLA-DQA1;FASLG;HLA-DRA;GZMB;HLA-DPB1;HLA-E;CD80;HLA-DRB5;HLA-DRB1;IFNG;HLA-B;HLA-C;HLA-DMB;CD28;HLA-DQB1;HLA-A;HLA-F;HLA-G;HLA-DOB;IL12A;HLA-DMA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.917085427135678	1	0.657666385338578	NA	13	PLA2G6;PLA2G2C;PLA2G1B;JMJD7-PLA2G4B
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	1	1	0.499106548027272	NA	155	NDUFA4L2;COX4I2;MAPT;MAPK3;CDK5R1;ATP2A1;LPL;COX7B2;CDK5;PLCB3;GRIN2C;CALML6;PLCB1;GRIN2A;COX6C;CAPN2;CACNA1S;CYC1;CACNA1C;RYR3;NDUFA1;CHP2;UQCRB;NAE1;NDUFB9;NCSTN;PLCB4;GAPDH;UQCRHL;ITPR3;PSEN2;UQCRH;ATP5MC1;NDUFS8;APBB1;CASP8;NDUFA8;BACE2;ATP2A2;CACNA1F;CALM3;APH1A;NDUFS6;CASP3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.021196425139058	0.0866698272352592	1.4417193500148	NA	40	LARS1;EPRS1;AARS2;DARS2;MARS1;FARSB;HARS2;VARS1;QARS1;IARS1;GARS1;RARS1
