pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.416030534351145	0.85321609985063	-1.00981481939566	NA	6	MTHFD2L;MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.38031914893617	0.824148142782239	1.08560083136383	NA	9	BOLA2B;LYRM4;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	1.71131021497618e-05	0.000767562829978914	-2.32589806904428	NA	17	AADAT;GOT2;PHYH;OGDHL;DLST;L2HGDH;IDH2;GOT1;DLD;TAT;IDH1;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.158876649265251	0.555326907285027	-1.27791589147541	NA	22	ZFP36;CPEB3;ZFP36L1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.177304964539007	0.583996588474216	-1.20255245627498	NA	22	ZFP36;MYD88;RBM47;QKI
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.139189189189189	0.518796068796069	1.28546717757952	NA	6	GTF3C2;GTF3C3;GTF3C5
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.0725593667546174	0.364049735751583	1.35863438237646	NA	10	SNRPE;SNRPB;LSM11;SNRPD2;SNRPD1
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.850393700787402	1	-0.693470967357783	NA	8	CMTR2
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.662745098039216	0.994861969945211	-0.854139576884865	NA	7	SLC17A8;SLC22A1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	0.0204668366283961	0.170548465321161	-1.57960089048876	NA	23	ACAT1;MLYCD;TPK1;BCKDK;PDK4;PDHX;PDK2;DLD;PPCS;PDHB
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LIHC_edgeR	tcga_cancer__LIHC_edgeR	7.04480371514188e-05	0.00251766969135257	-1.99431919531554	NA	42	ACAT1;AADAT;MLYCD;ACACB;GCDH;TDO2;TPK1;HMGCS2;BCKDK;DLST;ACOT12;PDK4;PDHX;NUDT7;PIPOX;PDK2
