pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.490683229813665	0.694032750717649	0.99149090908399	NA	7	HMGA1;BANF1;XRCC6
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0635860447695207	0.186638772604224	-1.48276082618106	NA	8	SLC22A1;PCK1;ADH1A;ABCG2;SLC22A3
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.148936170212766	0.327733764341167	-1.30820412389069	NA	5	SLC22A1;ABCG2;SLC22A3
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.741721854304636	0.885139104243296	-0.869479122048389	NA	90	ERLIN1;CFTR;ABCC9;PEX3;RNF185;ABCA8;ABCD3;ABCB7;ERLIN2;ABCA6;ABCA9;ABCB4;APOA1;ABCG4;ABCC6
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.1309963099631	0.301001924193494	-1.3098571943368	NA	18	PEX3;ABCD3;ABCA6;ABCA9;APOA1;ABCG4;ABCA10;ABCG5;ABCG8
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.39460370994941	0.607903012624766	-1.02930453338134	NA	65	ERLIN1;CFTR;ABCC9;ABCA1;RNF185;LMBRD1;ERLIN2;ABCD4;ABCB4;APOA1;ABCB11;ABCC6
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.00866503511690292	0.041402212155456	1.67971694424443	NA	20	ANAPC7;UBE2C;UBE2S;ANAPC4;ANAPC5;CDC23;ANAPC11;ANAPC1;ANAPC15;SKP2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.021534465050489	0.0825409972759525	1.64278143682769	NA	17	E2F1;CCNE1;E2F2;CCNE2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.029753351723442	0.10707570772978	1.61201073305326	NA	22	NELFE;POLR2K;NELFA;NCBP2;POLR2G;NELFCD;NELFB;SUPT5H;POLR2H
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.554913294797688	0.751365357783536	-0.954753281674189	NA	7	CHRNE;CHRNA4
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.397752808988764	0.610094803370786	1.04963380170669	NA	13	STX1A;PPFIA4;RAB3A;UNC13B;PPFIA3;CPLX1;PPFIA1;TSPOAP1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.720588235294118	0.869437936817651	-0.828412369377017	NA	10	GNA14
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.561278863232682	0.756506293922311	-0.945053617414278	NA	31	DTX1;ITCH;CNTN1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.720841300191205	0.869437936817651	-0.825601428959647	NA	6	TIAM1;NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.626637554585153	0.80336159140507	0.896212729431942	NA	10	FRS3;HRAS
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.594646271510516	0.783052969775357	-0.919327946771884	NA	6	FYN;NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.288718929254302	0.498209324211281	-1.15819273060987	NA	6	PIK3R1;NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.727272727272727	0.874188944373062	0.803199733759697	NA	8	SHC1;HRAS
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0535372848948375	0.168551411091376	-1.44578541862727	NA	6	NTF3;NTRK3;PIK3R1
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.208494208494208	0.405823463348423	-1.2159797368431	NA	8	NTF3;NTRK3
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.0321569425632851	0.11387037577019	1.51313618146466	NA	32	H2AX;PKN1;H3C2;H4C8;H4C14;H2BC6;H2BC9;KDM1A;H3C6;H3-3A;H4C12;H2BC15;H2BC8;KLK2;H2AC20;NCOA2;H2AZ2;H3C8;KLK3;H3C10;KDM4C;H2AJ;H2BC11
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.876543209876543	0.960230534316089	-0.734509784295683	NA	23	MAP2K3;TAB2
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	tcga_cancer__LIHC_limma	tcga_cancer__LIHC_limma	0.658886894075404	0.823958345245038	-0.87748140579001	NA	22	PRKAG2;PRKAA1;CALM1
