pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.56657223796034	0.706521090627051	0.941865711271902	NA	43	ABCA12;ABCC3;ABCA4;ABCB6;ABCB9;ABCC11;ABCC10;ABCB4
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.32996632996633	0.533684672815108	-1.0643191770513	NA	56	SPI1;STAT5B;ZBTB16;PIK3R1;AKT3;PIK3R5;RUNX1T1;STAT5A;PIK3R3;TCF7L1;MAPK3;CEBPA;RARA
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0639407905900203	0.162917630818408	-1.29115270870261	NA	72	PTPRB;TGFBR2;LMO7;SORBS1;WASF3;ACTN2;PTPRM;TJP1;PTPN1;RHOA;WASF2;PTPN6;TCF7L1;FYN;MAPK3;VCL;WAS
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0170815039840857	0.0610992257892297	-1.43951640844869	NA	63	AGRP;CD36;LEPR;ACACB;PRKCQ;RXRG;ADIPOR2;AKT3;CPT1A;MAPK10;RXRA;ACSL4;ACSL1;SOCS3;NFKBIA;SLC2A4;JAK2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.00629427053650018	0.0292683579947258	1.62553214182839	NA	30	PPAT;GPT2;GAD1;CPS1;GFPT1;ACY3;CAD;ADSS1;ADSS2;IL4I1;ADSL;GOT1;NIT2;GPT;ASNS;GOT2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.118971061093248	0.245873526259378	-1.30404350127974	NA	37	ATP1A2;SGK1;ATP1B2;PIK3R1;PIK3R5;PIK3R3;NR3C2;ATP1B3;HSD11B1;MAPK3;NEDD4L
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.000650978950564226	0.00390587370338536	-1.85779681165913	NA	32	HLA-E;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRB5;HLA-DRA;HLA-DQB1;PRF1;HLA-DPA1;CD40LG;HLA-DQA1;HLA-DMA;CD86
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.776811594202899	0.849923273657289	-0.783219439337104	NA	17	PLA2G3;PLA2G1B;PLA2G5
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.519553072625698	0.685367883038155	-0.981317396254275	NA	158	NOS1;GNAQ;COX7A1;CALM1;COX4I2;APBB1;LPL;PPP3CC;MME;CACNA1S;SNCA
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	6.00235131699729e-06	9.46131180519123e-05	1.92425375557883	NA	41	TARS2;VARS1;DARS2;EPRS1;IARS1;GARS1;FARSB;IARS2;RARS1;MARS1;EARS2;TARS1;MARS2;PARS2;HARS2;SARS2;DARS1;YARS1;VARS2;YARS2;AARS2;KARS1;CARS1;AARS1;HARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0315515599245076	0.0962063958353839	1.47230300138093	NA	44	GNPNAT1;GMPPA;GFPT1;PMM2;GPI;GFUS;UGDH;GMDS
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.09	0.211898734177215	-1.30113828486216	NA	51	CAT;GRIA1;NOS1;PPP3CC
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.170289855072464	0.308558374806233	-1.20045362669808	NA	65	HLA-E;KIR3DL1;NFYB;HLA-DRB1;KIR2DL3;KIR2DL1;HLA-DOA;HLA-DPB1;HLA-DRB5;B2M;CTSS;HLA-DRA;CD4;KIR2DS4;HLA-DQB1;HLA-DPA1;KIR3DL2;HSPA1L;CD74;HLA-DQA1;HLA-DMA;RFXAP
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.744	0.831432003799555	-0.871275241777135	NA	83	IL3RA;PPP3CC;PIK3R1;AKT3;PIK3R5;CSF2RB;PIK3R3;IL1R1;MYD88;CFLAR;IL1A;NFKBIA;MAP3K14;TNFSF10;PRKACA;PRKAR1A
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.42	0.588174139051332	-1.01457203029999	NA	51	ALOX5;CYP2U1;GPX3;PLA2G3;PLA2G1B;LTC4S;PTGDS;PTGIS;HPGDS;PLA2G5
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0186476294429674	0.0642307236368876	1.47637651499003	NA	51	PYCR1;ALDH18A1;AGMAT;AOC1;CPS1;P4HA3;PYCR3;AZIN2;CKMT1A;CKMT1B;SRM;ALDH1B1;GAMT;GOT1;P4HA1;OAT;PYCR2;SMS;CKM;GOT2
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0838470433164228	0.205204606011245	-1.30362421849145	NA	70	SGCG;DES;SGCA;ITGA8;ACTN2;CACNA1S;CACNA2D2;SGCB;CACNB4;GJA1;DMD;ITGA10;LAMA2;SLC8A1;TCF7L1;CACNA1C;SGCD
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.140030441400304	0.277081511706985	1.3157997221221	NA	17	UGDH;ALDH1B1;UGT1A6;MIOX;UGT2B15;UGT2B11;UGT1A1
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.000420413051220336	0.00307820339627132	-1.93247924938809	NA	22	MS4A2;FCER1G;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRB5;HLA-DRA;HLA-DQB1;HLA-DPA1;FCER1A;CD40LG;HLA-DQA1;HLA-DMA;IL13
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0223542053635529	0.0721771176257474	-1.54354481351516	NA	33	HLA-E;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRB5;HLA-DRA;HLA-DQB1;PRF1;HLA-DPA1;CD40LG;HLA-DQA1;HLA-DMA;CD86
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.156862745098039	0.300116532703858	-1.16108467380623	NA	127	SEMA3G;SEMA6A;SEMA5A;DPYSL2;SLIT2;DCC;NTN4;CFL2;SLIT3;PPP3CC;SEMA3B;GNAI2;NFATC1;ROBO2;NFATC3;EFNB1;ABLIM3;SEMA6D;RHOA;CXCL12;LIMK2;NTNG1;LRRC4C;ABLIM1;EPHB6;SEMA3D
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.201388888888889	0.350077881619938	-1.19168162550611	NA	52	WNT3A;BMP2;WNT7A;WNT2B;HHIP;WNT9A;WNT2;FZD4;FZD5;FZD8;APC;PTCH1;TCF7L1;AXIN2
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.365102639296188	0.5655008026463	1.0753011230188	NA	31	TAF7L;GTF2IRD1;TAF4;TAF2;GTF2E2;TAF12;TAF6
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	4.66810833156438e-05	0.000482371194261653	1.83649787431011	NA	34	NEIL3;POLE2;FEN1;PARP1;SMUG1;LIG1;POLB;POLE;PCNA;LIG3;UNG;POLD2;PARP2;APEX1;APEX2;POLD1;TDG
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.52710843373494	0.690437807568301	-0.953390668257335	NA	21	AOC3;UPB1;ALDH2
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.38855421686747	0.578119439105986	-1.04008121744562	NA	22	SCD5;HACD1;SCD;ACAA1;HSD17B12;ACOT1;PECR
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.432011331444759	0.590839026828862	1.02268307028345	NA	42	MMP1;CDKN2A;E2F3;E2F2;E2F1;CDH1;EGF;CDK4;MMP9
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.343108504398827	0.545454545454545	1.09580156127919	NA	31	AKR1B10;GAD1;L2HGDH;BDH1;ALDH1B1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0950570342205323	0.218279115617519	-1.26350467124716	NA	73	PPP3CC;BTK;LILRB3;CD81;NFATC1;NFATC3;PIK3R1;AKT3;PIK3R5;JUN;FOS;PIK3R3;PTPN6;NFKBIA;PLCG2;MAPK3;CD22;PPP3CB;PIK3CG;SYK;PIK3AP1;CHP1;PRKCB;SOS2;RAC2
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	2.23117063905477e-06	5.18747173580235e-05	-1.77037957986315	NA	167	ADRB2;TNNC1;EDNRB;ADRA1A;NOS1;CHRM2;GNAQ;ADCY8;CHRM1;PDE1C;ADRB1;CALM1;ADCY9;PLCE1;ADCY4;PPP3CC;CACNA1S;ADRA1D;MYLK;BST1;MYLK3;SLC8A3;AGTR1;GNA11;P2RX1;CAMK2A;PDE1B;ERBB4;P2RX2;P2RX7;P2RX6;PTK2B
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	0.0287709066160359	0.0907015022132658	-1.3531837543125	NA	67	TNNC1;COX7A1;ATP1A2;COX4I2;CACNA1S;CACNA2D2;ATP1B2;CACNB4;MYL3;ATP1B3;SLC8A1;SLC9A1;CACNA1C
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	1.73567875609722e-06	4.61194640905834e-05	-1.87720794445522	NA	127	PECAM1;JAM2;CDH5;CLDN18;SPN;CLDN5;ESAM;HLA-E;SELP;ICAM2;SELPLG;CD34;ITGA8;PTPRM;SDC2;CADM1;MAG;ITGAL;NFASC;JAM3;HLA-DRB1;SELE;SIGLEC1;CADM3;HLA-DOA;NEGR1;HLA-DPB1;HLA-DRB5;CNTN1;HLA-DRA;CD4;CLDN11;HLA-DQB1;HLA-DPA1;NRXN3;ITGAM;CD58;CD40LG;PTPRC;SDC4;HLA-DQA1;HLA-DMA
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	9.56621905836887e-17	1.77931674485661e-14	2.23100091377476	NA	123	CDC6;CCNB1;CDC25C;BUB1B;CDC20;ORC6;PLK1;CCNB2;MCM4;CHEK1;TTK;CCNE1;ESPL1;CDC45;CCNA2;PKMYT1;MAD2L1;ORC1;BUB1;CDK1;PTTG1;CDKN2A;MCM2;E2F3;MCM6;CDC25A;E2F2;CHEK2;DBF4;CCNE2;HDAC1;MCM7;E2F5;SMC1B;ORC2;BUB3;ORC5;MCM3;E2F1;PRKDC;RBL1;YWHAZ;SKP2;PCNA
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LUAD_DESeq2	tcga_cancer__LUAD_DESeq2	2.7144299936098e-06	5.60982198679359e-05	-1.73728579258519	NA	177	GRK5;ADCY8;FGR;ADCY9;RAP1A;ADCY4;CXCR2;GNAI2;PF4;CCL23;CXCR1;ARRB1;RASGRP2;SHC3;CXCL16;ARRB2;CXCL2;RHOA;GNGT2;CRK;STAT5B;PIK3R1;AKT3;PIK3R5;CCL14;PREX1;HCK;PTK2B;CXCL12;CX3CR1;PPBP;FOXO3;NCF1;GNG2;CCL24;GNG7;PIK3R3;CCL2;DOCK2;GNG11;PRKCZ;CXCL3;NFKBIA;MAPK3;WAS;CX3CL1;GRK3;JAK2;ROCK1;PRKACA
