pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	4.14563148562063e-07	2.30312860312257e-06	-1.72014283460255	NA	194	CAVIN2;CAT;CAVIN1;RMDN3;LPCAT3;RETN;CD36;ITIH5;ACADL;SPARCL1;FABP4;SORBS1;HSPB8;LIFR;PPARG;MTARC2;GPX3;ANGPT1;MYLK;LPL;SLC19A1;LTC4S;STOM;CD302;QDPR;ADIPOR2;ACAA2;SULT1A1;STAT5A;PGM1;IFNGR1;ALDH2;RNF11;FZD4;CYP4B1;MGLL;ATP1B3;LAMA4
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.148636040650895	0.218582412721905	-1.07923504809992	NA	195	FGR;CFP;HLA-E;APBB1;PF4;LY86;SPI1;ETS1;ITGAL;IRF8;IFNGR1;SRGN;KRT1;IL16;GPR65;CCND2;HLA-DOA;TGFB2;B2M;CTSS;PTPN6;IL6;CCL2;CD4;HLA-DRA;WAS;JAK2;PRF1;CCND3;IL13;CD47;PTPRC;CD40LG;CD74;HLA-DMA;HLA-DQA1;CRTAM;IGSF6;TLR3;CD86;CCR1;TGFB1;DYRK3;FLNA;HCLS1;IL4R;ITGB2;TLR2;ELF4;NCF4;IL18RAP;HLA-DMB;IL12RB1;DEGS1;CSF1;PRKCB;SOCS5;CAPG;LCP2;NCR1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.0108716802767071	0.0201327412531613	-1.36254912825574	NA	100	PTPN21;PIAS1;LIFR;ADAMTS1;DHCR24;SELENOP;KLK3;ZMIZ1;SGK1;HMGCR;HMGCS1;INSIG1;SRF;PTK2B;IDI1;NCOA4;DBI;B2M;SCD;MYL12A;TMPRSS2;GPD1L;CCND3;TSC22D1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.247191011235955	0.343320848938826	-1.12940460578785	NA	35	THBD;OLR1;PF4;S100A4;LPL;PGLYRP1;SLCO2A1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.00120401677212224	0.00273640175482327	-1.41093605921757	NA	192	PECAM1;MYL9;ARHGEF6;CLDN5;MYH10;NEXN;SLIT2;VWF;CLDN18;ICAM2;EPB41L2;RRAS;SORBS3;CD34;ACTN2;PARVA;GNAI2;TJP1;SIRPA;RSU1;INSIG1;AMIGO1;AKT3;NFASC;EVL;JAM3;MSN;ZYX;ACTG2;CADM3;CALB2;PIK3R3;TSPAN4;TMEM8B;MAP3K20;NEGR1;ITGA10;CLDN11;TAOK2;SGCE;MAP4K2;VCL
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.132295719844358	0.200448060370239	-1.23845265929136	NA	43	SCUBE1;MAL;MDGA1;AKAP7;ADIPOR2;SRPX;NTNG1;TMEM8B;GATA3;PCSK9;SLC2A4;RTN4RL1;CX3CL1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.00623591478259825	0.0119921438126889	-1.35165483683137	NA	160	TGFBR3;CAV1;FEZ1;TIMP3;ADD1;BCL2L2;ETF1;GPX3;SPTAN1;SMAD7;DCN;BMP2;GADD45B;EMP1;CASP1;BTG2;NEDD9;IFNGR1;EGR3;CD44;JUN;PPP2R5B;CCND2;GSN;CD69;SATB1;TGFB2;TIMP2;HGF;CFLAR;HMOX1;PEA15;IL1A;IL6;TSPO;ROCK1;PRF1;TXNIP;RARA;TNFSF10;ATF3;CDKN1A
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.00175323640645164	0.00365257584677425	-1.48960433861954	NA	104	CAT;ABCA8;CYP27A1;HSD17B4;DHCR24;RXRG;ABCA9;APOA1;ABCA3;SLCO1A2;HSD17B6;IDI1;ABCA6;AQP9;RXRA;ACSL1;NR3C2;HSD17B11;PEX11G;SERPINA6;HACL1;ABCA1;SULT1B1;PECR;EPHX2;SULT2B1;SLC23A2;NR0B2;SLC23A1;NEDD4;AR
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	0.000815953115212511	0.00194274551241074	-1.70871161668775	NA	74	LDLR;PPARG;LSS;LPL;CXCL16;STARD4;HMGCR;HMGCS1;ACSS2;SREBF2;CYP51A1;IDI1;PNRC1;SEMA3B;SCD;CD9;NFIL3;ATF3;ANXA5;ALCAM;FDFT1;ACAT2;LGALS3;FABP5
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__LUAD_edgeR	tcga_cancer__LUAD_edgeR	2.51490817132247e-05	8.98181489758025e-05	-1.6717212674029	NA	130	PECAM1;GP9;THBD;CFD;TIMP3;OLR1;P2RY1;VWF;PROS1;F8;F11;LEFTY2;PF4;C8B;F10;CSRP1;A2M;CPB2;SERPING1;APOA1;CTSO;PDGFB;CTSH;APOC1;C1QA;RAPGEF3;LRP1;MAFF;GSN;CPQ;RGN;PEF1;HMGCS2;CD9;ISCU;FYN
