pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.279129321382843	0.441111103739725	-1.11936604906244	NA	57	TMEM273;SMAD9;BMP2;MYO1C;JUND;VSTM4;SMARCA5;LRRC18;BMPR1A;NEO1;ELOA;WDFY4
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0016827430562819	0.0139709399672247	-1.62837620728722	NA	54	SH3GL3;MMRN2;ACTN2;SH2D4B;SUSD2;NRG3;PPARG;ERBB4;GRID1;BMP2;TSPAN14;LDB3;PDS5B;BMPR1A;CEBPA;RSPH4A;ROPN1L;RSPH3;WAPL;IQUB;ZMYND11;ADAM10;DYDC2;RSPH9;DYDC1;RSPH1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0193072694064696	0.0729152863049457	-1.4835310291773	NA	53	TSPAN18;NDST1;PRDM11;HBEGF;CRY2;C11orf96;SDCBP;CD4;CD53;B4GAT1;HLA-DRA;CD82;NRXN1;HLA-DMA;SHH;HLA-DMB;ITGB2;ITGA6;ITGA4;B3GNT7;PEX3;CD151;GLI3;IZUMO1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.028189988547894	0.0948289948300972	-1.4942617980843	NA	30	SGCG;SGCA;SGCB;MAG;DMD;RHOA;SPATA13;TNFRSF19;SGCD;LINC00327;RTN4;SSPN;ATXN1;FLNC;DTNA
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.86218487394958	0.913077731092437	-0.701346670744547	NA	9	CYFIP1
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0629011553273428	0.170279754806268	-1.36577497691646	NA	51	MYZAP;MTMR10;CALM1;KAT2B;MITF;KLF13;GJC2;TJP1;GJA1;OTUD7A;RIC3;TRPM3;GJD3
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.31441717791411	0.479486196319018	-1.13558456468854	NA	16	MTMR10;KAT2B;KLF13;OTUD7A;FYN
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.189907038512616	0.343316955933131	-1.19602348839941	NA	43	SH3GL3;ADAMTSL3;TM6SF1;SHANK3;CPEB1;DNM3;RYR2;ITPR1;FSD2;WHAMM;ZNF592;BNC1;TENT4B;SYNJ1;PDE8A;HTT;HOMER2;BTBD1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.975177304964539	0.989481951985794	0.68208313171012	NA	31	ATP2A1;ATXN2L;TRAF2;CD19;CR2;ATP2A1-AS1;NFATC2IP;TRAF1;RABEP2;TUFM
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.188888888888889	0.342244224422442	1.11960807674409	NA	71	CCT3;KIF22;CCT6A;CCT5;KCTD13;IGFBP3;PCNA;PAXIP1;TRAF2;TLCD3B;ASPHD1;ALDOA;CCT8;PPP4C;CASP8;SEZ6L2;CCT7;CCT2;CCT4;MAZ;HDAC3
