pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.205128205128205	0.376103896103896	1.27030328221978	NA	6	MTHFD1L;MTHFD1;AASDHPPT
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.444444444444444	0.609427609427609	1.01850800746395	NA	9	NFS1;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.0878186968838527	0.217713236410568	1.38631513506044	NA	17	GPT2;IDH2;L2HGDH;GOT1;GOT2;D2HGDH;OGDHL;IDH1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.368975903614458	0.542278755798739	-1.08213343569255	NA	22	TRIM71;ZC3H12B;RBM24;ZC3H12C;CPEB3;ZFP36;ZFP36L2;RC3H1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.243939393939394	0.418868446075938	-1.18759906940054	NA	23	QKI;RBM24;ADARB2;ZFP36;ARID5A;MYD88
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.158508158508158	0.316597564135786	1.32576528254238	NA	6	GTF3C2;GTF3C3
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.277641277641278	0.454199253504004	1.16459367912459	NA	10	SNRPE;SNRPD1;SNRPF;SNRPG;SNRPB
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.636585365853659	0.760504636339943	0.872936882901917	NA	8	NCBP1;RAMAC;RAMACL;RNMT
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.299319727891156	0.475556596710257	-1.16624529864256	NA	7	SLC17A8;SLC22A4;TACR2;SLC22A1
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__LUAD_limma	tcga_cancer__LUAD_limma	0.157068062827225	0.314999094400244	-1.31574562302522	NA	6	BCHE;SLC5A7
