pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.547528517110266	0.707224334600761	-0.945729760922858	NA	43	ABCA8;ABCA9;ABCC6;ABCA6;ABCA3;ABCC9;ABCB1;CFTR
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.189300411522634	0.365359770084636	-1.15683237892864	NA	56	ZBTB16;RARA;MAPK3;SPI1;STAT5A;STAT5B;RUNX1T1;PIK3R5;TCF7L2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.0819427460479938	0.197939620323725	-1.26184718362144	NA	72	PTPRB;LMO7;TGFBR2;SORBS1;PTPRM;ACTN2;MAPK3;RHOA;TJP1;FER;FYN;WAS;WASF3;TCF7L2;PTPRJ;CTNNA1;PTPN6
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.119593448008457	0.271272943043574	-1.22124304791606	NA	64	AGRP;LEPR;CD36;ACACB;RXRG;ACSL5;NFKBIA;PRKCQ;TNFRSF1B;ACSL1;PRKAB1;JAK2;SOCS3;ACSL4;PPARGC1A;NFKB1;STAT3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.041726618705036	0.129352517985612	1.4251780467345	NA	29	GPT2;PPAT;GAD1;CAD;GOT2;ADSL;ADSS2;ASNS;NIT2;ADSS1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.0346265647752255	0.112991948213894	-1.36623414112519	NA	38	ATP1A2;MAPK3;NR3C2;ATP1B2;FXYD4;PIK3R5;PRKCB;NEDD4L;SCNN1B;PIK3CG;PDPK1;HSD11B1;SCNN1G
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	1.35283247389232e-05	0.000148015788319984	-2.07437028375391	NA	32	HLA-E;HLA-DOA;HLA-DRB5;HLA-DMA;HLA-DPA1;HLA-DRB1;HLA-DPB1;HLA-DRA;PRF1;CD40LG;HLA-DQB1;HLA-DMB;HLA-DQA1;FAS;CD86;HLA-C;HLA-B;CD80;HLA-DQA2;TNF;HLA-F;HLA-A;HLA-G
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.222222222222222	0.409240924092409	-1.201377374763	NA	17	PLA2G1B;PLA2G10;PLA2G5;PLA2G12A;PLA2G2A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.662870159453303	0.805842154629505	0.922546966912087	NA	160	CALML3;GAPDH;COX6B2;CDK5R1;CALML5;NDUFS6;NAE1;GRIN2D;CASP3;CALML6;CYC1;ATP2A1;UQCRH;NDUFA4L2;NDUFB4;ATP5MC1;UQCRHL;ATP2A2;HSD17B10;NDUFS2;CDK5;NDUFB5;ATP5MC3;NDUFV1;CYCS;CAPN1;COX5A;ATP5F1B;COX5B;NDUFB9;BID;GRIN1;FADD;CHP2;COX6C;PPP3R1;NDUFAB1;NDUFS8;SDHC;COX6B1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.000623712162851327	0.00386701540967823	1.75903158586311	NA	41	TARS1;FARSB;TARS2;GARS1;DARS2;MARS1;YARS2;DARS1;SARS2;FARSA;PARS2;IARS2;MARS2;CARS1;IARS1;EPRS1;EARS2;AARS1;AARS2;RARS1;VARS1;YARS1;NARS1;VARS2;KARS1
