pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.295109612141653	0.526707145594161	1.17317871445472	NA	7	HMGA1;BANF1;XRCC6
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.0353188694712568	0.129044148088629	-1.52950834172608	NA	8	ADH1A;ABCB1;SLC22A3;ABCG2;NT5C2
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.13265306122449	0.306770957410201	-1.36589612917917	NA	5	ABCB1;SLC22A3;ABCG2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.390274314214464	0.625772573960781	1.05269354859981	NA	90	ABCA12;ABCC5;PSMD2;ABCB6;SEM1;PSMD11;PSMD14;ABCC1;PSMC4;ABCB9;PSMD3;PSMB4;ABCC11;PSMD7;PSMC2;ADRM1;PSMB5;PSMA4;PSMD1;EIF2S2;ABCG8;ABCC10;PSMC6
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.512893982808023	0.728570586054663	-0.963203699598279	NA	18	ABCA9;ABCA6;ABCA3;APOA1
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.235138705416116	0.456010230179028	1.14893469265187	NA	65	ABCA12;PSMD2;ABCB6;SEM1;PSMD11;PSMD14;PSMC4;PSMD3;PSMB4;PSMD7;PSMC2;ADRM1;PSMB5;PSMA4;PSMD1;ABCG8;PSMC6;PSMB3;PSMD8;PSMA7;PSMD12
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.00173443855955568	0.0127263537106493	1.72955829031934	NA	20	UBE2C;UBE2S;SKP2;ANAPC7
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.00719438780044673	0.039348446160112	1.6322799099911	NA	17	CCNE1;E2F2;CCNE2;E2F1;CDK4;TFDP1;CDK2;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.0263332427447117	0.102515658982142	1.57079609315411	NA	22	NELFCD;POLR2H;NCBP2;POLR2D;NELFA;NCBP1;POLR2J;POLR2F;GTF2F2;POLR2B;POLR2G
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__LUSC_DESeq2	tcga_cancer__LUSC_DESeq2	0.37156704361874	0.60959595845995	1.09811757884281	NA	11	CHRNA5;CHRNB4;CHRNB2
