pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.393194706994329	0.553690348319779	-1.04431217864285	NA	41	ABCG2;ABCA4;ABCG4;ABCC3;ABCD3;ABCD2;ABCC9;ABCC8;CFTR;ABCC10
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.41254752851711	0.572640599284944	-1.02377324787365	NA	55	TCF7L1;STAT5B;PIK3R1;KIT;SOS2;STAT5A;PIK3CD;SOS1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.0163856751380647	0.0662551212104356	-1.49082569843733	NA	73	TCF7L1;VCL;SNAI2;IQGAP1;SORBS1;MET;ACTN4;ACTN1;SSX2IP;FER;SMAD3;TGFBR2;CTNNA3;ACTB;FGFR1;NECTIN1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.140151515151515	0.263314967860422	-1.20163001691887	NA	63	ACSL6;PPARGC1A;ACSL4;ACACB;JAK2;NFKBIA;LEPR;RXRA;RXRG;PTPN11;POMC;SLC2A4;NFKB1;SLC2A1;SOCS3;PRKAB2;TNF;CAMKK1;PRKCQ;IRS1;PRKAB1;PPARA;TNFRSF1A;PCK2;PCK1;ADIPOR2;LEP;MAPK10
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.752066115702479	0.816147433084686	0.83760995828002	NA	30	ADSL;PPAT;NIT2;ASL;GAD1;ASNS
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.000219144793941032	0.00194099674633485	-1.91575573729748	NA	37	ATP1A4;PIK3R1;PRKCB;KCNJ1;ATP1B1;PRKCA;SCNN1A;SGK1;SCNN1B;NR3C2;ATP1B2;HSD11B1;ATP1A2;PIK3CD;FXYD4
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.388235294117647	0.552312528064661	-1.0560114999526	NA	27	CD40;HLA-DOA;FAS;HLA-E;HLA-DPA1;TNF;HLA-DRB5;HLA-DRA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.0327226398901869	0.104938121027151	-1.49153804806597	NA	16	PLA2G4A;PLA2G3;FADS2;PLA2G2C
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.188284518828452	0.314360830374215	1.10356816891217	NA	158	CACNA1D;CDK5R1;SDHA;PSEN2;APOE;NDUFS6;NDUFB10;PPP3CA;COX5A;GRIN1;UQCRHL;NDUFB9;CDK5;NDUFA7;ATP5F1D;NDUFB8;BAD;NDUFB1;ATP5F1E;COX6A1;HSD17B10;ATP5MC2;ATP5MC1;NDUFAB1;COX6C;ATP5PO;UQCRH;NDUFA8;NDUFB2;NDUFA10;UQCRB;NDUFV3;COX8A;UQCRQ;NDUFA1;NDUFA3;COX5B;NDUFB7;BID;NDUFV2;NDUFB4;NDUFA4L2;CYC1;NDUFV1;UQCR10;NDUFS8;ATP5PD;PPP3R1;NDUFA9;NDUFA2;CALML6;COX6B1;NDUFS2;COX7A2L;NDUFB3;CASP8;PLCB4;ATP5F1B;COX7A2;MAPT;MT-CO2
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__PRAD_DESeq2	tcga_cancer__PRAD_DESeq2	0.000492492216594364	0.00358084337708934	1.90127846126464	NA	40	VARS1;GARS1;FARSB;RARS1;EARS2;NARS2;TARS1;SARS2;FARSA;QARS1;TARS2;MARS2;YARS2;LARS1;CARS2;DARS2;AARS2;LARS2;WARS2;EPRS1;MARS1;PSTK;PARS2;CARS1;IARS2;WARS1;YARS1
