pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.463740458015267	0.584538026398492	-0.98367843794886	NA	41	ABCG2;ABCG4;ABCA4;ABCD3;ABCD2;ABCC3;ABCC9;ABCC10;CFTR;ABCC8;ABCD1;ABCC6
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.318532818532819	0.4722678343368	-1.07768677457313	NA	55	STAT5B;TCF7L1;PIK3R1;KIT;SOS2;STAT5A;SOS1;PIK3CD;NFKB1;RUNX1T1;TCF7L2;PIK3CG;RARA;PPARD;CCND1;RUNX1;FLT3;PIK3CA;MAPK1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.00796528270205655	0.0336714223314209	-1.54011504669648	NA	73	TCF7L1;IQGAP1;VCL;SNAI2;ACTN4;FER;ACTN1;MET;SMAD3;SORBS1;SSX2IP;TGFBR2;ACTB;FGFR1;NECTIN1;MAP3K7;PARD3;EGFR;TGFBR1;PTPRB;FYN;RHOA;SMAD2;TCF7L2;CTNNB1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.147792706333973	0.27489443378119	-1.24116695151772	NA	63	PPARGC1A;ACSL4;ACSL6;ACACB;JAK2;NFKBIA;RXRA;LEPR;PTPN11;RXRG;NFKB1;SLC2A4;SLC2A1;PRKAB2;TNF;SOCS3;PRKAB1;CAMKK1;IRS1;PPARA;TNFRSF1A;PCK2;ADIPOR2;MAPK10;PRKAG2;STAT3;IKBKG;CHUK
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.437125748502994	0.55688622754491	1.00052782481863	NA	30	ADSL;ACY3;PPAT;NIT2;ASL;ASNS;GAD1;CAD;CPS1;GPT2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	8.22313600541994e-05	0.00101966886467207	-1.97961700369496	NA	37	ATP1A4;PIK3R1;KCNJ1;PRKCB;ATP1B1;PRKCA;SCNN1A;NR3C2;SCNN1B;SGK1;ATP1B2;HSD11B1;FXYD4;ATP1A2;PIK3CD
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.182730923694779	0.320641054785178	-1.22253489274998	NA	27	CD40;HLA-DOA;FAS;HLA-E;HLA-DPA1;TNF;HLA-DRB5;HLA-DRA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0330261252241918	0.102380988194994	-1.58309145937165	NA	16	PLA2G3;PLA2G4A;FADS2;PLA2G2C
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0909090909090909	0.216783216783217	1.19440494063854	NA	158	CALML5;CACNA1D;CDK5R1;SDHA;PSEN2;APOE;NDUFS6;NDUFB10;COX5A;PPP3CA;GRIN1;UQCRHL;NDUFA7;CDK5;NDUFB9;ATP5F1D;BAD;NDUFB1;HSD17B10;NDUFB8;ATP5F1E;COX6A1;ATP5MC2;ATP5MC1;NDUFAB1;COX6C;UQCRH;ATP5PO;NDUFV2;NDUFA8;NDUFB2;NDUFA10;UQCRB;NDUFV3;COX8A;CACNA1S;UQCRQ;NDUFA1;COX5B;NDUFA3;NDUFB7;NDUFB4;BID;NDUFA4L2;CYC1;NDUFV1;COX6A2;UQCR10;NDUFS8;ATP5PD;CALML6;NDUFA2;NDUFA9;COX6B1;PPP3R1;NDUFS2;COX7A2L;CASP8;NDUFB3;PLCB4;COX7A2;MAPT;MT-CO2;ATP5F1B
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.000570188984763095	0.00385472583513473	1.84175290773719	NA	40	VARS1;GARS1;FARSB;EARS2;RARS1;NARS2;TARS1;FARSA;SARS2;QARS1;MARS2;TARS2;LARS1;CARS2;DARS2;YARS2;AARS2;LARS2;WARS2;EPRS1;MARS1;PSTK;CARS1;PARS2;IARS2;YARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.208677685950413	0.346554014167651	1.16951645774273	NA	44	GMDS;AMDHD2;GFUS;UAP1;PMM2;CHIT1;MPI;PMM1;GPI;GNPNAT1;HK2;NANS;GALT;GMPPA;UGDH
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.542372881355932	0.655073739819503	-0.941451425793634	NA	51	CHP2;PPP3CB;CASP1;PRPH2;BCL2;CAT;GRIN2A;NOS1;GRIA2;MAPK14
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.430188679245283	0.55688622754491	-1.00177124062137	NA	58	CTSB;HSPA6;NFYB;HSPA2;HLA-DOA;HSPA1A;KLRD1;HSPA1B;HLA-E;HSPA1L;HLA-DPA1;KLRC1;CTSS;HLA-DRB5;HSP90AA1;CD8A;HLA-DRA;B2M
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.115241635687732	0.248919984973704	-1.24650449427973	NA	83	CHP2;PIK3R1;PPP3CB;IRAK3;IL1A;BCL2;TNFRSF10D;IRAK4;NFKBIA;PRKAR1A;MAP3K14;PIK3CD;FAS;CAPN1;TNFRSF10C;IL1B;NTRK1;NFKB1;NGF;IRAK2;TNF;PRKACA;BIRC3;IL1RAP;PRKAR2A;DFFA;PIK3CG;TNFRSF10B;CASP10;PRKAR2B;EXOG;CFLAR;TNFRSF1A;PIK3CA
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.000725091724049682	0.00449556868910803	-1.79152169804525	NA	47	PLA2G3;GPX2;PLA2G4A;PTGS1;PTGS2;GPX3;PTGES;GGT6;CYP4F3;GPX7;CYP2E1;PTGIS;PLA2G2C
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.568965517241379	0.674061058642653	-0.932401160237302	NA	49	GATM;NAGS;MAOB;PRODH;OAT;GLUL;ALDH2;NOS1;P4HA2;ALDH4A1;ALDH3A2;ASS1;AOC1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	4.65688035702869e-06	9.88971095979985e-05	-1.98537833297521	NA	70	GJA1;TCF7L1;ITGB8;ITGA3;SGCB;ITGA2;ITGB6;ITGB3;ACTN4;DMD;ACTN1;SLC8A1;ITGB4;ITGA9;ITGB1;ITGA5;CACNA1F;ITGA1;ACTB;CACNB4;ITGA6;CACNA1C;DES;ITGA7;CACNA2D4;CACNB2;PKP2;CACNA2D3;SGCA;LMNA;CACNA2D1;ITGA8;TCF7L2;CTNNB1;LAMA2;ITGB7;CACNG4
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.345114345114345	0.48941707147814	-1.08982413989981	NA	17	UGT2B7;UGT1A6;ALDH2;ALDH3A2;UGT2B10;ALDH1B1;ALDH9A1
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.161943319838057	0.298232252375035	-1.26943505037346	NA	19	CD40;FCER1A;HLA-DOA;HLA-DPA1;TNF;MS4A2;HLA-DRB5;HLA-DRA
