pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.132530120481928	0.286310480600493	-1.34768052561635	NA	7	PSIP1;LIG4
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0102387298865189	0.0503380452638049	-1.6420961938776	NA	7	ABCG2;SLC22A2
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0168765659507936	0.0729126900708534	-1.57813655556814	NA	5	ABCG2;SLC22A2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.169724770642202	0.334398302431281	1.15707936091407	NA	88	ABCG1;EIF2S3;PSMA1;PSMA6;ABCC4;ABCA3;ABCA2;PSMB7;ABCB6;PSMD3;SEM1;ADRM1;PSMB5;SEL1L;PSMA5;UBA52;EIF2S2;PSMA2;RPS27A;PSMA7;PSMD13;PSMD11;VCP;PSMA4;PSMA3;ABCC1;PSMB3;PSMB1
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.263157894736842	0.449635705915321	-1.16083985281956	NA	16	PEX3;ABCG4;ABCD3;ABCD2
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0343743031169853	0.118945790076349	1.40179072655631	NA	63	PSMA1;PSMA6;ABCA3;PSMB7;ABCB6;PSMD3;SEM1;ADRM1;PSMB5;SEL1L;PSMA5;UBA52;PSMA2;RPS27A;PSMA7;PSMD13;PSMD11;VCP;PSMA4;PSMA3;PSMB3;PSMB1;ABCD4;PSMC5;PSMD6;PSMB4;KCNJ11
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.113978494623656	0.256596993636164	1.30735687951276	NA	20	UBE2S;ANAPC5;UBE2C;ANAPC2;ANAPC11;ANAPC15
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.791139240506329	0.903532728616136	0.790105533363668	NA	17	E2F1;E2F3;E2F2;CCNE2;CCNE1;CDK4
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.036933114805641	0.124640435242746	1.48449174231317	NA	22	POLR2H;POLR2D;NELFCD;POLR2I;NELFB;NCBP2;POLR2L;POLR2F;NELFE;POLR2J
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.879166666666667	0.946176321138211	0.679442092755049	NA	11	CHRNA5;CHRNA3;CHRNB2;CHRNG;CHRND
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0717299578059072	0.194475231224925	1.41826869284856	NA	17	CPLX1;CHAT;SLC18A3
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0697211155378486	0.19078723864233	-1.47052026695657	NA	10	PRKCA;PLCB1;GNA14;GNAQ;GNA11;GNA15
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.749518304431599	0.874355457582137	-0.831259553640052	NA	31	NEURL1B;NOTCH1;CNTN1;ITCH;JAG2;DTX4;NUMB;MIB1;UBC;ARRB1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.757085020242915	0.88143473662846	0.774912031676848	NA	6	CDK5R1;CDK5
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0689655172413793	0.189601460951767	-1.46852149803688	NA	11	BDNF;NTF4;SOS1;NTRK2;PTPN11
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0411381246783847	0.134710185635156	-1.51178378090163	NA	6	BDNF;DOCK3;NTRK2;FYN
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.00539167594093868	0.0337310245299152	-1.69403894951734	NA	7	PIK3R1;GAB1;BDNF;NTF4;NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0261010666333073	0.0988591901454667	-1.62613125450247	NA	9	BDNF;NTF4;SOS1;NTRK2;SHC1
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0492125984251969	0.154281059006168	-1.50514084220273	NA	6	PIK3R1;NTF3;NTRK3
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0429126624318031	0.13922950219142	-1.53019285632871	NA	8	NTF3;NTRK3;SOS1;SHC1
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	2.00538879624977e-05	0.00038059260487966	2.08117056463176	NA	42	PKN1;H2BC15;H4C11;H4C5;H2AX;H2AC20;KDM1A;H4C8;H4C4;H4C2;H2AJ;H2BC17;H2BC4;H3C6;H2AC8;H3C10;H4C9;H2BC12;H2BC7;H2BC8
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.665188470066519	0.817019937138069	0.883219463081216	NA	23	RIPK2;IRAK1;UBA52;RPS27A;MAPKAPK3;MAPK11;MAP2K6;UBE2V1;UBE2N;MAP2K3;TAB3
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.739130434782609	0.867019145003038	0.833175162403303	NA	22	CAMKK2;TUBB2A;TUBB4A
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.137299771167048	0.292320984450953	1.19493617529229	NA	95	EZH2;POLR2H;POLR2D;H2BC15;H4C11;HOXC4;PAGR1;H4C5;WDR5;H2AX;H2AC20;H4C8;H4C4;H4C2;H2AJ;H2BC17;H2BC4;H3C6;H2AC8;POLR2I;H3C10;H4C9;H2BC12;PCGF2;H2BC7;PAXIP1;H2BC8;POLR2L;CNOT6;HDAC3;ZNF335;POLR2F;H2BC13;H2BC14
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	5.11939579760282e-07	2.00794079617088e-05	2.14531028607455	NA	63	UBE2S;BUB1B;PLK1;ANAPC5;CDC20;CCNB1;PTTG1;NEK2;CCNA2;UBE2C;PSMA1;PSMA6;PSMB7;PSMD3;SEM1;ADRM1;PSMB5;CDK1;ANAPC2;PSMA5;UBA52;PSMA2;MAD2L1;RPS27A;ANAPC11;ANAPC15;PSMA7;PSMD13;PSMD11;PSMA4;PSMA3;PSMB3;PSMB1
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	c2_reactome	fgsea	tcga_cancer__PRAD_edgeR	tcga_cancer__PRAD_edgeR	0.0024936902419713	0.019136362074258	1.73842905429884	NA	37	CDC25A;CDC25C;CDC45;DBF4;ORC6;ATRIP;MCM7;MCM10;CLSPN;RFC3;CDC6;RFC4;ORC1
