pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.65345080763583	0.759636563876652	-0.88707670611783	NA	41	ABCD3;ABCG4;ABCC9;ABCG2;ABCD2;ABCA12;ABCC3;ABCC6;CFTR;ABCC10;ABCA4;ABCC8
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.210599721059972	0.334799556556879	-1.17618045343188	NA	55	TCF7L1;STAT5B;PIK3R1;KIT;SOS2;STAT5A;SOS1;PIK3CD;RUNX1T1;NFKB1;RUNX1;PIK3CA;TCF7L2;CCND1;MAPK1;TCF7;RARA;PIK3CG;PPARD;STAT3;CHUK;RAF1;MAPK3;AKT3;PML;IKBKG
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.00453141384634489	0.0210710743855037	-1.58919813711979	NA	73	TCF7L1;IQGAP1;VCL;SNAI2;FER;ACTN4;SMAD3;MET;SORBS1;ACTN1;SSX2IP;TGFBR2;MAP3K7;ACTB;EGFR;FGFR1;CTNNA3;PARD3;TGFBR1;NECTIN1;SMAD2;RHOA;FYN;PTPRB;TCF7L2;CSNK2A2;CTNNB1;SMAD4;MAPK1;TCF7;CDC42;WASF2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0323790957801424	0.100375196918441	-1.40924948408105	NA	63	PPARGC1A;ACSL4;JAK2;ACACB;LEPR;RXRA;SLC2A4;RXRG;NFKBIA;POMC;PTPN11;NFKB1;IRS1;CD36;MAPK10;SOCS3;PRKAB2;PRKAB1;PPARA;TNFRSF1A;ACSL6;PRKCQ;SLC2A1;TNF;PRKAG2;LEP;STAT3;CHUK;CPT1C
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.926829268292683	0.95706656711088	-0.688937972199568	NA	30	ASPA;DDO;GLUL;ALDH4A1;ASS1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.000796351000036151	0.00644005591333583	-1.75851638885664	NA	37	PRKCB;PIK3R1;ATP1B1;NR3C2;PRKCA;ATP1A2;SCNN1A;ATP1A4;SGK1;ATP1B2;PIK3CD;SCNN1B;SCNN1G;HSD11B1;IRS1;KCNJ1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0654761904761905	0.148519163763066	-1.38905086111094	NA	27	CD40;FAS;HLA-DOA;HLA-E;HLA-DPA1;HLA-DRA;HLA-DRB5;TNF;PRF1;HLA-DQA1;HLA-DRB1;HLA-DQB1;HLA-DPB1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.0390977443609023	0.10781451266638	-1.50455451738381	NA	16	PLA2G3;PLA2G2C;FADS2;PLA2G4A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	0.779569892473118	0.843023255813953	0.911698603055002	NA	158	CACNA1D;APOE;PSEN2;CDK5R1;SDHA;GRIN1;COX5A;PPP3CA;NDUFA7;NDUFB10;UQCRHL;NDUFS6;CDK5;NDUFV2;ATP5MC2;NDUFB9;NDUFB1;UQCRH;ATP5F1D;NDUFAB1;ATP5F1E;BAD;NDUFA8;HSD17B10;ATP5MC1;NDUFA10;COX6A1;NDUFV3;PLCB4;MT-CO2;NDUFB8;UQCRB;COX7A2L;ATP5PO;COX8A;COX6C;NDUFB2;BID;NDUFB4;NDUFA1;UQCRQ;PPP3R1;NDUFA3;COX5B;CYC1;ATP5PD
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__PRAD_limma	tcga_cancer__PRAD_limma	1.72471110504642e-05	0.000246766358106642	2.09549043086947	NA	40	VARS1;GARS1;FARSB;EARS2;RARS1;NARS2;TARS1;SARS2;TARS2;FARSA;MARS2;QARS1;DARS2;YARS2;CARS2;LARS1;WARS2;AARS2;YARS1;PARS2;EPRS1;LARS2;CARS1;MARS1
