pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0338953490709536	0.0940975362268264	-1.48904462588408	NA	41	ABCG2;ABCA8;ABCB11;ABCA6;ABCA9;ABCA10;ABCD3;ABCA5;ABCC8;ABCD2
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.3058568329718	0.463632015999304	-1.08453669543298	NA	55	ZBTB16;TCF7L1;FLT3;KRAS;SOS2;PIK3CG;RUNX1T1;PPARD;KIT;TCF7L2;MAPK1;AKT3;PIK3CD
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.335511982570806	0.494291338582677	-1.06288919909215	NA	71	VCL;CTNNA3;TCF7L1;SORBS1;WASL;SMAD4;SMAD2;PARD3;PTPRM;TCF7L2;FGFR1;MAPK1;CDC42;NECTIN3;EGFR;WAS;TJP1;WASF2;CTNND1;ACTN1;YES1;IQGAP1;WASF3;TGFBR2;FER;RAC2;CTNNA2;CTNNA1;PTPRF;ACTB;INSR;WASF1;RHOA
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0305223833006838	0.087340973752726	-1.45192137898595	NA	62	SLC2A4;ACACB;MAPK10;RXRG;PCK1;LEPR;PPARGC1A;CD36;PRKAG2;PRKAA2;PRKAB2;AKT3;RXRA;CPT1A;MAPK8;JAK2;TNFRSF1A;CHUK;MAPK9;NFKBIA;NPY
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0902255639097744	0.197434763379036	1.37051139451501	NA	29	CAD;GAD1;ASNS;GPT2;PPAT;NIT2;ALDH4A1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	8.38988379731505e-06	0.000141865307845509	-2.08512823904773	NA	34	NEDD4L;NR3C2;ATP1A2;ATP1B2;SGK1;PRKCB;SCNN1B;KRAS;SCNN1G;PIK3CG;ATP1B3;HSD11B2;PRKCA;MAPK1;PIK3CD
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.222689075630252	0.381818181818182	-1.16545597562927	NA	30	FAS;HLA-DOB;CD40LG;CD28;IL10;HLA-DMB;HLA-DQA1;HLA-DOA;HLA-DPB1;HLA-DPA1;HLA-DRA;HLA-DRB1;CD86;HLA-DRB5;HLA-G;FASLG;HLA-DQA2;HLA-E
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.550847457627119	0.652596351074166	-0.943478326965222	NA	16	PLA2G2C;PLA2G5;ACOX1;PLA2G10;PLA2G2D
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.000505232437187863	0.00348049012284972	-1.60634864043324	NA	156	RYR3;CALM1;CHP2;ITPR1;SDHD;ATP5F1A;CASP7;PPP3CB;SNCA;FAS;GNAQ;MAPT;COX7A1;APBB1;EIF2AK3;UQCRFS1;GRIN2A;CAPN2;NOS1;PSEN1;NDUFB1;NDUFA5;CHP1;ATP2A3;MAPK1;NDUFA6;CYCS;ATP5PF;COX7C;CACNA1C;CALM2;NDUFS4;NDUFA1;NDUFB3;NDUFS1;ATP5MC3;NDUFC1;ATP5F1B;TNFRSF1A
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.000821399564357305	0.00545643996323067	1.75679006267989	NA	40	TARS2;GARS1;IARS1;AARS1;DARS1;VARS1;KARS1;FARSA;MARS1;YARS1;CARS2;EARS2;SARS2;FARSB;NARS2;MARS2;YARS2
