pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0221821061093676	0.128178878973751	-1.41263984713488	NA	54	CHAT;BMPR1A;BCL2;BMP2;MYO1C;SIRT1;SMAD1;DLD;WDFY4;VSTM4;DRGX;TMEM273;NEO1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.434125269978402	0.70191893720401	-1.00788998906339	NA	46	BMPR1A;LDB3;BMP2;SNCG;AFG3L2;ZMYND11;GPR15;GHITM;NME5;STAG1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.516483516483517	0.7370391225157	-0.965434450192223	NA	52	NRXN1;MS4A1;CD19;GLI3;B3GNT7;CRY2;TSPAN18;EXT1;B4GAT1;CD63;ITGA4;PHF21A;ITGB1;NDST1;CHST6;CD4;HLA-DMB
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.283482142857143	0.57772142059949	-1.13992074317034	NA	29	FLNC;SSPN;SGCB;DMD;SGCG;DTNA;RTN4;CDC42;SGCA;SGCD;MAPK8;ATXN1;MAPK9
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.38929889298893	0.675722223001698	1.07871272958528	NA	9	TUBGCP3;TUBGCP4;TUBGCP6
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0822510822510823	0.314206017134887	-1.33421209147226	NA	47	CALM1;KAT2B;MTMR10;RIC3;EID3;MITF;MYZAP;SMC5;CHRNA7;CGN;TJP1;OTUD7A;SLF2;KLF13;CCL5
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.325051759834369	0.607885100109383	-1.13885687480505	NA	13	KAT2B;MTMR10
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.216814159292035	0.503692945123736	-1.18079489115604	NA	37	CPEB1;ADAMTSL3;ITPR1;PDE8A;HOMER2
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.681654676258993	0.836257309941521	0.862488917996751	NA	30	IFITM1;SPNS1;ATXN2L;TRAF2
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.353383458646617	0.630887941955545	1.05703017208323	NA	71	CCT3;CCT6A;ASPHD1;TRAF2;CCT7;KCTD13;TBX6;CCT4;SEZ6L2;CCT5;CCT2;PAXIP1;PCNA
