pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0349969353713298	0.173218662349638	1.47875696342616	NA	6	MTHFD1L
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.884250474383302	0.946353204795653	0.661579435690739	NA	9	NFS1;LYRM4;FXN;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.288659793814433	0.550784181959163	-1.12521497322481	NA	16	ADHFE1;DLD;GOT1;PHYH;DLST;OGDH
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.642398286937901	0.817634581125525	-0.873615364727288	NA	22	RBM24;CPEB3
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0223127428458938	0.129921355500673	-1.5850581088545	NA	23	RBM24;ELAVL4;RBM47;QKI;RBM38
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.309124767225326	0.572909091647742	1.18361941477509	NA	6	GTF3C3;GTF3C5;GTF3C2
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.14368932038835	0.379322375733308	1.34966895927679	NA	10	SNRPB;TGS1;SNRPF
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.976842105263158	0.990784797706471	-0.461917378263488	NA	8	NCBP3
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.030651990023829	0.159102136549049	-1.5392338065635	NA	7	SLC17A8;TACR2;CHRNA3;SLC44A4
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0188216861235994	0.116821944888366	-1.5493042688507	NA	6	CHAT;BCHE;SLC5A7;SLC44A4;ACHE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0729613733905579	0.265605334182878	-1.45364491502928	NA	23	PDK4;ACAT1;DLD;PDK2;PPCS;ACSS2;SIRT4;PDHB;DLAT;TPK1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.123173277661795	0.348775479541243	-1.28063088876788	NA	41	PDK4;ACACB;ACAT1;DLD;PDK2;DLST;PPCS;ACSS2;HMGCS2;SIRT4;PDHB;DLAT;TPK1;HMGCR;NUDT7;PMVK;MPC2
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0574948665297741	0.236220796763037	-1.32146312397015	NA	66	SLC17A8;EPM2A;ATP1A2;PIANP;SLC17A7;SNCA;SLC25A12;ABCC8;SLC7A14;APBA1;NTSR1;SYT4;PSEN1;SLC1A2;ARL6IP5;SLC25A18;TTYH2;RAB3GAP1;LRRC8C;SLC1A1
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.0763052208835341	0.270015019427303	-1.39852347689176	NA	33	ABCB11;SGK1;SLC51B;CASR;APBA1;NTSR1;TRPC4;SLC26A7;FABP1;PTGER3;PNOC
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.5512104283054	0.765197038819208	0.942988209003773	NA	6	ZP3;HYAL3;STXBP1
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.294491525423729	0.557293201915991	-1.1033268773374	NA	26	PLN;PAFAH1B1;SPINK2;CEP70;CCDC136;TMF1;RFX2;AGFG2
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.37037037037037	0.631861650969931	-1.03032418728883	NA	28	PLCD4;CACNA1H;HVCN1;TRIM36;PRND;PLA2G10;RAB3A;GLRB;IFTAP;PKDREJ
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	0.3420523138833	0.608131813603089	-1.11452576964353	NA	13	FLNA;MARCKS;EPS8;DPYSL3;AIF1;GAS2L1
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	tcga_cancer__READ_DESeq2	tcga_cancer__READ_DESeq2	1.04691163033267e-09	2.27834143551148e-07	-2.11847083551285	NA	127	TPM1;PDE4D;GSN;CAV1;NEDD4L;GPD1L;ATP1A2;ANK2;SCN11A;SCN7A;SCN9A;SCN4B;ADRB2;PARVA;CTNNA3;PLN;FLNA;KCNA5;CAMK2D;CACNA2D1;SCN2B;WASL;DSC2;MYO1C;MYO1A;GJC1;SCN4A;SCN3A;ZEB2;SLC9A1;SRI;NOS1;ROCK1;MYL6;CACNA1C;AKAP9;QKI;CASQ2;CACNB2;KCND3;SGCD;PKP2;LUZP1;SUN2;WIPF1;MYO5A;FGF12;ABCC9;ACTA2;PIK3CA;DSG2;MYH2;DLG1;WAS
