pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00133268051119481	0.00563360397914168	-1.64468858732201	NA	41	ABCA8;ABCG2;ABCA6;ABCB11;ABCA9;ABCB5;ABCC8;ABCD2;ABCA5;ABCA10;ABCD3
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.448008849557522	0.544638209266007	-1.03207304028199	NA	55	ZBTB16;FLT3;PIK3CG;TCF7L1;KIT;RUNX1T1;KRAS;SOS2;AKT3;PIK3CD;TCF7L2;PPARD;MAPK1;CHUK;PIK3R5;RAF1;PIK3CA
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.412262156448203	0.52163783060793	-1.03810383045734	NA	71	CTNNA3;TCF7L1;WASL;VCL;SORBS1;SMAD2;SMAD4;PTPRM;NECTIN3;PARD3;FGFR1;CDC42;TCF7L2;WAS;MAPK1;WASF3;FER;CTNNA2;YES1;EGFR;WASF2;TJP1;CTNND1;IQGAP1;TGFBR2;RAC2;WASF1;RHOA;MAPK3;PTPRB;SNAI2;ACTN1;CTNNA1;ACTB;PTPRF;FYN
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00636308967592983	0.0194699739040385	-1.49559193131317	NA	62	RXRG;MAPK10;ADIPOQ;CD36;PRKAA2;ACACB;SLC2A4;LEPR;NPY;PPARGC1A;PCK1;PRKAG2;AKT3;LEP;JAK2;RXRA;PRKAB2;CPT1A;TNFRSF1A;MAPK8;CHUK;MAPK9
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.238993710691824	0.35002228495023	1.15384676234211	NA	29	CAD;GPT2;NIT2;ASNS;PPAT
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	8.70121679509173e-05	0.000735648329039574	-1.78413395157315	NA	34	ATP1A2;NR3C2;PRKCB;ATP1B2;SCNN1B;NEDD4L;PIK3CG;SCNN1G;SGK1;KRAS;IGF1;ATP1B3;HSD11B2;PIK3CD;PRKCA;MAPK1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.045346062052506	0.0980740411833268	-1.38061642428588	NA	30	FAS;IL10;HLA-DOB;CD28;CD40LG;HLA-DOA;HLA-DQA1;HLA-DMB;HLA-DPB1;HLA-DPA1;CD86;HLA-DRB5;HLA-DRB1;HLA-DRA;FASLG;HLA-DMA;HLA-DQB1;HLA-E;CD40;TNF
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.336363636363636	0.456668878566689	-1.12907554321511	NA	16	PLA2G2C;PLA2G5;PLA2G10;PLA2G2D;PLA2G2A;ACOX1;PLA2G4A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00200343606491557	0.00745278216148592	-1.40851502011616	NA	156	RYR3;MAPT;GRIN2A;CALM1;FAS;CHP2;SNCA;ITPR1;SDHD;ATP5F1A;PPP3CB;CASP7;COX7A1;GNAQ;NOS1;APBB1;EIF2AK3;UQCRFS1;NDUFB1;NDUFS4;NDUFA5;ATP5PF;CAPN2;PSEN1;CYCS;ATP2A3;NDUFA6;CHP1;NDUFA1;NDUFC1;COX7C;NDUFB3;MAPK1;CALM2;NDUFS1;ATP5MC3;ATP5PB;TNFRSF1A;ATP5F1B;PPP3CC;CALM3;CASP3;SDHB;UQCRC2;CACNA1C;MT-CO1;UQCR10;CASP9;PPP3CA;COX5A;NDUFB5;APAF1;ADAM10;COX6B2;SDHC;ATP5PD;NDUFS2;UQCRB;MAPK3;NDUFB6;COX7A2;ATP5PO;ATP5F1C;COX6C;UQCRC1;COX7B;GRIN1;NDUFA10
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	2.46273236749071e-06	5.7258527544159e-05	2.22540561889089	NA	40	GARS1;TARS2;IARS1;VARS1;AARS1;KARS1;DARS1;FARSA;MARS1;YARS1;CARS2;EARS2;FARSB;MARS2;NARS2;YARS2;CARS1;EPRS1;LARS1;SARS2;TARS1;AARS2;LARS2;PARS2;RARS1;DARS2;WARS2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.666289592760181	0.727710140701319	-0.888518566632534	NA	42	UGP2;UGDH;PGM1;UAP1;NANS;MPI;GNE;GNPDA2;HK2;CMAS
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0344827586206897	0.0811872544740288	-1.39125572177215	NA	51	NEFL;NEFM;PRPH;BCL2;GRIN2A;GRIA1;CHP2;PPP3CB;NOS1;CYCS;CHP1;PRPH2;NEFH;SLC1A2;MAP2K6;TNFRSF1A;TOMM40L;PPP3CC;CAT;CASP3;CASP9;PPP3CA
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.671722643553629	0.727710140701319	-0.905452642184996	NA	60	HSPA2;KIR2DL4;KLRC1;CTSS;HLA-DOB;B2M;HLA-DOA;CD8A;CD4;HLA-DQA1;HLA-DMB;HLA-DPB1;HLA-DPA1;HLA-DRB5;LGMN;HLA-DRB1;HLA-DRA;LTA;CTSL;KLRD1;CD74;HLA-DMA;CIITA;CREB1;HLA-DQB1
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0397074190177638	0.0879235706821914	-1.34237148409249	NA	82	PRKAR2B;ENDOD1;BCL2;FAS;CHP2;PIK3CG;PRKACB;PPP3CB;CASP7;TNFSF10;AKT3;RIPK1;CAPN2;CSF2RB;CYCS;PIK3CD;CHP1;PRKACA;BIRC2;IRAK3;IL1R1;TNFRSF1A;BIRC3;CHUK;CFLAR;PPP3CC;PIK3R5;PIK3CA;MAP3K14;CASP3;CASP9;NFKBIA;PPP3CA;IL3RA;CASP10;APAF1;PIK3R1;NGF;PRKAR1A
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.151279199110122	0.24256837098692	-1.22958623241235	NA	51	HPGDS;PLA2G2C;PTGS1;GPX3;PLA2G5;GGT6;EPHX2;PLA2G10;CYP2U1;PLA2G2D;PTGIS
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.604004449388209	0.680877742946708	-0.939505928858813	NA	51	DAO;MAOB;MAOA;NOS1;OTC;GOT1;AOC1;ALDH3A2;CKMT1B;CKB;CKMT1A;GAMT;OAT;ALDH9A1;GLUD1;SAT2
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0228232942861081	0.0573666586110284	-1.41510409224485	NA	65	SGCG;CTNNA3;ITGA8;CACNA2D1;TCF7L1;SGCB;SLC8A1;SGCA;DMD;CACNB2;ITGA7;CACNA2D3;DSC2;DES;ITGB3;SGCD;LAMA2;ITGA4;TCF7L2;ITGB7;PKP2;CTNNA2;DSG2;CACNB1;ITGB1;CACNA1C;ITGA1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0041851573224078	0.0136568291573307	-1.64320382103857	NA	17	UGT1A8;UGT1A10;UGT2B17;UGDH;UGT2B15;UGT2A3;UGT1A1
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0360696517412935	0.0838619402985075	-1.43297680055423	NA	21	MS4A2;FCER1A;IL10;HLA-DOB;CD40LG;HLA-DOA;HLA-DQA1;HLA-DMB;CCL11;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DQB1;FCER1G;CD40;TNF
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.12085308056872	0.203546882670594	-1.28711430875147	NA	31	FAS;TPO;IL10;HLA-DOB;CD28;CD40LG;HLA-DOA;HLA-DQA1;HLA-DMB;HLA-DPB1;HLA-DPA1;CD86;HLA-DRB5;HLA-DRB1;HLA-DRA;FASLG;HLA-DMA;HLA-DQB1;HLA-E
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00101851640646909	0.00456476386085474	-1.51613815010561	NA	126	UNC5D;SEMA3E;EPHA7;NTN1;UNC5C;CXCL12;DPYSL5;SEMA6D;CFL2;NTNG1;EPHA5;EPHB6;SLIT3;SEMA3D;CHP2;EPHA6;SEMA6A;EPHA4;PPP3CB;EPHA3;SEMA3G;EFNA5;GNAI1;PAK3;SLIT2;KRAS;NTN4;L1CAM;LRRC4C;NFATC1;ROCK1;NCK1;CHP1;PLXNC1;ROBO3;CDC42;MAPK1;ABLIM3
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.697777777777778	0.738573710100627	-0.87743614804094	NA	50	WNT2B;WNT9A;GLI3;TCF7L1;BMP2;HHIP;APC;FZD4;WNT16;TCF7L2;FZD1;FZD8;APC2;WNT5B
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.396341463414634	0.515521064301552	1.02416748996695	NA	30	GTF2IRD1;TAF4;GTF2F2
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0012980444510063	0.00561479692760866	1.80838394822488	NA	34	POLD2;NTHL1;APEX2;POLD1;XRCC1;LIG1;NEIL3;PCNA;POLB;LIG3;FEN1;POLE2;APEX1;MUTYH;MPG
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.197236180904523	0.300704341379026	-1.22713882895901	NA	20	DPYD;ACADM;AOC3;HIBCH;HADHA;ALDH3A2;EHHADH;ALDH9A1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.712530712530713	0.748761087744139	-0.845839213665254	NA	22	HADHA;ELOVL6;HACD1;SCD5;PECR;HACD2;ACOT2;ACOX1;ACOT1;ACAA1;ACOT4;YOD1
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.440677966101695	0.54169460274891	0.994188167905859	NA	42	VEGFA;MYC;E2F1;E2F3;CDK4;CCND1
