pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	1.64183009551208e-05	0.000147764708596087	-1.56295680771766	NA	195	LIFR;CAVIN2;PDCD4;RIOK3;FABP4;SNCG;ADIPOQ;ACADS;CD36;HSPB8;SSPN;SCP2;MYLK;ITIH5;RETSAT;RNF11;ACADM;OMD;SPARCL1;GPX3;ANGPT1;CIDEA;MTARC2;CCNG2;CD302;IDH3A;ITGA7;SULT1A1;CYP4B1;PTGER3;EPHX2;SORBS1;FZD4;HIBCH;ITSN1;STOM;PGM1;DBT;LEP;MGST3;CPT2;NDUFA5;DLD;ATP1B3;GHITM;CMBL;SQOR;ENPP2;ACO2;CAVIN1;ELOVL6;CDKN2C;ACAA2;TST;GPD2;PHYH;RAB34;MGLL;ABCA1;CHUK;CHCHD10;G3BP2;HADH;ATL2;NKIRAS1;SUCLG1;BCL2L13;ACOX1;PHLDB1;CAT;SDHB;UBC;UQCR10;DECR1;TANK;PPM1B;DLAT;PPP1R15B;LPCAT3;COQ9;C3;DHRS7B;IFNGR1;CMPK1;APLP2;ADCY6
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0161355806005508	0.0427118310014579	-1.30248309609691	NA	193	ELANE;PRKCB;HDAC9;CD1D;FAS;CCL19;IL16;TLR3;CD79A;CXCL13;IRF4;KRT1;CCR2;BCL10;APBB1;GALNT1;CTSS;ST8SIA4;FLNA;FCGR2B;CD96;TLR6;MAP4K1;LY86;TRAT1;STAB1;PTPRC;NCK1;CD7;JAK2;ACHE;FYB1;WAS;IL10;HLA-DOB;HCLS1;CFP;CD28;ITGAL;CD40LG;CSF1;CCL5;CD3E;TLR1;B2M;CD3G;HLA-DOA;CD8A;CD247;ITK;IL15;CARTPT;CD4;GZMA;TPD52;GBP2;HLA-DQA1;SRGN;STAT4;LTB;IL18;EGFR;ETS1;HLA-DMB;NCF4;NLRP3;CRTAM;CCL11;CCL13;CD86;IL4R;CCL2;IFNGR1;CD3D;IL2RB;IL18RAP
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0462962962962963	0.109649122807018	-1.30834420724705	NA	99	LIFR;PLPP1;HPGD;PTPN21;GPD1L;VAPA;SLC26A2;NCOA4;SELENOP;HOMER2;SGK1;IQGAP2;GUCY1A1;AKAP12;APPBP2;FKBP5;ADAMTS1;UBE2J1;MAF;SPDEF;UAP1;KLK3;PTK2B;STEAP4;ELL2;TNFAIP8;PIAS1;B2M;TMEM50A;TMPRSS2
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.324324324324324	0.442260442260442	1.07317507517808	NA	34	VEGFA;TIMP1;JAG2;MSX1;OLR1;STC1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.00849535167143198	0.0238931765759025	-1.33290448115344	NA	188	CADM3;CADM2;CLDN8;NEGR1;CNTN1;MADCAM1;SGCE;NRAP;LIMA1;CLDN5;SPEG;CD209;JAM3;CALB2;PARVA;NEXN;ARHGEF6;GNAI1;SLIT2;FLNC;NLGN3;WASL;MYL9;NFASC;VCL;PTEN;PARD6G;CLDN11;ADAM23;ACTG2;AKT3;NECTIN3;PTPRC;FYB1;ADRA1B;VCAM1;RSU1;EVL;CLDN7;LAYN;HADH;CAP1;CD34;DLG1;NRXN2;GAMT;TSPAN4;EGFR;ITGB1;PECAM1;RHOF;SKAP2;MYL12B;SORBS3;CD86
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0206024688532687	0.0515061721331718	-1.43164698297646	NA	42	MAL;SRPX;AKAP7;NTNG1;SLC2A4;ATP8B1;EFNA5;GSTM3;CD160;GAS1;MDGA1;AFAP1L2;SCUBE1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.351814516129032	0.465636859582543	-1.06027815627149	NA	158	IGFBP6;PDCD4;GSN;FAS;CAV1;DPYD;FEZ1;RETSAT;CASP7;BMP2;GPX3;ADD1;BCL10;CYLD;BCL2L2;TGFBR3;RNASEL;TXNIP;BCL2L11;TNFSF10;DCN;CLU;ROCK1;PSEN1;NEDD9;LGALS3;NEFH;CD14;VDAC2;EMP1;CD69;BIRC3;CFLAR;HMOX1;CDKN1A;IL18;AVPR1A;GSR;CASP3;ISG20;TIMP2;CD38;RHOB;MCL1;BNIP3L;SMAD7;CASP9;CTH;ATF3;IFNGR1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	8.96643791334114e-05	0.000504362132625439	-1.63505632426524	NA	101	ABCA8;RXRG;NR3C2;ABCA6;ABCA9;BCAR3;SCP2;BMP6;PEX26;RETSAT;ABCD2;AR;HSD17B6;ABCA5;ABCD3;OPTN;EPHX2;SULT1B1;NR1H4;TTR;HSD17B11;PEX11A;RXRA;NUDT12;CYP7B1;PHYH;PECR;ABCA3;CROT;ABCA1;PEX19;ALDH1A1;TFCP2L1;SLC23A1;ATXN1;CAT;ALDH9A1;ISOC1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.642857142857143	0.757175079723108	0.939907317963067	NA	74	TRIB3;S100A11;SCD;TNFRSF12A;TMEM97;FASN;SQLE;DHCR7;NSDHL
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.656218402426694	0.757175079723108	-0.93881540922337	NA	129	P2RY1;CFD;GSN;CSRP1;CFH;F8;CPQ;GP1BA;CTSO;GNG12;CAPN2;CLU;ITGB3;CAPN5;A2M;CTSE;TF;C1QA;KLKB1;MEP1A;HMGCS2;ARF4;PECAM1;C1S;TMPRSS6;ISCU;DCT;PROS1;ANG;WDR1;CASP9;C8G;C3;PLEK;PLAT;MASP2;RGN;SERPING1;LGMN;THBD
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.000787013670241119	0.00272427808929618	-1.4508589405044	NA	196	CP;CA2;CR2;CPM;GNG2;CALM1;SCG3;CD36;CSRP1;PIK3CG;HPCAL4;CASP7;CFH;ZEB1;DOCK10;F8;CPQ;ZFPM2;CTSS;GMFB;CR1;GP1BA;CTSO;KLK1;DYRK2;KCNIP3;PPP2CB;CLU;SH2B3;PSEN1;GNB4;RBSN;JAK2;WAS;LGALS3;GNGT2;CASP5;GPD2;FCN1;LTF;CD40LG;CCL5;SPOCK2;C1QA;CD59;AKAP10;USP15;GZMA;DUSP5;RASGRP1;PIK3R5;RAF1;CALM3;KLKB1;PIK3CA;GZMK;DOCK4;CASP3;TIMP2;C1S;USP16;TMPRSS6;C1QC;APOBEC3G;ANG;FDX1;GRB2;PLA2G4A;CDA;CASP9;IRF2;BRPF3;LIPA;C3;PLEK;ITGAM;CASP10;EHD1;MT3;USP8;PLAT;SERPING1;LGMN;PRSS36
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	2.81317726012681e-08	5.93860603020656e-07	1.90337205525111	NA	148	RAE1;NELFCD;RFC3;ADRM1;POLR1C;POLR2D;POLR1D;BCAP31;CCNO;SNAPC4;TAF1C;POLR3C;RFC2;IMPDH2;RFC4;NME1;POLD1;GTF3C5;LIG1;POLR1H;ZNF707;CSTF3;UMPS;AAAS;ITPA;ALYREF;POLA2;SEC61A1;TARBP2;POLR2H;UPF3B;SSRP1;ERCC3;APRT;NCBP2;PCNA;POLA1;POLB;HPRT1
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	NA	NA	NA	NA	199	CSE1L;TBRG4;CDC25B;MYC;POLD2;AURKA;MYBL2;RFC3;MCM7;ORC6;PAICS;KIF18B;TRIP13;EZH2;NOP56;WDR90;BRCA2;PA2G4;DSCC1;LYAR;HMGA1;CDK4;ESPL1;NUP107;ILF3;KIF4A;CDCA3;HMGB3;KIF2C;SNRPB;TOP2A;EXOSC8;ATAD2;PLK1;RANBP1;DIAPH3;NOLC1;ORC2;RFC2;SUV39H1;MCM3;MCM6;UBE2S;DDX39A;CNOT9;POP7;MELK;NME1;POLD1;GINS1;MCM4;LIG1;MCM2;HELLS;RAN;CHEK2;NUP205;RACGAP1;MTHFD2;DNMT1;CKS2;PTTG1;KPNA2;BUB1B;BIRC5;PRKDC;HMMR;CHEK1;RRM2;CDC20;CDK1;CKS1B;TIMELESS;POLA2;MMS22L;UBE2T;SPC25;CDCA8;MAD2L1;PRIM2;SSRP1;PRDX4;GINS4;MRE11;AURKB;DONSON;CDKN2A;CCNE1;BRCA1;CIT;CTPS1;CCNB2;PCNA;TACC3;CENPE;PAN2;ASF1B;CDKN3;NCAPD2;GINS3;H2AX;SPC24;DLGAP5;CDC25A;MKI67;SPAG5;PNN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.296890672016048	0.432692307692308	-1.08194244369431	NA	200	SFRP1;ABI3BP;SGCG;PCOLCE2;CXCL12;EDIL3;LAMA1;FAS;ANPEP;SLIT3;CAP2;SCG2;MYLK;FUCA1;FGF2;TPM1;MFAP5;APLP1;CADM1;SGCB;SLIT2;MATN2;MYL9;FERMT2;TGFBR3;PMP22;TAGLN;TPM2;EMP3;FLNA;DCN;PTX3;DST;ITGB3;SGCD;LAMA2;CALD1;GAS1;MGP;FBLN1;FBLN5;ID2;VCAM1;ECM2;WIPF1;FBLN2;CD59
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0903614457831325	0.171310240963855	-1.19093136969566	NA	195	ENDOD1;GFRA1;CXCL12;CCN5;BCL2;MAPT;IL6ST;SNX24;HSPB8;KLF4;PGR;SLC26A2;SYNGR1;SVIL;OLFM1;TIAM1;AR;CALB2;PAPSS2;SLC22A5;NPY1R;RETREG1;FCMR;CA12;ADCY9;FKBP5;PDLIM3;RET;AFF1;SLC7A2;CBFA2T3;MINDY1;UGCG;REEP1;NRIP1;TUBB2B;KLF10;PEX11A;MPPED2;OLFML3;JAK2;DLC1;SLC24A3;TIPARP;ABCA3;P2RY2;SLC1A1;INPP5F;CLDN7;OPN3;RASGRP1;THSD4;CYP26B1
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0913654618473896	0.171310240963855	-1.18865267461605	NA	192	PRKAR2B;CA2;PDCD4;CXCL12;CCN5;BCL2;MAPT;GPER1;CAV1;UGDH;IL6ST;HSPB8;KLF4;PGR;SLC26A2;OLFM1;LARGE1;SCUBE2;HOMER2;TIAM1;PAPSS2;SLC22A5;NPY1R;SGK1;ATP2B4;CA12;FKBP5;PTGER3;TPSAB1;PDLIM3;RET;AFF1;RABEP1;NRIP1;SERPINA5;ASCL1;ST6GALNAC2
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.000273323219282209	0.00122995448676994	-1.53753954530618	NA	150	ETFDH;CA2;HPGD;PRDX6;ADH1C;CD1D;MAOA;TP53INP2;ACADS;CD36;UGDH;CA4;RETSAT;FABP2;SDHD;ACADM;SUCLG2;AOC3;SLC22A5;HADHB;CIDEA;ECI2;SERINC1;HIBCH;HSD17B11;CPT2;DLD;AQP7;MDH1;ACO2;ACAA2;GPD2;ALAD;HMGCL;FABP1;CPT1A;ACSM3;DLST;MGLL;AUH;ALDH3A2;ALDH1A1;HADH;GABARAPL1;EHHADH;ACOT2;GSTZ1;SUCLG1;S100A10;HMGCS2;ACOX1;BLVRA;PDHB;EPHX1;ALDH9A1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	NA	NA	NA	NA	196	DKC1;UBE2C;SLC7A5;TPX2;CDC25B;MYC;AURKA;MYBL2;E2F1;TROAP;ORC6;EZH2;BRCA2;E2F3;HMGA1;CDK4;BUB1;ESPL1;CCNF;CCND1;ILF3;KIF4A;EXO1;HMGB3;KIF2C;E2F4;CDC6;TOP2A;ODF2;TRAIP;PLK1;RBL1;NOLC1;TNPO2;SUV39H1;CDC45;MCM3;MCM6;UBE2S;SLC7A1;CENPA;NEK2;DDX39A;DTYMK;ORC5;KIF23;SQLE;RAD54L;DBF4;CUL4A;MCM2;SLC12A2;CENPF;RACGAP1;CKS2;PTTG1;TTK;KPNA2;SFPQ;POLQ;BIRC5;PML;HMMR;CHEK1;CDC20;CDK1;CKS1B;POLA2;TFDP1;FBXO5;STIL;RBM14;MAD2L1;PRIM2;AURKB;NCL;SMARCC1;TENT4A;CCNB2;TACC3;CENPE;KIF15;LIG3;CDKN3;CHAF1A
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	NA	NA	NA	NA	192	TGFBI;ANKZF1;SOX9;VEGFA;AURKA;CHPF;CD44;MET;PPIA;KIF20A;STC2;GNPDA1;ABCB6;NANP;CENPA;RBCK1;EFNA3;NOL3;DDIT4;NSDHL;GALK1;B3GALT6;GFUS;B4GALT7;POLR3K;AGRN;HOMER1;TALDO1;HMMR;CDK1;G6PD;CLDN9;PAXIP1;MIOX;PLOD1;ENO1;SPAG4;IDUA;ERO1A;STC1
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.560834298957126	0.701042873696408	-0.958132324451223	NA	35	UNC5C;CNTFR;SCG2;RTN1;VLDLR;L1CAM
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	7.32727898888526e-05	0.000471039363571195	-1.51797304051859	NA	181	ABCG2;SLC30A10;CA1;ENDOD1;KAT2B;CA2;TRAK2;RIOK3;NR3C1;MXI1;TENT5C;MARCHF8;FECH;CLIC2;GYPC;SNCA;NCOA4;LMO2;ATG4A;BMP2K;ACKR1;TMEM9B;SLC66A2;SIDT2;ADD1;TAL1;KLF3;ALDH6A1;MARCHF2;HBB;TNS1;OPTN;YPEL5;NEK7;ADD2;MGST3;GLRX5;NNT;DAAM1;XK;RBM38;GDE1;TRIM58;ELL2;SELENBP1;SYNJ1;CTSE;ISCA1;CAST;ALAD;NFE2L1;AGPAT4;USP15;SLC22A4;TRIM10;VEZF1;CLCN3;PC;DCAF11;BLVRA;CAT;E2F2;SLC30A1;UBAC1;BNIP3L;BPGM;SLC6A8;ARHGEF12;IGSF3;TMCC2;RNF19A;DCUN1D1;C3
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.070281124497992	0.155884074941452	-1.21894723591143	NA	192	GCNT2;CP;UGP2;CITED2;PYGM;SRPX;CCN5;B4GALNT2;NR3C1;BCL2;MXI1;NEDD4L;CAV1;MT1E;MT2A;LARGE1;PPP1R3C;PPARGC1A;FAM162A;PLAC8;LXN;KIF5A;CCNG2;CA12;AKAP12;PCK1;DTNA;KLF6;VLDLR;PGM1;STBD1;DCN;BTG1;SLC2A5;PRKCA;CAVIN1;EXT1;RORA;SELENBP1;DUSP1;TIPARP;TES;SDC2;EDN2;TPD52;HMOX1;FOSL2;CDKN1A;EGFR;ETS1;HK2;ISG20
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0773092369477912	0.158132530120482	-1.20785733110726	NA	195	SMPDL3A;SCN9A;CA2;GLIPR2;PLPP1;IL1R2;FGL2;BCL2;SHE;ITIH5;SOCS2;CD79B;IRF4;TIAM1;APLP1;BMP2;MAP6;IL10RA;AHNAK;CDC42SE2;MXD1;PTH1R;CD48;TLR7;KLF6;ETFBKMT;MYO1C;TNFSF10;SYT11;LRRC8C;TWSG1;GALM;PTGER2;PENK;PRNP;ST3GAL4;SH3BGRL2;NCS1;P2RX4;IL10;RORA;GUCY1B1;WLS;SELL;CSF1;EMP1;RHOH;IKZF2
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.152879581151832	0.254799301919721	-1.1972013908354	NA	84	IL1R2;CNTFR;FAS;CD36;IL6ST;CXCL13;LEPR;ACVRL1;STAM2;ITGB3;CSF2RB;ITGA4;EBI3;A2M;CD14;CSF1;IL1R1;TNFRSF1A;PIK3R5;PLA2G2A;HMOX1;LTB;CD38;IL4R;GRB2;IFNGR1;IL3RA
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.0953815261044177	0.171686746987952	-1.18392251656909	NA	195	SLC4A4;LPAR1;SLC28A2;TACR1;TLR3;VIP;PTGER4;KCNMB2;PCDH7;KCNA3;ATP2B1;GPR183;IL10RA;MXD1;SGMS2;CD48;ROS1;SLC7A2;KLF6;GP1BA;SRI;TNFSF10;EMP3;BDKRB1;CCR7;RNF144B;AXL;ITGB3;PSEN1;CMKLR1;SCN1B;STAB1;PTGER2;EBI3;SELENOS;P2RX4;IL10;SELL;CD14;SLC1A2;CSF1;CCL5;SLAMF1;CD69;TLR1;IL1R1;P2RY2;ABCA1;IL15;P2RX7;RASGRP1;PIK3R5;RAF1;RGS1;CDKN1A;MEP1A;CYBB;IL18;NMUR1;NLRP3;IL4R;FZD5;CALCRL;CCL2;NFKBIA;MARCO;KIF1B;IL2RB;GPC3;IL18RAP;CHST2;PTAFR;DCBLD2;C3AR1;ACVR2A;LTA;BTG2;ITGA5;HIF1A;IL18R1;PDE4B;NFKB1;SLC31A2;IL7R
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	fgsea	tcga_cancer__READ_limma	tcga_cancer__READ_limma	0.99896694214876	0.99896694214876	-0.519266507332731	NA	97	TENT5A;SAMD9;TXNIP;DDX60;RSAD2;TMEM140;SELL;CSF1;B2M;IL15;TDRD7;GBP2;IFIT2;ISG20;C1S;IL4R;IRF2
