pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.12691466083151	0.222875816993464	-1.22396019327002	NA	43	ABCG2;ABCG4;ABCA8;ABCG5;ABCG8;ABCA9;ABCB1;ABCC6;ABCC8;ABCA6;ABCC9;ABCA5;ABCC5;ABCB5;ABCD4;ABCA10
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.0860507855098998	0.16332087862083	-1.35215890995458	NA	56	ZBTB16;PIM1;BAD;MAPK3;KIT;RAF1;MAP2K2;TCF7L1;ARAF;PIM2;IKBKG;AKT2;SOS2;CCNA1;RPS6KB2;AKT3;STAT5B
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.745327102803738	0.810706673225119	-0.883444612664804	NA	73	MAPK3;CTNNA2;ACTN2;WASF2;SORBS1;TCF7L1;CTNNA3;BAIAP2;WASF3;WASF1;FGFR1;PARD3;NECTIN1;WASL;SMAD4;CDC42;NECTIN4;FER;CTNNA1;TJP1;ACTB;RHOA;VCL;ACTN1;AFDN;PTPRM;TGFBR2;CTNND1;LMO7
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.00219864717256484	0.0107617993183437	-1.75974217491936	NA	63	CD36;RXRA;ACACB;RXRG;PCK2;PRKAG2;LEP;MAPK10;NPY;TNFRSF1A;NFKBIA;PCK1;LEPR;PRKAA2;SLC2A4;RXRB;ADIPOR2;PPARA;ACSL6;SOCS3;ADIPOQ;IKBKG;AKT2;ACSL5;ACSL1;ADIPOR1;AKT3;POMC
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.519337016574586	0.60752632127593	0.955261222839343	NA	30	GAD1;PPAT;CAD;ADSL
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.00876198698809464	0.0307496147129359	-1.62125615081731	NA	37	SCNN1B;SCNN1G;MAPK3;ATP1B2;NR3C2;SGK1;ATP1A2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.34954954954955	0.457860677578987	1.05580632959439	NA	32	CD80;IFNG;CD86;GZMB
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.0168913064648985	0.0483351231149404	-1.58936881388128	NA	17	ACOX3;PLA2G1B;PLA2G2C;ACOX1;PLA2G12A;PLA2G12B;PLA2G10
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	1.29695554261381e-06	2.41233730926168e-05	-1.8706356934585	NA	158	NDUFS7;ATP5PF;CALML5;BAD;MAPK3;NDUFB7;CALM1;NOS1;NDUFV3;RYR3;NDUFA2;UQCRQ;COX7C;NDUFA4L2;NDUFB10;CALML3;CASP9;NDUFS4;MME;UQCR11;SNCA;COX7A1;NDUFA1;ATP5PO;NDUFC1;COX8A;NDUFA4;APBB1;COX5B;UQCRC2;ATP5F1D;NDUFB4;UQCR10;TNFRSF1A;COX6B1;ATP5MC2;COX4I1;NDUFS1;NDUFB1;NDUFB8;NDUFS3;NDUFA6;GRIN2A;ITPR1;COX7B;NDUFA5;ATP5PB;ATP5PD;NDUFA3;COX7A2;MT-CO1;UQCRC1;NDUFV1;SDHD;NDUFB5;UQCRHL;ATP5MC3;NDUFA8;SDHB;NDUFA10;MT-CYB;CHP2;NDUFB2;LPL;COX6A1;MAPT;CHP1;PPP3CB;ATP5MC1;ATP2A3;MT-ATP6;NDUFS8;UQCRFS1;SDHC;GNAQ;ATP5F1A;NDUFB6;MT-ATP8;MT-CO3;NDUFB3;CAPN2;CAPN1;BACE1;SDHA;UQCRB
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__STAD_DESeq2	tcga_cancer__STAD_DESeq2	0.00732052460726305	0.0272323515390185	1.63444274990332	NA	41	GARS1;WARS1;DARS2;EPRS1;IARS1;IARS2;NARS2;EARS2;KARS1;VARS1;YARS2;MARS2;LARS2;TARS1;FARSB;TARS2;VARS2;AARS1;NARS1;AARS2;LARS1;MARS1;RARS1;FARSA;CARS2;YARS1
