pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.192708333333333	0.296229338842975	-1.17167030366769	NA	43	ABCA8;ABCC8;ABCA9;ABCA6;ABCG2;ABCG4;ABCA3;ABCB1;ABCA5;ABCC5;ABCD2;ABCB5;ABCC9;ABCA10;ABCA4;ABCC6
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0656303972366149	0.135636154289004	-1.33835095776201	NA	56	KIT;ZBTB16;BAD;MAPK3;PIM1;RAF1;CCNA1;MAP2K2;TCF7L1;IKBKG;ARAF;AKT2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.948892674616695	0.979716416180505	-0.736287159088897	NA	73	MAPK3;WASF3;SORBS1;TCF7L1;CTNNA2;WASF2;ACTN2;BAIAP2;CTNNA3;SMAD4;FGFR1;CDC42;WASL;RHOA
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	7.76779704016955e-05	0.000577924099788615	-1.87321797310548	NA	63	RXRG;SLC2A4;RXRA;ACACB;PRKAG2;ADIPOQ;CD36;PRKAA2;MAPK10;LEPR;NFKBIA;NPY;TNFRSF1A;POMC;ACSL1;IKBKG;RXRB;IRS4;ACSL6;ADIPOR2;PPARA;AKT2;PPARGC1A
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.561200923787529	0.682244260290721	0.935226084706121	NA	30	PPAT;CAD;GAD1;IL4I1;ADSL;NIT2;ADSS2;GLS;GFPT1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.000666424220734541	0.00335013256909796	-1.81668929018095	NA	37	SCNN1B;ATP1A2;SCNN1G;MAPK3;ATP1B2;NR3C2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0876404494382022	0.166337995872506	1.34689967801427	NA	32	CD80;IFNG;CD86;HLA-DQA2;HLA-F;GZMB;TNF;HLA-DMB;HLA-DOA;FASLG;CD28;HLA-B;HLA-A
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0485775023200508	0.10756446942297	-1.53402124548118	NA	17	ACOX3;PLA2G2C;ACOX1;PLA2G5;PLA2G12A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	2.96671836645137e-08	7.88299451657078e-07	-1.99899381223588	NA	158	NDUFS7;ATP5PF;NDUFB7;BAD;MAPK3;NDUFV3;GRIN2A;CALM1;COX7A1;NDUFS4;NDUFB10;NOS1;COX7C;ATP5PO;UQCR11;APBB1;CASP9;ATP5F1D;COX5B;UQCRQ;NDUFC1;COX8A;UQCRC2;NDUFA1;MAPT;NDUFB4;SNCA;ATP5MC2;NDUFB8;COX4I1;ITPR1;NDUFA2;NDUFA6;UQCR10;ATP5F1A;RYR3;COX6B1;NDUFS1;COX7B;ATP5PB;NDUFA4;TNFRSF1A;NDUFB1;UQCRC1;NDUFS3;MT-CO1;ATP5PD;NDUFA3;NDUFA5;NDUFB5;SDHD;NDUFV1;NDUFS8;NDUFA10;COX7A2;CALML5;NDUFA8;UQCRFS1;ATP5MC3;MT-CYB;UQCRHL;GNAQ;SDHC;SDHB;BACE1;MT-CO3;NDUFB6;ATP5MC1;PPP3CB;NDUFB2;MT-ATP6;CAPN2;COX6A1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00237281531717743	0.00939029040414899	1.70748293534811	NA	41	GARS1;DARS2;EPRS1;IARS1;NARS2;IARS2;MARS2;VARS1;YARS2;KARS1;EARS2;WARS1;VARS2;LARS2;TARS2;TARS1;FARSB;AARS1;YARS1;NARS1;LARS1;RARS1;MARS1;FARSA
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.104347826086957	0.188433938370621	-1.28855276128171	NA	44	PMM1;CYB5R1;MPI;GCK;UGP2;CYB5R3;PGM1;NAGK;HK1;GALT;UAP1;CHIA;GNPDA2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0524475524475524	0.113831089351285	-1.37769873718307	NA	52	BAD;GRIN2A;CAT;NOS1;BCL2;CASP9;GRIA2;GRIA1;NEFL;NEFM;TNFRSF1A;CCS;PRPH;TOMM40L;RAB5A;PRPH2;SOD1;PPP3CB
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00390539767500483	0.0140647115729142	1.64823703218467	NA	63	HSP90AA1;IFI30;HSP90AB1;TAP2;PDIA3;PSME3;CTSB;NFYA;TAP1;CTSS;CANX;CREB1;HSPA5;CTSL;HLA-DQA2;HSPA6;TAPBP;HLA-F;HSPA4;LTA;CD4;NFYB;HLA-DMB;HLA-DOA;KLRD1;KLRC2;KIR3DL2;CIITA;KIR2DS4;HLA-B
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.923255813953488	0.964375908777837	0.783679827956933	NA	83	TNFRSF10B;BID;TRAF2;CASP8;TNFRSF10A;APAF1;PRKX;PIK3CB;DFFB;CHUK;IRAK2
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	4.96018833988819e-05	0.000384414596341335	-1.91363008015102	NA	52	GPX3;LTC4S;CBR1;PTGS1;HPGDS;EPHX2;PLA2G2C;PTGDS;CYP2U1;PLA2G5;PTGIS;PLA2G12A;CYP2E1;CBR3;PLA2G1B;GPX4;GGT6;ALOX12;AKR1C3;GGT7
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00294760698117163	0.01142197705204	-1.63752898973088	NA	52	GAMT;CKMT2;CKB;SAT2;MAOB;MAOA;ALDH3A2;GLUL;NOS1;ALDH2;OAT;ALDH9A1;GOT1;CKM;ALDH4A1;ARG2
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.301393728222997	0.421497995860732	-1.07728496399696	NA	70	SGCA;SGCG;ITGA8;CACNA2D3;DES;DMD;CACNA2D2;TCF7L1;CTNNA2;ITGA9;LAMA2;ACTN2;RYR2;EMD;ITGA7;CACNB2
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0137011244565861	0.0403150856709856	-1.58971320669623	NA	22	ALDH3A2;ALDH2;ALDH9A1;UGT1A5;UGT1A4;ALDH7A1;UGT1A8;UGT1A7;UGT1A10;UGT1A1;UGT2B11;UGT1A6;UGT2B17;UGT1A3
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.275862068965517	0.400577683186379	-1.14236269439331	NA	20	FCER1A;MS4A2
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.390455531453362	0.526266151089314	1.02816577967889	NA	33	CD80;CTLA4;CD86;HLA-DQA2;HLA-F;GZMB;HLA-DMB;HLA-DOA;FASLG;CD28;HLA-B;HLA-A
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.284280936454849	0.400577683186379	-1.08674054169778	NA	128	NTN1;MAPK3;PAK5;GNAI1;UNC5D;CXCL12;EPHA6;SEMA6C;NCK2;SLIT2;SLIT3;CFL2;EPHA7;SEMA3G;EPHB6;SEMA6D;SEMA3D;SEMA3E;PAK3;L1CAM;NTNG1;PLXNB3;NFATC4;SRGAP3;PLXNA2;NTN4;PPP3CB;EPHA5;ABLIM1;CDC42;ABLIM3;SEMA3F;EFNB3;CHP1;RHOA;SEMA6A;RHOD;ABL1;EPHA4;SEMA4A;DCC
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.968858131487889	0.990151716795315	-0.68930113296739	NA	53	WNT6;TCF7L1;WNT5B;WNT10B;WNT9A;FZD9;SMO;GLI3;FZD10;SUFU;WNT2B;FZD7;APC2
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.28310502283105	0.400577683186379	1.11727349163764	NA	31	GTF2E1;TAF2;TAF4;GTF2H3;TAF5;TAF5L;TAF11;TAF4B;TBPL1;GTF2F2;TAF1;GTF2E2;TAF7L
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.000839750471999752	0.00400496378953728	1.79857519774588	NA	34	POLE2;PCNA;FEN1;LIG1;NEIL3;PARP1;POLE;POLD3;POLD1;TDG;POLE3;POLB
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.0272876779345673	0.0704931679976321	-1.54374960272386	NA	20	ACADM;ABAT;ALDH3A2;ALDH2;MLYCD;HADHA;AOC3;ALDH9A1;DPYD
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00961127748074834	0.031086700928559	-1.6350725721663	NA	22	ACOX3;ACOT1;ACAA1;ACOT2;HACD1;HADHA;ACOX1
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.377622377622378	0.516454134101193	1.04244940292073	NA	42	E2F3;E2F1;CXCL8;MMP9;PGF;MMP1;MDM2;NRAS;TYMP;CCND1;E2F2;VEGFA;CDKN2A;CDK4
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00020121196272922	0.00129053189888396	-1.8892584420629	NA	31	HADH;BDH2;ABAT;ALDH3A2;PDHB;ALDH2;ACAT1;HADHA;HMGCL;ACSM5;AKR1B10;ALDH9A1;ACADS
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.916524701873935	0.964375908777837	-0.774472939848092	NA	73	MAPK3;RAF1;JUN;NFKBIA;MAP2K2;FOS;IKBKG;AKT2;PRKCB;SOS2;NFATC4;PPP3CB;AKT1
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	2.41171558903489e-07	3.45060845815762e-06	-1.91102208133463	NA	163	ADRB2;SLC25A4;PLCD1;TACR1;P2RX2;HTR4;CAMK2B;HTR7;GRIN2A;CCKBR;CALM1;PLCD4;AGTR1;PDE1C;ADRA1A;NOS1;PLN;BDKRB1;ADRB3;PRKACA;SLC25A6;ATP2B2;VDAC2;PTGER3;PDE1B;ADCY2;TACR2;CYSLTR1;ITPR1;SLC8A3;RYR3;SLC8A2;ERBB4;CCKAR;GNAL;CHRM2;PDE1A;GNA11;PHKB;P2RX1;CHRM3;RYR2;CHRM1;ATP2B3;PRKACB;MYLK;CACNA1G;ITPKB;ADCY9;CALML5;P2RX6;CAMK2G;PRKCB;CACNA1H;HRH2;GNAQ;TRPC1;PPP3CB;BDKRB2;ADRA1D;CALML3;CAMK2D;ATP2B4;CAMK2A;ADRA1B;CHP1;PDGFRA;RYR1;SLC25A5;HTR2B;PTGER1;EDNRB;PLCE1;GRPR;TBXA2R
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.000428143097834314	0.00227527474849093	-1.80788673388616	NA	67	ATP1A2;ATP1B2;CACNA2D3;COX7A1;COX7C;UQCR11;COX5B;UQCRQ;COX8A;MYL3;UQCRC2;CACNA2D2;COX4I1;UQCR10;COX6B1;COX7B;UQCRC1;RYR2;MT-CO1;TPM1;TPM2;COX7A2;UQCRFS1;ACTC1;MT-CYB;CACNB2;UQCRHL
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.425925925925926	0.554441823899371	-1.01325387638944	NA	129	CADM3;NCAM1;MPZ;NRXN1;CLDN5;JAM2;NLGN1;NEGR1;CNTN1;ITGA8;CLDN10;CD99;NLGN4X;NFASC;ITGA9;JAM3;CNTN2;CLDN17;L1CAM;CLDN11;CADM1;SELP;NLGN3;NRXN3
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	5.06403373789398e-16	8.37300243376993e-14	2.47450091715991	NA	122	E2F3;DBF4;BUB1;CDC25B;ORC6;CDC7;CDK1;BUB1B;CHEK1;RBL1;MAD2L1;CCNB2;E2F1;MCM6;CDK2;MCM3;TTK;PLK1;PCNA;CDC6;MCM4;CHEK2;PRKDC;ATR;MCM7;CDC45;CCNB1;PKMYT1;RAD21;ORC1;CCNA2;CCNE1;BUB3;MCM2;CDC25C;CDC25A;CDC20;SKP2;CCNE2;ANAPC1;ORC2;CDK6;CDC27;PTTG1;SMC3;TFDP1;E2F5;MDM2;SMC1A
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.928082191780822	0.964375908777837	-0.822483508625773	NA	176	GNG7;MAPK3;RAF1;RAP1A;GNAI1;ADCY5;CXCL12;PRKACA;GNG12;NFKBIA;ADCY2;ARRB1;CCR10;GRK4;CCL21;CCL23;GNG4;CXCL14;IKBKG;PRKACB;ADCY9;AKT2;TIAM1;RASGRP2;PRKCB;XCR1;GNG11;SOS2
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.587112171837709	0.697223661353732	0.937410431774234	NA	72	E2F3;RUNX1;E2F1;CDK6;MDM2;NRAS;PIK3CB;HDAC2;CHUK;CCND1;PTPN11;E2F2;CDKN2A;BCL2L1;CDK4;HDAC1;CBLC
KEGG_CIRCADIAN_RHYTHM_MAMMAL	KEGG_CIRCADIAN_RHYTHM_MAMMAL	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.00635574929097724	0.0214939885113049	-1.71469905984429	NA	12	PER1;CRY2;PER3;PER2
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.000533110418116035	0.00275440382693285	-1.8465228371678	NA	30	ACO2;PDHB;ACO1;SUCLG2;SUCLG1;MDH1;OGDH;PC;DLST;SDHD;IDH3G;SDHC;SDHB;SUCLG2P2;SUCLA2;IDH2;SDHA;OGDHL
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	c2_kegg	fgsea	tcga_cancer__STAD_limma	tcga_cancer__STAD_limma	0.190721649484536	0.295618556701031	-1.17346217797721	NA	61	BAD;MAPK3;RAF1;MAPK10;JUN;BCL2;CASP9;TCF7L1;FOS;ARAF;AKT2;SMAD4;AKT1;MLH1;RHOA;APC2
