pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.406562054208274	0.586205752579372	1.04676787515042	NA	40	ABCC3;ABCC11;ABCB9;ABCG4;ABCA12;ABCC6;ABCA4;ABCA1;ABCG2;CFTR;ABCC10
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.431578947368421	0.616083179784154	1.0278321620672	NA	56	CCND1;RARA;RUNX1;CCNA1;PML
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00379909334512883	0.0388136631340358	1.55691208338398	NA	72	NECTIN4;MET;TGFBR1;FYN;INSR;SRC;ACTN4;ACTN1;CTNNA1;BAIAP2;ERBB2;NECTIN1;CTNNB1;PTPRF;IQGAP1;CSNK2A2;WASF1;MAPK1;RAC1;NECTIN2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.378600823045267	0.551682692307692	-1.03464779125312	NA	61	PRKCQ;ACACB;PPARGC1A;IRS1;ADIPOR2;IRS4;ACSL6;RXRB;NFKBIA;PRKAG2;POMC;RXRA;PRKAB2;JAK2;ACSL1;AKT2;CD36;PRKAA2;IKBKB;CPT1A;PPARA;MAPK8
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.610223642172524	0.77211971050401	-0.923680689998322	NA	27	GLUL;ALDH4A1;ASPA
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.549488054607508	0.722362383042969	-0.945104535478586	NA	33	IRS1;PRKCA;HSD11B2;IRS4;SCNN1B
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.990084985835694	1	0.538607355956039	NA	31	HLA-G;FAS
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00322168839969599	0.0352490613143209	1.67338638342974	NA	16	PLA2G12B;PLA2G10;ACOX1;PLA2G2C;PLA2G2E;PLA2G5;ACOX3;PLA2G2A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0812720848056537	0.236196996466431	1.24013883756159	NA	151	BID;NAE1;LPL;TNFRSF1A;CALM2;PLCB3;PPP3CB;ITPR2;GSK3B;GRIN1;NDUFA4L2;GAPDH;FAS;CACNA1C;MAPK1;ITPR3;COX4I2;CAPN2;BACE1;CASP3;GNAQ;NCSTN;PSEN1;CAPN1;PPP3CA;IDE;APOE;NDUFS5;PPP3R1;APH1A;MT-CO2;MT-CO1;CASP7;CHP1;PLCB4;CDK5;CALM1;MT-ATP6;MT-CO3;BACE2;NDUFS8
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.238231098430813	0.406522791817718	1.16071365690619	NA	40	GARS1;VARS1;YARS1;HARS2;HARS1;SARS1;YARS2;NARS1;CARS2;RARS1;TARS2;RARS2;WARS1;EPRS1;KARS1;IARS2;PARS2;FARSA;MARS1;QARS1;TARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.307365439093484	0.484491285350747	1.11345356467365	NA	44	GALE;GFUS;GNPDA1;HK2;HEXB;UXS1;CMAS;HEXA;CHIT1;UAP1;RENBP;FCSK;HK3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.166204986149584	0.343490304709141	1.23835845028804	NA	49	MAPK13;BID;BCL2L1;TNFRSF1A;BAX;PPP3CB;DERL1;GPX1;MAP3K5;PRPH;GRIN1;TP53;RAC1;GRIA2;CASP3;PPP3CA;MAPK14;PPP3R1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.134453781512605	0.307072209414739	-1.19650824670649	NA	60	RFXAP;HSPA2;LGMN;HSPA6;HSPA1A;CANX;HSPA1L;KIR3DL2;KLRD1;NFYB;CALR;HSPA1B;CD8A
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.000687894621721013	0.0159935499550136	1.66602637772027	NA	81	TNFRSF10C;TNFRSF10B;IL1RAP;ENDOD1;BID;BCL2L1;PRKAR1B;TNFRSF1A;IRAK2;BAX;PRKACA;PPP3CB;TNFRSF10A;CASP6;CASP10;RELA;TP53;PRKAR1A;FAS;CAPN2;MYD88;CASP3;CAPN1;PPP3CA
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.000223418032649629	0.00831115081456619	1.80829364057216	NA	44	PLA2G12B;ALOX15B;GGT6;HPGDS;PLA2G10;ALOX12B;ALOX5;PLA2G2C;PLA2G2E;GPX1;GPX4;CBR3;PLA2G5;LTA4H;CYP2J2;AKR1C3;PLA2G2A
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.151079136690647	0.326752551447214	-1.20425652186533	NA	48	NOS1;GLUL;ALDH1B1;ALDH7A1;CKM;ALDH4A1;AMD1;CKB;OAT;ALDH2
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0318471337579618	0.128773193021324	1.42479396801829	NA	66	ITGA3;ITGA2;CACNG4;CACNB1;ITGB4;ACTN4;ITGA7;ITGB5;ACTN1;ITGA6;CTNNA1;CDH2;SGCB;DMD;DSC2;CTNNB1;PKP2;CACNB3;CACNA1C;DSP;DAG1;ITGB6;ITGA11;DSG2;ITGAV
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.045445691099711	0.162555741241274	-1.5171454897339	NA	8	UGT2B11;ALDH1B1;ALDH7A1;MIOX;ALDH2
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.948377581120944	1	0.642401486674194	NA	19	MS4A2;CD40;FCER1A
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	1	1	-0.55180111941242	NA	33	TG;CD40LG;TPO;TSHR;CD28;PRF1
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00811787379569473	0.0502701010753582	1.44726511212623	NA	120	NGEF;EPHB3;MET;UNC5B;SEMA4C;PLXNA3;SEMA3F;SLIT1;LIMK1;FYN;PLXNB2;NCK2;PLXNC1;EFNB1;SRGAP2;NFATC4;PPP3CB;SEMA4F;EFNB2;EFNA3;RGS3;RASA1;GNAI2;PLXNB1;GSK3B;EPHA4;SEMA6B;EFNA4;PLXNA1;SEMA3E;MAPK1;RAC1;SEMA5A;PAK2;PTK2;RHOD;PPP3CA;EFNB3;SRGAP3;NRP1;PPP3R1;PLXNA2;ITGB1;CFL1;SEMA5B;HRAS;CHP1;EPHA2;SEMA6C
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.556473829201102	0.723805120499335	0.952078204551435	NA	51	WNT3;DVL1;WNT7A;AXIN1;WNT10A;CTNNB1;GSK3B;WNT9B;TP53;WNT5A;SUFU;WNT7B;FZD6;SHH;DVL2;DVL3;WNT5B;FZD1
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.873333333333333	0.990487804878049	-0.780650942068359	NA	30	GTF2H1;TBPL1;GTF2E1;TAF4B;TAF5;TAF10;TAF2;TBP;TAF6L;GTF2H2
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0294755533661769	0.124601202866111	1.48641612657019	NA	34	PARP4;POLE2;XRCC1;MPG;PCNA;APEX2;OGG1;APEX1;POLE3;POLE;POLD1;MBD4;LIG1;HMGB1;SMUG1
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.127272727272727	0.296138211382114	-1.32833837821102	NA	18	ALDH1B1;ALDH7A1;ACADM;ALDH2;MLYCD;EHHADH;ALDH9A1;AOC2;SMS
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00564729889844396	0.042015903804423	1.65338703708288	NA	21	HACD1;ACOX1;ELOVL6;ACOT7;ACAA1;SCD;PECR;SCD5;ACOX3;ELOVL2;ACOT4
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0654338549075391	0.199519623160693	1.35829177187437	NA	42	CCND1;MDM2;CDKN2A;E2F1;MMP1;DAPK2;ERBB2;FGFR3;TP53;CXCL8;MAPK1;CDKN1A;E2F3;MAP2K1;EGFR;HRAS
