pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.184859154929577	0.527375818981861	1.2594341017982	NA	7	HMGA1;BANF1;XRCC5;XRCC4;XRCC6
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.810035842293907	0.96014356239554	0.731426848503886	NA	6	ABCG2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.456441717791411	0.772743966886518	0.996046414683455	NA	87	ABCC3;ABCC11;ABCB9;ABCG4;ERLIN1;ABCA12;ABCC6;DERL1;ABCA4;PEX19;PSMB2;CFTR;ABCC10;PSMC6;EIF2S2;PSMD14;PSMD8;PSMD1;PSMD12;ABCD3;VCP;PSMA5;PSMB4;ABCG1;PSMD2;ADRM1;PSMA3;PSMC3;PSMC4;PSMB1;PSMC2;KCNJ11;PSMD3;PSMB6;PSMB3;ABCA2;PSMC5
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.42090395480226	0.74879023448237	-1.02704359747319	NA	16	ABCA9;ABCA10;ABCA6
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.200524246395806	0.549512174874275	1.18250285418713	NA	63	ERLIN1;ABCA12;ABCC6;DERL1;LMBRD1;ABCA1;PSMB2;CFTR;PSMC6;PSMD14;PSMD8;ABCD4;PSMD1;PSMD12;VCP;PSMA5;PSMB4;PSMD2;ADRM1;PSMA3;PSMC3;PSMC4;PSMB1;PSMC2;KCNJ11;PSMD3;PSMB6;PSMB3;PSMC5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.738738738738739	0.912529102135844	-0.838766768929303	NA	20	ANAPC15;CDC27;ANAPC2;UBE2S;ANAPC16
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0424886191198786	0.335145654851419	1.49470339874947	NA	17	CCND1;CCND2;E2F1;CCND3;CDK2;CDKN1A;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.21580547112462	0.568266203155998	1.19364625744863	NA	22	NELFA;SUPT5H;NCBP2;POLR2D;NELFB;GTF2F2;POLR2I;POLR2C;POLR2E
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.957410562180579	1	0.564836912802023	NA	8	CHRNB4;CHRNA6;CHRNE
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.752260397830018	0.9201850068032	0.789264533298714	NA	5	KCNN2;KCNMB1
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.146604938271605	0.472304187581965	1.27655640879128	NA	16	SYT1;SLC18A3;SNAP25;CHAT;PPFIA4;PPFIA1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.663230240549828	0.875185291168153	0.849909801475339	NA	10	PLCB3;CHRM3;GNAQ
