pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.916897506925208	0.996149152181648	0.74298181738913	NA	55	ELK1;MYO1C;SLC18A3;MYBBP1A;FRMPD2;CHAT;VSTM4;PCNA;HSF1;SIRT6
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0419630553766595	0.281307889747236	-1.39717717816655	NA	52	SHLD2;PPARG;BMP2;LDB3;SH2D4B;RSPH4A;ACTN2;AFG3L2;ERBB4;SIRT4;ZMYND11;BMPR1A;NRG3;CCSER2;MAT1A;RSPH6A;VEGFA;RSPH1;STAG1;GPR15;ROPN1L
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.141863699582754	0.473751469086318	1.24915209371803	NA	51	B3GNT7;ITGA3;TIMP1;CD151;IGSF8;SLC35C1;CHST6;CD63;ITGA6
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.54093567251462	0.821027277506755	0.942857588769648	NA	30	RTN4R;SGCB;DMD;LINGO1;MAG;RAC1;DAG1
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.786802030456853	0.950675350552005	0.758604554070531	NA	9	CYFIP1;FMR1
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.206293706293706	0.562488047427806	-1.15844132903318	NA	53	NSMCE3;MYZAP;GOLGA8R;EID3;GOLGA8K;GOLGA8H;SPEF1;GOLGA8O;FAN1;GOLGA8Q;KLF13;GJA1;CANX;CHRNA7;TRPM3;OTUD7A;CCL5;GJD3;APBA2;SIN3A;CREBBP;MTMR10
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.811111111111111	0.960805700988947	-0.774483585985884	NA	18	GOLGA8R;GOLGA8H;GOLGA8O;FAN1;GOLGA8Q;KLF13;CHRNA7;OTUD7A;CCL5;CREBBP;MTMR10;CHRFAM7A
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.366477272727273	0.728915753342165	1.06691071554469	NA	41	RYR1;BNC1;HTT;SLC2A1;DNM3;AP3B2;AP3S1;BTBD1;SEC11A;NMB;SH3GL3
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.933753943217666	0.99627840714302	-0.721331622747389	NA	29	MPL;SLN;NFATC2;CD19;JAK2;CR2;RABGEF1;PLN;ATP2A1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0325945241199478	0.254293485590972	1.38850240948357	NA	69	SEZ6L2;ASPHD1;MSN;MVP;PARP4;CCT8;IGBP1;PPP4C;PPP2R1A;IGFBP3;TP53;KIF22;PPP4R1;CCT6A;TAOK2;PCNA;KCTD13;CCT3;CCT7;TMEM219;ESR1;YPEL3;CDIPT
