pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.127622377622378	0.495284548938573	1.34799679670825	NA	6	MTHFD1L
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.601018675721562	0.861050734129035	0.923730702998363	NA	9	ISCU;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.753581661891118	0.926280268079534	-0.791761930352298	NA	16	OGDHL;OGDH;L2HGDH;PHYH;DLD;D2HGDH;ADHFE1;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.638109305760709	0.880411453791532	0.87862898954182	NA	22	PLEKHN1;UPF1;ZFP36L1;MOV10
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.6602658788774	0.889749467716252	0.862948995878799	NA	22	YBX3;ELAVL1;HNRNPC;MYD88;MAPK14;MAPKAPK2;RBM10
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.931818181818182	0.997122368365165	0.577179392829623	NA	6	GTF3C6;GTF3C2;GTF3C3;GTF3C5
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.58955223880597	0.854435509037643	-0.897247645383552	NA	10	SNRPD3
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.905821917808219	0.989938833285177	0.653847556374461	NA	8	CMTR2;RAMACL;RAMAC;RNMT;NCBP3;NCBP1;RNGTT;CMTR1
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.16958041958042	0.544458042419813	1.28543243619531	NA	6	SLC22A4;SLC18A3
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.90034965034965	0.988134163621317	0.64390817647912	NA	6	CHAT;BCHE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.834862385321101	0.958266182275984	-0.784509088417979	NA	23	ACSS1;MLYCD;PGK1;SIRT4;PDPR;ACAT1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.101754385964912	0.450486073431	-1.27179277092654	NA	42	ACACB;HMGCS2;ACSS1;AASS;HMGCS1;NUDT7;MLYCD;PGK1;GCDH;SIRT4;HMGCR;PDPR;ACAT1
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.545572916666667	0.829894069164637	0.961603569098942	NA	64	ADORA1;SLC12A2;KCNK1;ARL6IP5;SLC6A1;PIANP;SLC1A5;GIPC1;LRRC8A;UCP2;PRAF2;SLC6A6
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.857962697274032	0.967201576576577	0.753642484644838	NA	30	CLDN2;NMU;TRPC4;HIP1R
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.456834532374101	0.786441702667168	1.05202656128038	NA	5	HYAL3;UNC13B;ZP3
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.794478527607362	0.942483073755211	-0.819132400053192	NA	25	DCAF17;TBPL1;CEP78;SLC9A8;CCDC136;PLN;PAFAH1B1;CFAP65;MFSD14A;ACRBP;MYCBPAP;CEP70
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.185667752442997	0.56648872642767	-1.17892395180911	NA	29	FER1L5;IFTAP;PKDREJ;STX2;CCDC87;ROPN1B;AKAP3;PLB1;PCSK4;CACNA1H
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.05	0.344583751253761	1.45423442902989	NA	14	EPS8;BAIAP2;DPYSL3;FLNA;GAS2L2;GAS2L3
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.423728813559322	0.767575288554605	1.02002483762058	NA	126	HCN4;KCNJ2;ADORA1;SCN1B;MYH10;MYO6;EMP2;ACTN4;CAMK2D;MYO1C;GJC1;DSC2;FLNA;NOS1AP;GJA5;MYO1D;MYO1B;PKP2;GSN;CACNA1C;DSP;TNNI3;SLC9A1;KCNN2;MYH14;DSG2;SCN8A;MYO1G;LUZP1;MYL6B;SCN2B
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.140916808149406	0.514830395084722	1.29158180201066	NA	9	ACTN4;MYO1C
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00202734649384535	0.0671090127938745	1.48250918492423	NA	168	EPS8;FHOD1;SDC4;ESPN;LIMK1;TGFBR1;SRC;TACSTD2;SHROOM1;CX3CL1;ITGB5;ACTN1;BAIAP2;SYNPO;ARAP1;DPYSL3;RAPGEF3;AMOT;INPP5K;RFLNA;OAZ3;PDLIM1;F11R;FLNA;CD47;MYO1B;CORO1B;ITGB1BP1;RHOC;PXN;PHLDB2;MTSS1;RAC1;PLS3;RHPN1;S100A10;PAK2;KCTD13;SLC9A1;ADD1;ARHGEF15;TNFAIP1;RHOD;PPFIA1;SHROOM2;DLC1;NRP1;LUZP1;BAG4;SPIRE1;LIMA1;ITGB1;CFL1;ARHGEF18
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.289156626506024	0.664253687857784	1.10640987081984	NA	56	EPS8;SPTBN2;FLII;PPP1R9B;MICAL2;CAPZA1;SPTAN1;TMOD3;TWF1;GSN;SEMA5A;ADD1;F2RL1;CAPG;SPTB;LIMA1;CFL1
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	c5_go_bp	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.9671875	1	0.583772162772978	NA	14	ACTN1;PLS3;SPIRE1
