pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.650822669104205	0.756581352833638	-0.895730389942427	NA	40	ABCA9;ABCC4;ABCA6;ABCA10;ABCB10;ABCC2;ABCA8;ABCC8;ABCB6;ABCC9
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.476495726495726	0.611229000884173	0.976602393782429	NA	56	CCND1;RARA;RUNX1;PML;RELA;CCNA1;MAPK1;HRAS;MAP2K1;EIF4EBP1;STAT5A;LEF1;STAT5B
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0038201418429834	0.0314589144696188	1.55912587631518	NA	72	MET;INSR;FYN;SRC;NECTIN4;TGFBR1;ACTN4;ACTN1;CTNNA1;BAIAP2;NECTIN1;CTNNB1;ERBB2;CSNK2A2;PTPRF;IQGAP1;RAC1;NECTIN2;WASF1;MAPK1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0688405797101449	0.197563261480787	-1.29221845841654	NA	61	PRKCQ;ACACB;PPARGC1A;ACSL6;IRS1;ADIPOR2;IRS4;CD36;POMC;RXRB;PRKAG2;ADIPOQ;NFKBIA;ACSL1;PRKAB2;RXRA;PRKAA2;JAK2;PCK1;MAPK10;CPT1A;MAPK8;IKBKB;PPARA;AKT2;SLC2A4
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.177949709864603	0.355261404521832	-1.21405895241215	NA	27	GLUL;ALDH4A1;ASPA;GFPT2;CPS1;GPT2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.273244781783681	0.455148833467417	-1.12020348514367	NA	33	PRKCA;SCNN1B;IRS1;HSD11B2;IRS4
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.588110403397028	0.69934622183563	0.902440295862903	NA	31	FAS;HLA-G;CD40;HLA-B;HLA-A;HLA-DQB1;HLA-DMB;HLA-C;CD86;HLA-DRB1;HLA-DQA1;HLA-DOB;HLA-DRA;HLA-DPB1;HLA-DRB5;HLA-DPA1;HLA-F;HLA-DOA;HLA-DQA2;HLA-DMA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0532544378698225	0.162382384324377	1.494838945149	NA	16	ACOX1;PLA2G12B;PLA2G2E;PLA2G2C;ACOX3
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0120192151366241	0.0573224106515919	1.38452781762543	NA	151	BID;NAE1;TNFRSF1A;LPL;PLCB3;CALM2;PPP3CB;ITPR2;FAS;GSK3B;GAPDH;CASP3;NDUFA4L2;APOE;GRIN1;NDUFS5;MAPK1;GNAQ;COX4I2;PSEN1;NCSTN;PPP3R1;CAPN2;BACE1;CAPN1;PPP3CA;IDE;CACNA1C;ITPR3;CASP7;NDUFS8;CDK5;APH1A
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.140659340659341	0.307795733678087	1.23966486346798	NA	40	GARS1;YARS1;VARS1;HARS2;HARS1;YARS2;SARS1;CARS2;NARS1;RARS1;RARS2;WARS1;TARS2;KARS1;FARSA;PARS2;EPRS1;QARS1;MARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.239035087719298	0.435887512899897	1.13137829431065	NA	44	GALE;GFUS;GNPDA1;HK2;HEXB;UXS1;CMAS;HEXA;RENBP;HK3;FCSK;GALK1;UAP1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.0672268907563025	0.197563261480787	1.35603168457046	NA	49	MAPK13;BID;TNFRSF1A;BAX;BCL2L1;GPX1;PPP3CB;TP53;DERL1;CASP3;RAC1;MAP3K5;GRIN1;PPP3R1;TNFRSF1B;PPP3CA;MAPK14
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.987364620938628	1	-0.677805612674008	NA	60	RFXAP;LGMN;HSPA2;CANX;CALR;HSPA1L;HSPA5;NFYB;CD8A;HSPA1A;KLRD1
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	6.29793952628185e-06	0.000234283350377685	1.93379874376168	NA	81	TNFRSF10C;TNFRSF10B;BID;ENDOD1;TNFRSF1A;PRKAR1B;BAX;BCL2L1;IRAK2;IL1RAP;PRKACA;PPP3CB;CASP10;TP53;TNFRSF10A;FAS;RELA;CASP6;CASP3;PRKAR1A;MYD88
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.00398029813148855	0.0314589144696188	1.62013220453338	NA	44	GPX1;ALOX15B;PLA2G12B;GPX4;HPGDS;PLA2G2E;PLA2G2C;GGT6;LTA4H;ALOX5;CBR3;ALOX12B;CYP2J2;PLA2G10;TBXAS1
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.170411985018727	0.352184769038702	-1.18351282709042	NA	48	GLUL;ALDH1B1;ALDH4A1;NOS1;ALDH7A1;ALDH2;AMD1;GATM;CKB;OAT;CPS1;MAOB
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.119733924611973	0.274793166433867	1.2476272890216	NA	66	ITGA3;CACNB1;ITGA2;ACTN4;ACTN1;ITGA6;CTNNA1;ITGB5;ITGB4;ITGA7;SGCB;CTNNB1;CDH2;CACNG4;CACNB3;DMD;DSC2;DAG1;DSP;LMNA;CACNA1C;PKP2;ITGB6;ACTG1;DSG2;ITGAV;LEF1;ITGA10
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.018175288014437	0.0719277355464952	-1.57283834390773	NA	8	MIOX;UGT2B11;ALDH1B1;ALDH7A1;ALDH2
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.368316831683168	0.523765903307888	1.04824479279008	NA	19	FCER1G;MS4A2;CD40;HLA-DQB1;HLA-DMB;FCER1A;HLA-DRB1;HLA-DQA1;HLA-DOB;HLA-DRA;HLA-DPB1;HLA-DRB5;HLA-DPA1;HLA-DOA;HLA-DQA2;HLA-DMA
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.990512333965844	1	-0.596952149966806	NA	33	TPO;TG;CD40LG;TSHR
