pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.274900398406374	0.573957185497416	1.19653472920478	NA	7	HMGA1;BANF1;XRCC5;XRCC4
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.644	0.840353115727003	-0.850094769441971	NA	6	SLC22A3;PCK1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.388157894736842	0.674508284728804	1.02244268098038	NA	87	ABCC3;ABCB9;ABCG4;ERLIN1;DERL1;PSMB2;ABCC6;PEX19;ABCC11;ABCA12;EIF2S2;ABCC10;PSMD8;ABCA4;PSMC6;PSMD14;PSMA5;ABCG1;PSMD1;PSMD12;ADRM1;VCP;PSMB4;PSMB3;ABCD3;PSMC3;PSMB1;PSMA3;PSMC4;PSMB6;PSMD2;PSMD13;PSMD3;PSMC5;PSMC2;PSMA7;KCNJ11
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.301181102362205	0.598517826235882	-1.12433936463013	NA	16	ABCA9;ABCA6;ABCA10;APOA1
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.103157894736842	0.35817981457969	1.28022086160229	NA	63	ERLIN1;DERL1;PSMB2;LMBRD1;ABCC6;ABCA1;ABCA12;PSMD8;PSMC6;PSMD14;PSMA5;PSMD1;ABCD4;PSMD12;ADRM1;VCP;PSMB4;PSMB3;PSMC3;PSMB1;PSMA3;PSMC4;PSMB6;PSMD2;PSMD13;PSMD3;PSMC5;PSMC2;PSMA7;KCNJ11;PSMD6;PSMA4;PSMB5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.967432950191571	1	-0.610945116330481	NA	20	ANAPC15;CDC27;ANAPC2;ANAPC16
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.00897843030017229	0.0840056324361865	1.59549627094886	NA	17	CCND1;CCND2;E2F1;CCND3;CDKN1A;CDK2;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.137295081967213	0.420478087649402	1.27085097280039	NA	22	NELFA;SUPT5H;NCBP2;POLR2D;NELFB;POLR2I;GTF2F2;POLR2E;POLR2C;POLR2L;POLR2J;POLR2H
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.390196078431373	0.675214406186354	-1.06896266877895	NA	8	CHRNA4;CHRNA7
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.837675350701403	0.958043525282034	0.687439840557795	NA	5	KCNN2;KCNMB1
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__THCA_limma	tcga_cancer__THCA_limma	0.789370078740158	0.928143027074824	-0.775238468061366	NA	16	SLC5A7;TSPOAP1
