pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.147308781869688	0.326183731282881	-1.25157740628298	NA	44	ABCA8;ABCC9;ABCG2;ABCA9;ABCA6;ABCB1;ABCD2;ABCC8
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.662721893491124	0.785135491651905	-0.911859680363063	NA	56	STAT5B;AKT3;RUNX1T1;ZBTB16;MYC;TCF7L2;SOS2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.187301587301587	0.377581120943953	-1.15220188776717	NA	73	SORBS1;SNAI2;CTNNA3;SMAD4;WASF2;INSR;TGFBR2;VCL;ACTN1;FER;WASF3;TCF7L2;TGFBR1;PTPRB;WASL;TJP1;FYN;SMAD3;IQGAP1;EGFR
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.432748538011696	0.609782030834662	-1.02374988477424	NA	61	AKT3;LEPR;SLC2A4;ACACB;IRS1;MAPK10;JAK2;CAMKK2;PRKAB2;PRKAA1;CD36;RXRB
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.26865671641791	0.463594421169857	1.13636939588069	NA	30	GOT1;GAD1;GPT2;ACY3;ADSL;ASL;GFPT1;IL4I1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.680555555555556	0.791145833333333	-0.87410101799535	NA	38	INSR;ATP1B2;PRKCA;IRS1;NR3C2;PDPK1;ATP1A2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.228384991843393	0.420590182998724	1.19057716802462	NA	32	TNF;HLA-A;CD80;HLA-DMB;CD86;CD28;IFNG;HLA-B;HLA-G;HLA-C;IL10;HLA-DOB;GZMB
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.168081494057725	0.355263157894737	1.27425203143595	NA	17	PLA2G3;ACOX1;PLA2G10;ACOX3;PLA2G2D;FADS2;PLA2G2F
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	5.41650727996419e-05	0.000769039208437478	1.68038357495555	NA	160	GRIN2D;GAPDH;NCSTN;COX5A;UQCRQ;CDK5;CASP3;COX6A1;HSD17B10;NDUFS8;NDUFA2;UQCRC1;UQCR10;NDUFA9;COX8A;NDUFS6;COX5B;COX6B1;COX7A2;GRIN1;NDUFS3;NDUFA3;NDUFB9;ATP5F1E;BID;SDHA;NDUFS5;ITPR3;NDUFB4;GRIN2B;TNF;COX7B;NDUFB8;CYC1;CHP1;NDUFB2;ATP5F1C;APH1A;CASP8;NDUFB3;NDUFS2;ATP5PD;ATP5F1B;NDUFA6;CAPN1;UQCRHL;NDUFA8;ATP2A2;IDE;ATP2A1;CALML5;ATP5PO;ATP5MC3;UQCRH;NDUFAB1;NDUFS7;ATP5MC1;NDUFB10;NDUFV3;NDUFB1;UQCR11
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.000348498339163353	0.00281829091671233	1.85010575024291	NA	40	DARS2;VARS1;TARS2;MARS1;YARS2;YARS1;FARSA;GARS1;CARS2;SARS2;CARS1;TARS1;QARS1;MARS2;RARS1;WARS1;NARS1;LARS2;FARSB;AARS2;KARS1;EARS2;HARS2;EPRS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.00168935036471375	0.0112221131370271	1.75840197631947	NA	44	GFUS;GPI;GALE;GMDS;NANS;PMM2;GMPPB;GMPPA;HK2;HEXA;GNPNAT1;HK3;RENBP;GALK1;CHIT1;NPL;GFPT1;UGDH;PGM3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0134854915985728	0.0597214627936795	1.53244383418994	NA	52	GRIN2D;CASP3;TOMM40;MAPK13;GRIN1;MAP2K6;GPX1;BAX;BID;GRIN2B;TNF;CHP1;BCL2L1;TP53
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.00880005759470228	0.0442381273679628	1.56132811022832	NA	65	CALR;PSME2;RFXANK;TAPBP;HSPA4;PSME3;PDIA3;CTSB;HSPA5;IFI30;LGMN;HSPA6;NFYA;LTA;HLA-A;TAP1;HLA-DMB;CD8B;HSP90AA1;RFX5;PSME1;CD4;HLA-B;HLA-G;HLA-C;NFYC;CTSS
