pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.452593917710197	0.701323620415402	1.04543787019713	NA	6	MTHFD1;MTHFD1L
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.611202635914333	0.803174590890271	0.892442476462775	NA	9	BOLA2B;NDUFAB1;GLRX3;GLRX5;NFS1
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0117304245967159	0.0956506017321674	1.56845009398547	NA	17	IDH2;IDH1;GOT1;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.616580310880829	0.806817754762416	-0.896710910161231	NA	22	ZC3H12B;RBM24;ZC3H12C;ZFP36;ZFP36L1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.924590163934426	0.96670059688511	0.660181585842515	NA	23	LARP4B;ELAVL1;RBM47;MYD88;MAPKAPK2;RBM38;RBM10;TARDBP
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.00553208619480579	0.0597907196108349	1.55016609248015	NA	6	GTF3C6;GTF3C2;GTF3C5
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.199667221297837	0.479833359520941	1.26869993019219	NA	10	SNRPF;SNRPD1;SNRPB;LSM10;SNRPG
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.707612456747405	0.855787114017909	0.82526860953013	NA	8	RAMAC;NCBP1
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.455188679245283	0.702556530791971	-1.00763023379399	NA	8	TACR2
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.245495495495495	0.526295415199898	-1.25204659479794	NA	5	BCHE;SLC5A7;COLQ
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.731147540983607	0.86749298673149	0.839628462377366	NA	23	PDK1;ACLY;PDHX;PGK1;PDHA1;MPC2;BCKDK
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.123417721518987	0.38266166313156	1.26047445050277	NA	41	NME1;FASN;HMGCR;NUDT8;MVK;PDK1;ACLY;PDHX;PGK1;PDHA1;HMGCS2;ACACA;MVD;TDO2;MPC2;BCKDK
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0875	0.318001033057851	-1.26718964657576	NA	71	TTYH1;EPM2A;SLC1A7;SNCA;KCNJ8;STXBP1;AVPR1A;ABCC8;P2RX7;ATP1A2;NPY5R;LRRC8C;APBA1;RAB3GAP1;BEST1;TTYH2;GRM7;GABBR1
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.705607476635514	0.854501878621006	0.862123739566463	NA	37	NMU;HIP1R;SLC26A6;SLC9A4;TNF
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.645598194130926	0.823052888911975	-0.850880882932968	NA	6	STXBP1
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.520325203252033	0.751534218907792	0.968304013974051	NA	26	KNL1;PLA2G3;NECTIN2;PDCL2;ACRBP
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.165775401069519	0.441983979509334	-1.20637625310189	NA	33	CACNA1H;HVCN1;STX2;STXBP1;PRND
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.27906976744186	0.559730582588635	1.16045997531832	NA	14	DIAPH3;GAS2L3;BAIAP2L1
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	5.12528731358689e-05	0.00163916006992715	-1.73450284246984	NA	135	CAV1;CACNB2;TPM1;CASQ2;ABCC9;ACTA2;GSN;KCNJ8;PLN;KCNE4;PARVA;SCN4B;CTNNA3;FRMD6;FLNA;ZEB2;CACNA1G;CACNA2D1;SCN7A;EPDR1;WASF2;CACNA1C;GJC1;ANK2;ACTC1;SCN2B;ATP1A2;SCN3B;KCND3;QKI;KCNA5;MYH3;PDPN;KCNN2;PDE4D;CAMK2D;WASL;FGF13;ROCK1;SUN2;RYR2;MYH2;CACNA1D;SCN1B
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.751235584843493	0.877174062435258	0.791030018139698	NA	9	MYO19;FNBP1L
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.000474551753410607	0.00984939863420952	-1.54095912432005	NA	172	ARHGAP6;MYL9;CALD1;SORBS1;TPM1;SYNPO2;PPM1F;FERMT2;ABL1;PARVA;LIMS2;FLNA;CORO2B;DLC1;ZEB2;SRF;WASF2;SFRP1;ADD1;FRMD7;DPYSL3;SHANK3;S1PR1;ACTN1;ARHGAP28;PRKN;ROCK2;BLOC1S6;CCN2;SYNPO;WNT4;MYOC;ZYX;PAWR;PHLDB2;TGFB3;PLS3;EPS8;ARHGEF15;TGFBR1;ARPIN;TSC1;TJP1;CGNL1;ARRB1;FAM107A;ROCK1;SMAD3
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0321203585350061	0.178796552731253	-1.37331355411393	NA	58	CFL2;TMOD2;LMOD1;DSTN;GSN;SVIL;ASB2;ADD1;EPS8;MICAL3;SPTBN4;SPTBN1;TMOD1;PLEKHH2;MICAL2
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.3	0.58180815876516	-1.12964818998291	NA	14	PARVA;LIMS2;ACTN1;PLS3
GOBP_ACTIN_FILAMENT_ORGANIZATION	GOBP_ACTIN_FILAMENT_ORGANIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.000667253724963333	0.0128300754848741	-1.32893848424427	NA	456	CFL2;ARHGAP6;RHOJ;MYL9;CALD1;KANK2;SORBS1;TPM1;TMOD2;LMOD1;DSTN;SYNPO2;GSN;PPM1F;CXCL12;TPM2;SVIL;FERMT2;PDLIM3;CNN1;ABL1;CDC42EP3;PARVA;KBTBD13;PALM2AKAP2;LIMS2;ASB2;PAK3;FLNA;CORO2B;BCL2;DLC1;MYADM;ZEB2;SRF;WIPF3;WASF2;SFRP1;CAP2;CDC42EP5;ADD1;FRMD7;DPYSL3;SHANK3;S1PR1;ACTN1;ARHGAP28;PRKN;ROCK2;FER;BLOC1S6;KANK3;CCN2;SYNPO;WNT4;CYRIA;MYOC;ACTC1;WASF3;RHOB;MAGEL2;CCL26;ZYX;PAWR;ESAM;JAK2;PHLDB2;TGFB3;PLS3;EPS8;ARHGEF15;MICAL3;CCL21;CNN3;SPTBN4;TGFBR1;DAAM2;ABI2;RICTOR;ARPIN;SSH1;KANK1;WASL;TSC1;SPTBN1;CORO1C;TMOD1;TJP1;PLEKHH2;CGNL1;ARRB1;SNX9;FAM107A;MICAL2;ROCK1;RHOBTB2;SMAD3;IQGAP1;RHOQ
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0655514400958968	0.26940416618851	-1.18238846807234	NA	151	ARHGAP6;KANK2;TMOD2;LMOD1;GSN;SVIL;ABL1;CDC42EP3;ASB2;PAK3;MYADM;CDC42EP5;ADD1;ARHGAP28;FER;KANK3;CYRIA;WASF3;CCL26;ESAM;JAK2;EPS8;CCL21;SPTBN4;DAAM2;RICTOR;SSH1;KANK1;WASL;SPTBN1;TMOD1;SNX9;FAM107A;DIAPH2;LATS1;SPTAN1;KIRREL1;CDC42EP1;PRKCE;CDC42EP4
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.117948717948718	0.372856206883262	-1.34087477854437	NA	16	CFL2;DSTN;GSN;SVIL
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	3.24474321227974e-06	0.000154256846227029	-1.86463702023792	NA	112	CAV1;CACNB2;TPM1;CASQ2;ABCC9;ACTA2;GSN;KCNJ8;PLN;KCNE4;PARVA;SCN4B;CTNNA3;FRMD6;FLNA;ZEB2;CACNA1G;CACNA2D1;SCN7A;EPDR1;CACNA1C;GJC1;ANK2;ACTC1;SCN2B;ATP1A2;SCN3B;KCND3;QKI;KCNA5;MYH3;PDPN;KCNN2;PDE4D;CAMK2D;FGF13;ROCK1;RYR2;MYH2;CACNA1D;SCN1B
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.882059800664452	0.943904601897351	0.68359624884732	NA	14	TNNC1;TNNI3;MYL6B;MYH7;MYH6
GOBP_ACTIN_NUCLEATION	GOBP_ACTIN_NUCLEATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.16793893129771	0.44555743612771	1.20729084537088	NA	58	DIAPH3;ARPC5L;VIL1;HIP1R;CORO1B;ARPC3;ARF1;CARMIL3;ARPC1B;PICK1;ACTR3B;ARPC1A;CARMIL1;ARPC4;CARMIL2;IQGAP2
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.951612903225806	0.977541229776843	0.566458979162932	NA	7	ARPC3
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.0129369555979986	0.101931040971465	-1.30284998759096	NA	179	CFL2;ARHGAP6;KANK2;TMOD2;LMOD1;DSTN;GSN;CXCL12;SVIL;ABL1;CDC42EP3;ASB2;PAK3;MYADM;CDC42EP5;ADD1;ARHGAP28;FER;KANK3;CYRIA;WASF3;CCL26;ESAM;JAK2;EPS8;MICAL3;CCL21;SPTBN4;DAAM2;ABI2;RICTOR;SSH1;KANK1;WASL;SPTBN1;TMOD1;PLEKHH2;SNX9;FAM107A;MICAL2;DIAPH2;LATS1;SPTAN1;KIRREL1;CDC42EP1;SPECC1L;PRKCE;CDC42EP4
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	4.87943105026765e-05	0.0015748475628295	-1.69657814128114	NA	162	CAV1;CACNB2;CASQ2;KCNB1;NPR2;ABCC9;SLMAP;KCNJ8;KCNE4;SCN4B;SLC8A2;CTNNA3;NTRK3;GNA14;FLNA;CACNA1G;CACNA2D1;SCN7A;BBS10;DMD;KCNA4;CACNA1C;GJC1;ABCC8;KCNS2;ANK2;CHRNA4;SCN2B;ATP1A2;KCNMB2;SCN3B;UNC80;KCND3;KCNA1;KCNA5;ADRA1A;KCNN2;AKAP6;KCNK3;GNA11;CAMK2D;CD36;CNTNAP1;FGF13;KCND2;RYR2;CACNA1D;SCN1B;SLC8A1;GPR88;KCNC4;NDP;GRIA1;USP53;CLCN1;KCNJ2
GOBP_ACTION_POTENTIAL_PROPAGATION	GOBP_ACTION_POTENTIAL_PROPAGATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.364583333333333	0.636054632614266	-1.07421782217637	NA	12	NTRK3;ATP1A2;CNTNAP1;SCN1B;CLCN1
GOBP_ACTIVATED_T_CELL_PROLIFERATION	GOBP_ACTIVATED_T_CELL_PROLIFERATION	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.638814016172507	0.819153529759387	-0.916081387719598	NA	44	STAT5B;PRNP;ABL1;PRKAR1A;LRRC32
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	c5_go_bp	fgsea	tcga_cancer__UCEC_DESeq2	tcga_cancer__UCEC_DESeq2	0.603993344425957	0.801073924859761	0.895165029822488	NA	10	AKT1;RIPK3;DNAJA3;IL2RA;SIVA1
