pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.118451025056948	0.278884691906231	-1.26942144815039	NA	44	ABCA8;ABCC9;ABCA9;ABCG2;ABCA6;ABCD2;ABCB1;ABCC8
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.672093023255814	0.790339931153184	-0.876629347440984	NA	56	STAT5B;AKT3;RUNX1T1;ZBTB16;MYC;TCF7L2;SOS2;STAT5A;KIT;PIM1;MAPK3
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.0614250614250614	0.173106991288809	-1.28260722710742	NA	73	CTNNA3;SORBS1;SNAI2;SMAD4;INSR;WASF2;ACTN1;VCL;TGFBR2;FER;WASF3;TCF7L2;TGFBR1;PTPRB;WASL;TJP1;SMAD3;FYN;IQGAP1;EGFR
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.252955082742317	0.476072946661182	-1.11255008192152	NA	61	AKT3;LEPR;ACACB;SLC2A4;IRS1;MAPK10;JAK2;CAMKK2;IRS4;PRKAB2;PRKAA1;RXRB;CD36
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.282374100719424	0.495486629564273	1.12452387736711	NA	30	GOT1;GPT2;GAD1;ADSL;ASL;ACY3;AGXT;GFPT1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.696145124716553	0.791811846689895	-0.86927990354358	NA	38	INSR;PRKCA;ATP1B2;IRS1;NR3C2;PDPK1;IRS4
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.14795008912656	0.32404181184669	1.24419318125559	NA	32	CD80;TNF;HLA-A;IFNG;HLA-DMB;CD86;CD28;HLA-B;IL10;HLA-G;HLA-C
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.210338680926916	0.425249941873983	1.19664899822959	NA	17	PLA2G3;PLA2G2F;PLA2G2D;PLA2G10;ACOX1;ACOX3;FADS2
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	2.16599898078076e-06	3.66250736750201e-05	1.79010043703993	NA	160	GRIN2D;GAPDH;NCSTN;COX5A;UQCRQ;COX6A1;CDK5;CASP3;HSD17B10;NDUFA2;UQCRC1;UQCR10;NDUFS8;COX8A;NDUFA9;NDUFS6;COX5B;COX6B1;GRIN2B;GRIN1;NDUFS3;CALML5;COX7A2;NDUFA3;NDUFB9;BID;ATP5F1E;SDHA;NDUFS5;COX7B;ITPR3;CYC1;NDUFB8;NDUFB4;CHP1;NDUFB2;APH1A;CASP8;ATP5F1C;TNF;NDUFS2;ATP5PD;NDUFB3;CAPN1;COX8C;NDUFA6;ATP5F1B;COX6B2;UQCRHL;ATP2A1;NDUFA8;ATP2A2;ATP5PO;IDE;ATP5MC3;UQCRH;NDUFS7;CALML3;NDUFB10;ATP5MC1;NDUFV3;NDUFAB1;UQCR11;NDUFB1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	tcga_cancer__UCEC_edgeR	tcga_cancer__UCEC_edgeR	0.000290290047851997	0.00284178678423534	1.81118590888639	NA	40	DARS2;VARS1;TARS2;MARS1;YARS1;YARS2;FARSA;GARS1;CARS2;SARS2;CARS1;QARS1;TARS1;MARS2;WARS1;LARS2;NARS1;RARS1;AARS2;FARSB;KARS1;EARS2;EPRS1;PARS2
